"ID","radius_m","mean_treeht_ft","total_conifers","total_nonconifer","n_features"
"GRIT01",10,62.5175,1,0,1
"GRIT01",25,62.5175,1,0,1
"GRIT01",50,40.9664375,5,11,16
"GRIT01",100,38.114902027027,30,118,148
"GRIT01",200,43.4194425113464,158,503,661
"GRIT01",400,39.4779377797672,425,1809,2234
"GRIT01",800,34.27514146429,1216,7143,8359
"GRIT03",10,18.2255,0,1,1
"GRIT03",25,19.40253125,1,15,16
"GRIT03",50,23.8932625,3,37,40
"GRIT03",100,26.6455340909091,15,117,132
"GRIT03",200,38.8646291913215,108,399,507
"GRIT03",400,40.456104805726,395,1561,1956
"GRIT03",800,40.9661162304291,1812,6555,8367
"GRIT06",25,13.07075,0,2,2
"GRIT06",50,20.25055,0,10,10
"GRIT06",100,25.5930164835165,9,82,91
"GRIT06",200,30.1798315018315,69,477,546
"GRIT06",400,28.2304754231771,350,2722,3072
"GRIT06",800,33.0117877490136,1283,9108,10391
"GRIT07",25,71.653,1,0,1
"GRIT07",50,46.59840625,5,11,16
"GRIT07",100,40.3669166666667,25,65,90
"GRIT07",200,43.6206007751938,103,284,387
"GRIT07",400,53.9878654686741,704,1355,2059
"GRIT07",800,65.6631699828473,4535,7125,11660
"GRIT09",10,54.675,0,1,1
"GRIT09",25,34.6821071428571,2,12,14
"GRIT09",50,31.6039204545455,3,41,44
"GRIT09",100,29.4736533742331,16,147,163
"GRIT09",200,32.5660746753247,69,547,616
"GRIT09",400,42.4665029177719,320,1565,1885
"GRIT09",800,41.6927659392383,1035,5976,7011
"GRIT10",25,34.53125,0,6,6
"GRIT10",50,30.9712205882353,5,29,34
"GRIT10",100,30.3247542857143,19,156,175
"GRIT10",200,30.7199951923077,49,471,520
"GRIT10",400,28.3116271013754,185,1778,1963
"GRIT10",800,34.0189608475648,882,7023,7905
"GRIT11",50,13.896,0,6,6
"GRIT11",100,18.8602972972973,2,35,37
"GRIT11",200,34.3804410377358,89,335,424
"GRIT11",400,38.6370060913706,371,1599,1970
"GRIT11",800,37.4076286382833,1339,7422,8761
"GRIT12",25,22.456625,0,4,4
"GRIT12",50,25.037675,3,17,20
"GRIT12",100,29.8482802197802,17,74,91
"GRIT12",200,33.0217987012987,115,424,539
"GRIT12",400,34.1064588974855,384,1684,2068
"GRIT12",800,34.9791333288824,1282,6207,7489
"GRIT13",5,12.686,0,1,1
"GRIT13",10,15.52125,0,4,4
"GRIT13",25,17.076,0,9,9
"GRIT13",50,29.4001891891892,5,32,37
"GRIT13",100,34.333048951049,18,125,143
"GRIT13",200,33.7253224299065,67,468,535
"GRIT13",400,30.8914756355932,272,1616,1888
"GRIT13",800,34.6774293363622,2035,10291,12326
"GRIT14",10,24.996,0,1,1
"GRIT14",25,34.4164,0,5,5
"GRIT14",50,29.1447837837838,3,34,37
"GRIT14",100,31.8093402777778,21,123,144
"GRIT14",200,29.2016303088803,46,472,518
"GRIT14",400,29.6278373253493,201,1803,2004
"GRIT14",800,29.3350419296664,824,6939,7763
"GRIT15",25,16.444,0,4,4
"GRIT15",50,29.8809393939394,6,27,33
"GRIT15",100,38.7548169934641,38,115,153
"GRIT15",200,36.3752914171657,125,376,501
"GRIT15",400,31.6558400755124,344,1510,1854
