"name","longitude","latitude","sensor_index","0.10m","1.10m","0.20m","1.20m","2.20m","0.30m","1.30m","2.30m","0.40m","1.40m","2.40m","0.50m","1.50m","2.50m","0.100m","1.100m","2.100m","0.200m","1.200m","2.200m","0.400m","1.400m","2.400m","0.800m","1.800m","2.800m","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m"
"PA_PSUStarLabTitlow",-122.544304482717,47.2534630639203,9732,"317","0","1214","47","0","2746","88","0","4894","138","0","7589","271","0","25275","5980","161","97829","25565","2323","337065","149391","16369","1443261","506980","60987",0,0.00133473433107091,0.00111109708210755,0.000980016191571861,0.00123191897518888,0.00679625001562683,0.00726356409864468,0.010611252796365,0.00900269358077476
"PA_PointWoodworth",-122.375810739917,47.2751529494637,17663,"312","0","1238","16","0","2744","78","0","4864","158","0","7094","755","0","22666","8302","459","69781","48161","7755","288516","199356","14954","1273505","687485","50259",0,0.000454377644619885,0.000984836050049873,0.00112204752368372,0.00343209898991736,0.00943519525580835,0.0136835717017339,0.0141602701131402,0.012208009776281
"PA_MillersSkylineTerrace",-122.523105302807,47.2765418097639,98105,"246","70","1159","100","0","2690","136","1","4658","368","1","7245","563","39","24414","6913","98","81718","43215","772","287815","211447","3554","1310599","684965","15682",0.00795906765207504,0.00283986027887428,0.00171715003598439,0.0026133765108583,0.0025593003063887,0.00785660139766359,0.0122783071591211,0.0150190946578641,0.0121632608950163
"PA_Broadway",-122.445722789705,47.2642214357175,190605,"315","0","1258","0","0","2821","8","0","4570","465","0","6597","1266","0","20676","10753","0","83113","42585","0","387709","111374","3704","1679494","325873","5800",0,0,0.000101008825646141,0.00330222847160084,0.00575501631951705,0.0122207485648888,0.0120993106646111,0.00791090272467787,0.0057866873747442
"PA_Norpoint",-122.407948409197,47.2973731416045,194473,"317","0","1069","189","0","2246","580","0","3766","1262","0","5526","2316","2","22914","8401","113","84897","39931","875","252217","247077","3495","1239413","757631","14153",0,0.00536733592707239,0.00732313985934521,0.00896217705625861,0.0105281341200644,0.00954770842496338,0.0113452524163106,0.0175498959587088,0.0134536268497691
"PA_TacomaCenterYMCA",-122.441356589767,47.2513239295534,171217,"313","0","1255","0","0","2826","0","0","5029","0","0","7843","7","0","27051","4375","0","115202","10398","93","460184","41690","967","1851710","154064","5445",0,0,0,0,0.0000318207853369821,0.00497217287932565,0.00295429452367328,0.00296124350918365,0.00273579033458614
"PA_OwlsRoost",-122.429219760075,47.300200463549,156499,"315","0","1242","19","0","2396","433","0","3832","1121","81","5659","1775","425","22737","7056","1626","79201","40125","6370","318773","168625","15429","1431194","545151","34892",0,0.000539573452986113,0.00546710268809737,0.00796085616486997,0.00806884199616332,0.00801912041977641,0.0114003719717629,0.0119774451124033,0.00968051482948625
"PA_TacomaAlexander",-122.385207514474,47.2654688706901,15203,"318","0","1190","1","70","2522","1","304","4419","1","600","6728","4","1122","26705","32","4683","114100","1283","10326","475605","2494","24699","1952919","21973","36250",0,0.0000283986027887428,0.0000126261032057676,0.00000710156660559319,0.0000181833059068469,0.0000363678930602105,0.000364527781676555,0.000177148988052388,0.000390185384138159
"PA_ MorganFamilyYMCA",-122.516855400273,47.251639799814,171177,"312","0","1250","0","0","2666","159","0","4642","380","0","7226","491","135","27699","3218","499","108553","13941","3221","416880","70744","15198","1592561","356675","62047",0,0,0.00200755040971705,0.00269859531012541,0.00223200080006546,0.00365724624586741,0.0039609367142267,0.00502495108691985,0.00633365366074172
"PA_Rustin",-122.500872631858,47.2968232065361,174613,"314","0","1260","0","0","2827","0","0","5034","0","0","7861","0","0","31440","0","0","117646","6988","1064","423206","64408","15170","1792460","196105","22633",0,0,0,0,0,0,0.00198544048196085,0.00457490457998323,0.00348233307952549
"PA_ NTacomaN9thStevens",-122.498634311366,47.259186758036,177979,"314","0","1247","13","0","2670","160","0","4664","368","0","7105","750","0","28777","2635","0","114323","11097","292","452335","47896","2578","1722790","278802","9611",0,0.000369181836253656,0.00202017651292282,0.0026133765108583,0.0034093698575338,0.0029946686941767,0.00315289539615334,0.00340205610736053,0.0049508244422012
"PA_S9thSt",-122.45477945788,47.2535337077424,50485,"308","7","1161","100","0","2366","468","0","4102","928","0","6373","1484","0","23543","7766","111","100973","24572","167","423621","78149","1046","1713147","293801","4264",0.000795906765207504,0.00283986027887428,0.00590901630029924,0.00659025380999048,0.00674600649144021,0.00882603304704982,0.00698143152872666,0.00555092873588855,0.0052171690731887
"PA_CentralTacoma19thMullen",-122.501362368562,47.2443548953653,51969,"298","13","1075","178","0","2346","477","0","4370","652","0","7064","792","0","28120","3304","0","96554","27237","1928","323007","164281","15534","1322844","640257","48178",0.00147811256395679,0.00505495129639622,0.00602265122915115,0.00463022142684676,0.00360029456955569,0.00375498495846673,0.00773861511264562,0.011668890499693,0.0113693589174052
"PA_ManitouParkElementarySchool",-122.49510699962,47.1973003001248,167413,"315","0","1240","18","0","2698","136","0","4780","242","11","7299","505","55","26196","5167","56","103153","22431","119","407363","95078","361","1642533","334336","34357",0,0.00051117485019737,0.00171715003598439,0.00171857911855355,0.00229564237073942,0.00587227823256586,0.00637312756881279,0.00675339674660982,0.00593696903432465
"PA_PTOI",-122.403252086736,47.2357366006406,185377,"313","0","1089","168","0","2125","704","0","3562","1473","0","5494","2368","0","20044","11396","1","77535","47653","507","404149","96367","2249","1521513","471353","18295",0,0.00477096526850879,0.00888877665686039,0.0104606076100388,0.0107645170968534,0.0129515159160674,0.0135392380204465,0.00684495450346609,0.00837004739314948
"PA_WhitmanElementarySchool",-122.448556613315,47.2216372544041,136172,"219","93","1129","129","0","2610","223","0","4268","760","0","6361","1495","0","26353","5069","0","106771","18850","61","440898","61547","337","1716919","290470","3815",0.010574189880614,0.00366341975974782,0.00281562101488618,0.00539719062025083,0.00679601058268404,0.00576090156006896,0.0053556887643048,0.0043716875572014,0.00515801886545356
"PA_BozeElementarySchool",-122.414498001308,47.1979028295585,167065,"316","0","1257","0","0","2831","0","0","5031","0","0","7817","36","0","29404","2029","0","113180","12405","126","442487","59693","611","1752145","251062","8031",0,0,0,0,0.000163649753161622,0.00230595171934897,0.00352452621332632,0.00423999781227392,0.00445823159843874
"PA_BakerMiddleSchool",-122.446942056569,47.1836640216342,173501,"317","0","1226","33","0","2652","179","0","4704","323","0","7268","584","0","28546","2877","0","110771","14682","244","404242","88336","10232","1628116","356324","26778",0,0.000937153892028512,0.0022600724738324,0.0022938060136066,0.00265476266239965,0.00326970088544455,0.00417147068634075,0.00627451203231584,0.00632742078085129
"PA_6thAveSprague",-122.462215482341,47.2544416982283,192199,"195","120","1135","124","0","2585","243","0","4464","571","0","7135","726","0","27024","4402","9","111137","14466","86","426467","74773","1531","1685836","319675","5665",0.0136441159749858,0.00352142674580411,0.00306814307900153,0.00405499453179371,0.00330027002209272,0.0050028582890952,0.00411010045965163,0.00531113122840464,0.00567662643582424
"PA_ProctorNorthEnd",-122.500449771254,47.2729949430792,154963,"239","73","1056","200","0","2370","454","0","4196","830","0","6364","1496","0","26151","5280","0","102434","23035","211","427956","72482","2380","1687939","314044","9274",0.00830017055144969,0.00567972055774856,0.00573225085541849,0.00589430028264235,0.00680055640916075,0.00600070235493472,0.00654473690640643,0.00514840134403094,0.00557663399518882
"PA_PSUStarLabsSouthTacoma",-122.498678529282,47.1987446932387,7384,"276","34","904","350","0","2206","620","0","3954","1072","0","6319","1534","0","24745","6680","0","98827","26812","66","398527","103029","1267","1564753","423765","22702",0.00386583285957931,0.00993951097605998,0.00782818398757591,0.0076128794011959,0.0069732978152758,0.00759179767631893,0.00761786350920639,0.00731815681236946,0.00752500383695021
"PA_CheneyStadium",-122.49165301654,47.2402785310818,224449,"0","312","0","1259","0","0","2833","0","0","5029","3","1","7515","340","1682","23516","6227","16655","90594","18435","211108","269652","22031","1316639","628911","65687",0.035474701534963,0.0357538409110272,0.0357697503819396,0.0357137784595282,0.0341618859724887,0.0267258554126222,0.0257396959105268,0.0191533997298727,0.0111678824067589
"PA_Trents",-122.456952787003,47.1714207976848,94745,"315","0","1007","252","0","1992","837","0","3945","1081","0","6720","1130","13","27855","3527","41","111655","13574","466","427771","72267","2742","1591023","405602","14573",0,0.00715644790276318,0.0105680483832275,0.00767679350064624,0.00513678391868426,0.00400842371323007,0.00385666415313917,0.00513312987954366,0.00720247449948598
"PA_EdisonElementary",-122.47456,47.2077,167029,"301","14","1182","78","0","2746","81","0","4948","83","0","7766","97","0","28216","3040","169","109989","15496","223","404053","97687","1070","1497848","503236","10178",0.00159181353041501,0.00221509101752194,0.00102271435966718,0.000589430028264235,0.000440945168241038,0.00345494984071999,0.00440274552210436,0.00693871419241122,0.00893620952861014
"GRIT01",-122.425289,47.214961,183853,"313","0","1260","0","0","2821","10","0","4920","116","0","7101","758","0","24233","7101","93","91447","32432","1816","406865","93287","2615","1674990","329151","7089",0,0,0.000126261032057676,0.00082378172624881,0.00344573646934749,0.00807026276939233,0.00921462588880283,0.00662618189592746,0.00584489643537337
"GRIT02",-122.480575,47.268584,183863,"254","61","1125","127","0","2584","242","0","4481","542","0","7095","764","0","27564","3811","53","106038","18945","721","406854","94131","1834","1555012","443951","12312",0.00693575895395111,0.00360662255417033,0.00305551697579576,0.00384904910023151,0.00347301142820776,0.00433118876413944,0.00538268029919122,0.00668613127279843,0.00788345658187411
"GRIT03",-122.437637819248,47.1733110506403,183883,"312","0","1139","36","76","2431","321","76","4334","616","76","7020","761","78","27347","3997","78","103631","21528","547","409687","91150","1983","1605947","396404","8889",0,0.00102234970039474,0.0040529791290514,0.00437456502904541,0.00345937394877763,0.00454257714255191,0.0061165659266819,0.00647439064193068,0.00703914108287001
"GRIT04",-122.556395426113,47.1462073608558,183851,"258","56","1004","259","0","2145","687","0","4067","965","0","6486","1374","0","24478","6892","46","101457","23574","663","396056","105139","1639","1420722","580214","10319",0.00636725412166003,0.00735523812228438,0.00867413290236234,0.00685301177439743,0.00624596557900192,0.00783273496784283,0.00669787835170936,0.0074680302545469,0.0103031457913047
