"long","lat","name","sensor_index","0.10m","1.10m","2.10","0.20m","1.20m","2.20m","0.30m","1.30m","2.30m","0.40m","1.40m","2.40m","0.50m","1.50m","2.50m","0.100m","1.100m","2.100m","0.200m","1.200m","2.200m","0.400m","1.400m","2.400m","0.800m","1.800m","2.800m","cancov.10m","cancov.20m","cancov.30m","cancov.40m","cancov.50m","cancov.100m","cancov.200m","cancov.400m","cancov.800m"
-122.321116028117,47.2650850080418,"pa_167399",167399,"241","73","0","695","509","57","1526","1209","95","3144","1775","110","5561","1924","376","24656","3186","3579","91991","23638","10067","344554","131527","26722","1067310","835622","108247",0.00631051175656985,0.0109429419099626,0.0115470573628011,0.00953931811341846,0.0066182338534357,0.00274010303337834,0.00508245060209774,0.0070698654958721,0.0112291650451369
-122.292193,47.172614,"pa_175733",175733,"154","157","5","628","525","104","1670","878","283","3338","1122","572","5644","1386","821","20193","9874","1362","83065","39348","3287","335150","157865","9786","1331071","654336","25782",0.0135719225449516,0.0112869243668573,0.00838570418903173,0.00602992390042564,0.00476760505242302,0.00849208328674757,0.00846028709245037,0.00848559091673838,0.00879302715698572
-122.3391022,47.1619391,"pa_71029",71029,"312","0","0","1234","18","0","2329","498","0","3691","1335","0","5780","2077","0","23823","7539","60","85755","39858","95","367452","132738","2638","1371816","627547","11838",0,0.000386980264006536,0.0047563561345533,0.00717464207403586,0.00714452791766422,0.00648387845845553,0.00856994314656112,0.00713495940902682,0.00843303411899226
-122.2180929,47.0485833333333,"pa_167257",167257,"176","139","0","636","621","0","1097","1732","0","1726","3304","0","2646","5216","0","10329","21098","0","43843","81837","16","153247","344208","5309","526376","1457383","27404",0.0120159059474412,0.0133508191082255,0.0165421863956753,0.017756567350273,0.0179421558105617,0.0181452271808588,0.0175959264711005,0.0185019369604959,0.0195844463656735
-122.287830319732,47.057738516886,"pa_167047",167047,"314","0","0","1259","0","0","2830","0","0","5020","0","0","7855","0","0","31165","266","0","108390","17291","0","381970","111316","9509","1319253","667758","24168",0,0,0,0,0,0.000228771941895367,0.00371777025809595,0.00598347979911728,0.00897339322350363
-122.627148877822,47.3297135827278,"pa_80321",80321,"122","196","0","583","679","0","1520","1317","0","2699","2328","3","4021","3834","3","10377","21028","3","25508","100123","76","75880","426378","570","350417","1653383","7452",0.0169432918395574,0.0145977555144688,0.0125785562835476,0.0125112859538243,0.0131883100800793,0.0180850240382548,0.0215276335406478,0.0229187551635706,0.0222183123347921
-122.601055860682,47.3532795995699,"pa_171237",171237,"209","42","63","742","393","127","1566","1066","196","2693","2065","270","4076","3416","367","13554","17160","709","52234","71665","1796","235489","257076","10256","1052573","932297","26399",0.00363070539419087,0.00844906909747603,0.0101812763844053,0.0110978545939206,0.011750460937285,0.0147583703869342,0.0154088257212681,0.0138184003453041,0.0125282925582213
-122.568029453636,47.3356694024408,"pa_152162",152162,"0","318","0","38","1220","0","360","2467","0","1018","4006","0","1511","6277","60","5986","24953","491","43832","80857","1014","278469","220609","3729","1183531","811906","15830",0.0274896265560166,0.0262286623382207,0.0235621096063112,0.0215293004858334,0.0215918159553097,0.021460700248553,0.0173852148377112,0.0118582188993807,0.0109104672628736
-122.572146397448,47.3477292901501,"pa_96765",96765,"0","315","0","0","1257","0","0","2836","0","0","5033","0","0","7862","0","142","31280","0","2799","122917","1","85807","416781","232","465528","1532454","13249",0.0272302904564315,0.0270241217697897,0.0270863975855285,0.0270486693323015,0.0270439472742783,0.0269022042950642,0.0264286141237858,0.0224028953084543,0.0205932573461209
-122.611690108564,47.2927573043486,"pa_205579",205579,"316","0","0","1157","103","0","2565","269","0","4683","350","0","7381","476","0","28007","3414","0","103345","21781","585","357741","140663","4419","1086749","911993","12540",0,0.00221438706625962,0.00256919638593341,0.00188099230405434,0.00163735931093316,0.00293619326928866,0.00468317355801214,0.00756094558718634,0.0122554455447673
