"","Purple.Air.Name","TRACTCE","BLKGRPCE","indicator_title","score","geometry"
"1","GRIT31","060400","1","Community Impact Index",0.417646406333398,c(-122.4905417, 47.28122931)
"2","GRIT33","060400","2","Community Impact Index",0.63235984277557,c(-122.4844209, 47.27818761)
"3","GRIT05","060700","1","Community Impact Index",0.546561692220564,c(-122.4683736, 47.26333983)
"4","GRIT35","060800","1","Community Impact Index",0.409180284400735,c(-122.4996313, 47.27530093)
"5","N Tacoma N 9th and Stevens","060800","4","Community Impact Index",0.50249646175695,c(-122.4985212, 47.25826896)
"6","GRIT34","061100","4","Community Impact Index",-0.275899423486612,c(-122.4912362, 47.24073436)
"7","Tacoma Center YMCA","061601","1","Community Impact Index",-0.494306645895414,c(-122.441583, 47.251503)
"8","GRIT09","061602","1","Community Impact Index",-0.371076361601113,c(-122.436422, 47.23494147)
"9","GRIT11","062300","1","Community Impact Index",-0.0683659032030586,c(-122.412236, 47.21929448)
"10","GRIT23","062300","1","Community Impact Index",-0.0683659032030586,c(-122.4161099, 47.21800193)
"11","GRIT01","062300","2","Community Impact Index",0.0669195339936918,c(-122.425289, 47.21496104)
"12","GRIT16","062300","3","Community Impact Index",0.150412049456642,c(-122.4125603, 47.21200804)
"13","GRIT21","062300","3","Community Impact Index",0.150412049456642,c(-122.424112, 47.21290494)
"14","GRIT18","062400","1","Community Impact Index",-0.0106377724128033,c(-122.4337605, 47.21606794)
"15","GRIT10","062400","4","Community Impact Index",-0.0386710708572771,c(-122.435674, 47.22179202)
"16","GRIT14","062501","3","Community Impact Index",-0.313937996923982,c(-122.4462381, 47.21389379)
"17","Manitou Park Elementary School","062802","3","Community Impact Index",0.0328486593642819,c(-122.4951023, 47.1970288)
"18","GRIT26","062901","3","Community Impact Index",-0.384857572481955,c(-122.4832621, 47.21201859)
"19","GRIT06","063000","1","Community Impact Index",0.198274208855363,c(-122.4701912, 47.20748389)
"20","GRIT13","063100","3","Community Impact Index",-0.0481836783725466,c(-122.4580004, 47.20416904)
"21","GRIT17","063200","1","Community Impact Index",0.0992821232290972,c(-122.423028, 47.20063098)
"22","GRIT07","063301","1","Community Impact Index",-0.16483886987945,c(-122.4021333, 47.1980794)
"23","GRIT03","063402","1","Community Impact Index",-0.144721429753152,c(-122.4376598, 47.1732918)
"24","GRIT15","063501","1","Community Impact Index",0.126080873623736,c(-122.4482335, 47.19022791)
"25","GRIT12","063501","2","Community Impact Index",-0.136442115385945,c(-122.4555075, 47.18123901)
"26","GRIT22","063502","4","Community Impact Index",0.0470254612759504,c(-122.4443658, 47.17710941)
"27","GRIT25","063502","4","Community Impact Index",0.0470254612759504,c(-122.4436343, 47.17419709)
"28","GRIT20","071601","3","Community Impact Index",0.0102090962947255,c(-122.4073649, 47.18283149)
"29","GRIT19","071705","3","Community Impact Index",-0.11188431397496,c(-122.4544223, 47.16815367)
"30","GRIT24","071707","1","Community Impact Index",-0.324583113410566,c(-122.4399858, 47.15272915)
"31","GRIT04","072108","3","Community Impact Index",-0.125159984873296,c(-122.5563971, 47.14620651)
"32","Seabury School","940011","3","Community Impact Index",0.484859448417975,c(-122.4230649, 47.3050156)
