"year","month","day","sensor_index","hours_present","missing_hours"
2025,11,1,"183473",23,1
2025,11,1,"183883",10,14
2025,11,4,"183467",20,4
2025,11,4,"183515",22,2
2025,11,7,"183467",20,4
2025,11,7,"183515",23,1
2025,11,7,"183843",21,3
2025,11,8,"183467",18,6
2025,11,8,"183515",22,2
2025,11,8,"183641",23,1
2025,11,8,"183841",23,1
2025,11,9,"183467",3,21
2025,11,9,"183515",23,1
2025,11,9,"183641",22,2
2025,11,9,"183853",17,7
2025,11,10,"183467",22,2
2025,11,10,"183843",21,3
2025,11,11,"183467",22,2
2025,11,11,"183515",21,3
2025,11,12,"183467",4,20
2025,11,12,"183515",20,4
2025,11,12,"183641",23,1
2025,11,12,"183853",16,8
2025,11,12,"183885",23,1
2025,11,13,"183467",6,18
2025,11,13,"183515",20,4
2025,11,13,"183641",21,3
2025,11,13,"183853",20,4
2025,11,13,"183855",22,2
2025,11,13,"183885",22,2
2025,11,14,"183467",22,2
2025,11,14,"183515",23,1
2025,11,15,"183467",19,5
2025,11,15,"183853",20,4
2025,11,16,"183467",12,12
2025,11,16,"183515",23,1
2025,11,17,"183841",21,3
2025,11,18,"183467",19,5
2025,11,18,"183515",18,6
2025,11,19,"183515",8,16
2025,11,19,"183853",18,6
2025,11,20,"183467",8,16
2025,11,20,"183515",19,5
2025,11,20,"183841",23,1
2025,11,20,"183853",22,2
2025,11,21,"183467",17,7
2025,11,21,"183515",19,5
2025,11,21,"183853",22,2
2025,11,22,"183467",21,3
2025,11,22,"183853",23,1
2025,11,24,"183467",20,4
2025,11,25,"183467",13,11
2025,11,25,"183515",23,1
2025,11,25,"183853",22,2
2025,11,26,"183467",14,10
2025,11,26,"183515",21,3
2025,11,27,"183467",18,6
2025,11,27,"183515",21,3
2025,11,28,"183515",22,2
2025,11,28,"183883",9,15
2025,11,29,"183467",7,17
2025,11,29,"183515",9,15
2025,11,29,"183841",22,2
2025,11,29,"183853",21,3
2025,11,29,"183883",19,5
2025,11,30,"183467",3,21
2025,11,30,"183515",5,19
2025,11,30,"183815",23,1
2025,11,30,"183841",22,2
2025,11,30,"183853",12,12
2025,11,30,"183855",18,6
2025,11,30,"183883",15,9
2025,12,1,"183515",5,19
2025,12,1,"183641",23,1
2025,12,1,"183815",23,1
2025,12,1,"183817",23,1
2025,12,1,"183841",22,2
2025,12,1,"183853",15,9
2025,12,1,"183855",20,4
2025,12,1,"183883",11,13
2025,12,2,"183467",10,14
2025,12,2,"183515",14,10
2025,12,2,"183883",4,20
2025,12,3,"183467",9,15
2025,12,3,"183515",6,18
2025,12,3,"183545",23,1
2025,12,3,"183853",23,1
2025,12,3,"183883",1,23
2025,12,4,"183467",12,12
2025,12,4,"183515",15,9
2025,12,4,"183883",15,9
2025,12,5,"183467",22,2
2025,12,6,"183545",23,1
2025,12,6,"183883",4,20
2025,12,7,"183883",13,11
2025,12,8,"183883",14,10
2025,12,9,"183467",22,2
2025,12,9,"183883",16,8
2025,12,10,"183883",18,6
2025,12,11,"183467",22,2
2025,12,11,"183515",20,4
2025,12,12,"183467",14,10
2025,12,13,"183467",3,21
2025,12,13,"183515",19,5
2025,12,13,"183841",20,4
2025,12,13,"183853",19,5
2025,12,13,"183871",23,1
2025,12,14,"183467",16,8
2025,12,14,"183515",22,2
2025,12,15,"183883",15,9
2025,12,16,"183883",3,21
2025,12,17,"183883",19,5
2025,12,19,"183515",22,2
2025,12,19,"183853",19,5
2025,12,19,"183883",19,5
2025,12,20,"183883",9,15
2025,12,21,"183883",7,17
2025,12,23,"183515",23,1
2025,12,23,"183841",23,1
2025,12,23,"183883",1,23
2025,12,24,"183467",22,2
2025,12,24,"183515",22,2
2025,12,24,"183853",22,2
2025,12,25,"183467",17,7
2025,12,25,"183515",19,5
2025,12,25,"183853",22,2
2025,12,26,"183467",19,5
2025,12,26,"183515",19,5
2025,12,26,"183853",20,4
2025,12,27,"183467",19,5
2025,12,27,"183515",20,4
2025,12,27,"183853",20,4
2025,12,28,"183467",2,22
2025,12,28,"183515",2,22
2025,12,28,"183853",14,10
2025,12,28,"183855",21,3
2025,12,28,"183883",1,23
2025,12,29,"183467",11,13
2025,12,29,"183515",6,18
2025,12,29,"183545",22,2
2025,12,29,"183841",23,1
2025,12,29,"183853",17,7
2025,12,29,"183855",18,6
2025,12,30,"183515",2,22
2025,12,30,"183815",22,2
2025,12,30,"183841",21,3
2025,12,30,"183843",23,1
2025,12,30,"183853",4,20
2025,12,30,"183855",13,11
2025,12,31,"183515",3,21
2025,12,31,"183841",17,7
2025,12,31,"183853",7,17
2025,12,31,"183855",17,7
2026,1,1,"183479",2,22
2026,1,1,"183515",11,13
2026,1,1,"183815",23,1
2026,1,1,"183817",22,2
2026,1,1,"183841",3,21
2026,1,1,"183843",22,2
2026,1,1,"183855",18,6
2026,1,1,"183869",23,1
2026,1,2,"183467",2,22
