"Purple.Air.Name","sensor_index","Long","Lat","pm2.5est_sept","pm2.5.lwr_sept","pm2.5.upr_sept","pm2.5est_jan","pm2.5.lwr_jan","pm2.5.upr_jan","tempest_sept","temp.lwr_sept","temp.upr_sept","tempest_jan","temp.lwr_jan","temp.upr_jan"
"GRIT01",183853,-122.425289,47.21496104,"7.20371843896457","5.89366484168864","8.51378213627399","9.16991103161932","6.245050831633","12.0951679698265",76.712,75.391,78.034,55.583,53.758,57.406
"GRIT02",183863,-122.4805754,47.26858395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRIT03",183883,-122.4376598,47.1732918,"7.57832171595409","6.26871518866943","8.88792796055813","10.324545021201","7.38941663795689","13.2596192381345",74.617,73.299,75.936,55.377,53.541,57.212
"GRIT04",183851,-122.5563971,47.14620651,"6.51436044849597","5.20475392118905","7.82396669309838","8.2855195782175","5.36812128329462","11.2029172969692",75.522,74.204,76.841,54.698,52.883,56.514
"GRIT05",183865,-122.4683736,47.26333983,"6.39113204495118","5.08152551763636","7.70073828958024","8.6451975757079","5.71345382469054","11.5773109883625",74.451,73.132,75.77,56.206,54.373,58.037
"GRIT06",183855,-122.4701912,47.20748389,"7.37562598429328","6.0660194570041","8.68523222891912","9.76812306248546","6.84741108706087","12.6889865282731",75.391,74.072,76.709,55.734,53.915,57.553
"GRIT07",183843,-122.4021333,47.1980794,"6.94086936314338","5.63126283583788","8.25047560775209","9.87339522973723","6.95258935412162","12.7942002072998",72.534,71.215,73.853,51.397,49.578,53.216
"GRIT09",183499,-122.436422,47.23494147,"6.92144080611057","5.61120622347976","8.23167222250744","9.71252873782242","6.79513044293841","12.6299264565528",72.253,70.93,73.575,52.715,50.899,54.53
"GRIT10",183639,-122.435674,47.22179202,"7.10182725944583","5.79222073213969","8.41143350407506","11.433650035523","8.5162517406226","14.3510477543067",73.003,71.684,74.322,52.864,51.049,54.679
"GRIT11",183869,-122.412236,47.21929448,"6.85629564570175","5.54668911839122","8.16590189030637","9.78417176064602","6.86674629649612","12.7015992743137",72.941,71.622,74.26,53.538,51.722,55.353
"GRIT12",183877,-122.4555075,47.18123901,"7.47481105823237","6.16520453092103","8.78441730283772","12.4804083562251","9.56301006130376","15.3978060750024",73.933,72.614,75.251,52.448,50.633,54.263
"GRIT13",183841,-122.4580004,47.20416904,"6.70597492920802","5.39636840191061","8.01558117379462","9.26519152790697","6.34365175837748","12.1869798458936",73.669,72.35,74.988,53.177,51.357,54.998
"GRIT14",183885,-122.4462381,47.21389379,"6.60733189100556","5.29772536370272","7.91693813561978","9.41620290503169","6.49861277712198","12.3338139407006",73.74,72.421,75.059,54.295,52.479,56.11
"GRIT15",183871,-122.4482335,47.19022791,"7.17808052917336","5.86847400184703","8.48768677377396","11.203929027241","8.28653073233408","14.1213267459971",75.168,73.849,76.486,52.618,50.803,54.433
"GRIT16",183873,-122.4125603,47.21200804,"7.49485058118253","6.18524405390078","8.80445682581098","11.0825834205497","8.16518512563212","13.9999811392986",76.114,74.795,77.433,55.527,53.711,57.342
"GRIT17",183815,-122.423028,47.20063098,"7.31879335153615","6.0091868242271","8.62839959617354","10.7312142558859","7.81339751563565","13.6490685253864",75.906,74.587,77.224,53.797,51.981,55.613
"GRIT18",183817,-122.4337605,47.21606794,"6.55255702028911","5.24295049297896","7.86216326489304","9.64802099420161","6.72985255632754","12.5662555292597",72.949,71.63,74.268,53.711,51.895,55.527
"GRIT19",183879,-122.4544223,47.16815367,"7.5108325094267","6.20122598210263","8.82043875404871","12.8629211596762","9.9454950431567","15.7803480075461",72.951,71.632,74.27,51.814,49.998,53.629
"GRIT20",183525,-122.4073649,47.18283149,"7.53718930975314","6.22591645322032","8.84841465445376","11.3549159253101","8.39136476769456","14.3180179235943",72.496,71.167,73.824,53.004,51.137,54.872
"GRIT21",183515,-122.424112,47.21290494,"6.31905337182367","5.0054283464603","7.632846237259","8.2784854048055","5.34860116195806","11.2087620750999",74.807,73.465,76.15,55.025,53.195,56.854
"GRIT22",183523,-122.4443658,47.17710941,"7.75723376120859","6.44632314187332","9.06812853631299","13.6136754397555","10.6955292698356","16.5317860557307",72.817,71.491,74.144,53.74,51.924,55.556
"GRIT23",183513,-122.4161099,47.21800193,"6.70905558864205","5.39944906133201","8.01866183324532","9.43299752605902","6.51305260750479","12.35297158958",71.208,69.889,72.527,52.561,50.743,54.379
"GRIT24",183545,-122.4399858,47.15272915,"7.0503155414393","5.73753842279892","8.36309519143561","9.70602821573711","6.76854260993007","12.643799947043",76.056,74.718,77.392,56.057,54.218,57.895
"GRIT25",183637,-122.4436343,47.17419709,"7.39091702267333","6.08131049536278","8.70052326725404","13.2862864480496","10.3688881530898","16.2036841668159",72.707,71.388,74.026,53.019,51.204,54.835
"GRIT26",183493,-122.4832621,47.21201859,"6.57869070895981","5.26908418166805","7.8882969535824","9.56524990351121","6.64785160859796","12.4826476222882",73.334,72.015,74.653,54.02,52.205,55.835
"GRIT31",183641,-122.4905417,47.28122931,"5.82724022708651","4.510975553558","7.14336837635176","8.02848423452216","5.110253599557","10.946791125313",72.075,70.719,73.432,54.713,52.897,56.529
"GRIT32",183479,-122.4483785,47.26041451,NA,NA,NA,"11.2198148986504","7.48239169972087","14.9568456955445",NA,NA,NA,NA,NA,NA
"GRIT33",183467,-122.4844209,47.27818761,"5.04625909232959","3.73441306571996","6.35814490624382","6.79076770370619","3.85076842771839","9.73149608046937",71.915,70.583,73.247,53.987,52.145,55.828
"GRIT34",183473,-122.4912362,47.24073436,"5.94911632842493","4.63818956074919","7.26005058901846","7.55611387748172","4.59228846160216","10.5194874090925",70.657,69.331,71.984,52.076,50.209,53.944
"GRIT35",183487,-122.4996313,47.27530093,"5.99932100930519","4.68971448201476","7.30892725391214","7.64439883725264","4.72697158296069","10.5618245323392",72.337,71.018,73.656,53.595,51.78,55.411
"GRIT36",183867,-122.3861623,47.28789452,"5.98998380270096","4.62190963759325","7.3583699165715",NA,NA,NA,73.895,72.264,75.528,NA,NA,NA
"N Tacoma N 9th and Stevens",177979,-122.4985212,47.25826896,"6.26888836934038","4.94325184735806","7.59429205267808","8.41615696214095","5.48384310394844","11.3488393664376",72.236,70.827,73.645,55.95,54.117,57.782
"Baker Middle School",173501,-122.4469426,47.1836638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edison Elementary",167029,-122.4742667,47.2036888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manitou Park Elementary School",167413,-122.4951023,47.1970288,"4.91169935437863","3.58789880577039","6.23582183394935","8.13882877487896","5.20077398313845","11.0775173937998",77.759,76.359,79.159,58.223,56.384,60.062
"Seabury School",167409,-122.4230649,47.3050156,"5.82666836169766","4.5170618343899","7.13627460629829","6.79945569696803","3.88131451513966","9.71756787627256",73.283,71.964,74.602,52.404,50.588,54.22
"Tacoma Center YMCA",171217,-122.441583,47.251503,"7.15478699099748","5.83964821924713","8.4698933183772","11.8477457628693","8.62249320458241","15.0720423898559",75.668,74.317,77.018,56.309,54.153,58.465
