,estimate,SE,t value,Chisq,p,Estimate,se,t value,Chisq,p,Estimate,se,t value,Chisq,p,Estimate,se,t value,Chisq,p,Estimate,se,t value,Chisq,p,
(Intercept),15.201,0.383,39.640,1571.310,0.000,15.202,0.384,39.625,1570.161,0.000,15.229,0.384,39.678,1574.382,0.000,15.234,0.384,39.682,1574.649,0.000,15.248,0.384,39.683,1574.704,0.000,
cc.rem,-0.012,0.004,-3.065,9.392,0.002,0.000,0.000,-2.773,7.691,0.006,0.000,0.000,-3.308,10.943,0.001,0.000,0.000,-3.342,11.169,0.001,0.000,0.000,-3.361,11.298,0.001,
cloudcover,-0.024,0.007,-3.441,11.842,0.001,-0.024,0.007,-3.443,11.854,0.001,-0.025,0.007,-3.484,12.136,0.000,-0.025,0.007,-3.491,12.188,0.000,-0.025,0.007,-3.501,12.258,0.000,
cc.rem:cloudcover,0.000,0.000,8.085,65.373,0.000,0.000,0.000,7.305,53.370,0.000,0.000,0.000,8.693,75.561,0.000,0.000,0.000,8.872,78.718,0.000,0.000,0.000,8.377,70.181,0.000,
(Intercept)1,15.042,0.386,38.956,1517.553,0.000,15.046,0.386,38.954,1517.423,0.000,15.075,0.386,39.033,1523.573,0.000,15.069,0.386,39.010,1521.778,0.000,15.062,0.386,39.000,1521.002,0.000,
X2MedVeg.10m,0.010,0.208,0.049,0.002,0.961,-0.002,0.007,-0.222,0.049,0.824,-0.006,0.004,-1.570,2.463,0.117,-0.003,0.003,-1.262,1.593,0.207,-0.002,0.002,-1.049,1.101,0.294,
cloudcover1,-0.023,0.007,-3.248,10.551,0.001,-0.023,0.007,-3.254,10.590,0.001,-0.023,0.007,-3.306,10.933,0.001,-0.023,0.007,-3.300,10.887,0.001,-0.023,0.007,-3.290,10.821,0.001,
X2MedVeg.10m:cloudcover,-0.001,0.001,-1.383,1.913,0.167,0.000,0.000,-0.301,0.091,0.763,0.000,0.000,4.775,22.796,0.000,0.000,0.000,4.008,16.068,0.000,0.000,0.000,3.515,12.357,0.000,
(Intercept)2,15.767,0.392,40.248,1619.935,0.000,15.813,0.390,40.515,1641.477,0.000,16.051,0.389,41.304,1706.058,0.000,16.059,0.390,41.207,1698.025,0.000,16.015,0.392,40.893,1672.212,0.000,
X1FineVeg.10m,-0.008,0.001,-8.855,78.407,0.000,-0.002,0.000,-10.426,108.709,0.000,-0.001,0.000,-14.974,224.233,0.000,-0.001,0.000,-14.064,197.794,0.000,0.000,0.000,-12.095,146.284,0.000,
cloudcover2,-0.030,0.007,-4.242,17.994,0.000,-0.030,0.007,-4.228,17.875,0.000,-0.032,0.007,-4.556,20.759,0.000,-0.032,0.007,-4.546,20.670,0.000,-0.032,0.007,-4.473,20.010,0.000,
X1FineVeg.10m:cloudcover,0.000,0.000,17.835,318.087,0.000,0.000,0.000,18.122,328.406,0.000,0.000,0.000,22.021,484.913,0.000,0.000,0.000,20.817,433.328,0.000,0.000,0.000,18.985,360.417,0.000,
