"ID","radius_m","total_canopy","n_features"
"GRIT01",5,553.868339394263,1
"GRIT01",10,1334.56693782793,2
"GRIT01",25,1742.34670422276,3
"GRIT01",50,39213.8024221799,21
"GRIT01",100,412871.45112491,105
"GRIT01",200,738799.199022069,379
"GRIT01",400,1937767.42133059,1554
"GRIT01",800,6889673.95432155,6471
"GRIT03",10,6134.00839625674,5
"GRIT03",25,14604.5906776597,16
"GRIT03",50,25925.3735826737,37
"GRIT03",100,148594.406550933,125
"GRIT03",200,638028.38921655,370
"GRIT03",400,1803686.73085254,1227
"GRIT03",800,7481809.36964364,4924
"GRIT06",5,2870.45419510571,1
"GRIT06",10,2870.45419510571,1
"GRIT06",25,6518.85977123206,5
"GRIT06",50,18322.2000032417,18
"GRIT06",100,63090.7748295951,81
"GRIT06",200,2357030.21363202,348
"GRIT06",400,3354726.50228254,1404
"GRIT06",800,8605006.24251258,4746
"GRIT07",5,263.500340420599,1
"GRIT07",10,563.395439072064,2
"GRIT07",25,4770.57745053864,7
"GRIT07",50,23475.1548215612,24
"GRIT07",100,124843.954212195,96
"GRIT07",200,431333.866164503,367
"GRIT07",400,19004950.7365171,1296
"GRIT07",800,23617599.3736446,4810
"GRIT09",5,5029.13710060434,2
"GRIT09",10,6424.61146477946,3
"GRIT09",25,14208.2669373055,14
"GRIT09",50,43677.8478998768,32
"GRIT09",100,202035.537626426,117
"GRIT09",200,542755.357438081,348
"GRIT09",400,1778151.71783199,867
"GRIT09",800,6702585.59455851,3310
"GRIT10",5,439.571914314581,1
"GRIT10",10,439.571914314581,1
"GRIT10",25,17100.3741450238,10
"GRIT10",50,62452.1427563752,31
"GRIT10",100,127275.286714579,127
"GRIT10",200,391986.384705539,437
"GRIT10",400,1417709.93422475,1709
"GRIT10",800,6888100.51285882,5999
"GRIT11",5,304.83782083108,1
"GRIT11",10,2068.51876120284,2
"GRIT11",25,11591.6448826284,6
"GRIT11",50,53787.5139187511,26
"GRIT11",100,96800.8397160987,82
"GRIT11",200,853819.765065427,319
"GRIT11",400,2469957.62712862,1096
"GRIT11",800,24867875.1821537,5334
"GRIT12",25,92801.8313699696,8
"GRIT12",50,110556.437174436,23
"GRIT12",100,196298.799808348,95
"GRIT12",200,777376.623594776,374
"GRIT12",400,1990920.3260919,1363
"GRIT12",800,6012737.04281195,4829
"GRIT13",5,3557.78097769767,4
"GRIT13",10,3693.97908715583,6
"GRIT13",25,31783.4671552788,17
"GRIT13",50,49104.2893871441,31
"GRIT13",100,136754.630224702,107
"GRIT13",200,508903.627066719,362
"GRIT13",400,3485735.33809483,1266
"GRIT13",800,10210172.2624315,4874
"GRIT14",10,801.199864598687,1
"GRIT14",25,4344.21740680768,11
"GRIT14",50,42772.8853591937,46
"GRIT14",100,146814.464589516,132
"GRIT14",200,432319.831016706,494
"GRIT14",400,1635419.68732306,1872
"GRIT14",800,6348585.58949979,7139
"GRIT15",5,1052.39545743942,1
"GRIT15",10,1052.39545743942,1
"GRIT15",25,11457.8965311312,10
"GRIT15",50,76598.7329583749,31
"GRIT15",100,179289.644516349,90
"GRIT15",200,498407.894510269,356
"GRIT15",400,1638979.99991281,1488
"GRIT15",800,8285410.37944317,5900
"GRIT16",5,1822.48281690526,1
"GRIT16",10,2865.24120265763,4
"GRIT16",25,15341.0484627551,12
"GRIT16",50,41847.9946501083,42
"GRIT16",100,108893.32849567,127
"GRIT16",200,522552.060171172,430
"GRIT16",400,1811748.1350367,1456
"GRIT16",800,23749707.5663487,5646
"GRIT17",10,5638.25746278512,1
"GRIT17",25,7713.88314261696,5
"GRIT17",50,66758.89754192,26
"GRIT17",100,142447.785647932,93
"GRIT17",200,330548.543050536,353
"GRIT17",400,1721693.52089139,1348
"GRIT17",800,6670472.74956687,5903
"GRIT18",5,1571.30705673717,2
"GRIT18",10,3647.2510818383,4
"GRIT18",25,5308.25348515876,11
"GRIT18",50,25630.7687634278,35
"GRIT18",100,82684.8039148811,110
"GRIT18",200,376561.202201155,468
"GRIT18",400,1491656.18245604,1880
"GRIT18",800,7094775.18256033,6916
"GRIT19",25,5077.50819265992,8
"GRIT19",50,14228.3657481945,27
"GRIT19",100,92544.3888674069,86
"GRIT19",200,524633.13603756,289
"GRIT19",400,3570875.42479554,1022
"GRIT19",800,7398704.65692373,3393
"GRIT20",400,470488.537104551,51
"GRIT20",800,3919733.24791,1375
"GRIT21",10,3873.31051467185,5
"GRIT21",25,14183.7071574473,10
"GRIT21",50,43395.0536641193,31
"GRIT21",100,124632.376716875,98
"GRIT21",200,600588.351695518,417
"GRIT21",400,2081964.94736965,1584
"GRIT21",800,7042271.68350955,6460
"GRIT22",5,3801.20021572584,1
"GRIT22",10,4381.18899322569,4
"GRIT22",25,6754.91714425805,6
"GRIT22",50,29931.041004641,28
"GRIT22",100,89434.0759460224,102
"GRIT22",200,475026.028391579,391
"GRIT22",400,1670566.61914495,1421
"GRIT22",800,7044371.51447185,5420
"GRIT23",5,13246.8475508592,2
"GRIT23",10,13246.8475508592,2
"GRIT23",25,13458.9819694978,4
"GRIT23",50,47984.7580075672,14
"GRIT23",100,124756.500683852,82
"GRIT23",200,599280.167007145,354
"GRIT23",400,2039075.96076624,1519
"GRIT23",800,7497589.29672029,5674
"GRIT25",5,252.654478880591,1
"GRIT25",10,3423.94560772881,3
"GRIT25",25,9111.15386330753,4
"GRIT25",50,29067.8053362515,25
"GRIT25",100,132099.027073637,92
"GRIT25",200,597301.657102589,354
"GRIT25",400,1748281.08571466,1319
"GRIT25",800,7867899.74958778,5327
"GRIT26",5,122427.020416628,2
"GRIT26",10,122427.020416628,2
"GRIT26",25,122669.232271072,3
"GRIT26",50,132327.58636032,7
"GRIT26",100,796874.234125502,34
"GRIT26",200,1037428.26769921,120
"GRIT26",400,2110753.89976332,702
"GRIT26",800,5281506.89590666,3001
"GRIT31",5,1345.54219992393,1
"GRIT31",10,3039.99902159061,3
"GRIT31",25,23535.6617832542,10
"GRIT31",50,58318.7601199451,46
"GRIT31",100,163659.873026984,160
"GRIT31",200,3827168.57536566,553
"GRIT31",400,5353912.06772562,1622
"GRIT31",800,11894552.8273275,5463
"GRIT33",5,14524.5698542787,2
"GRIT33",10,14692.1648307315,4
"GRIT33",25,18313.7849502541,12
"GRIT33",50,52039.068321141,39
"GRIT33",100,2307457.24627991,128
"GRIT33",200,2616999.41370483,420
"GRIT33",400,7282944.27227579,1381
"GRIT33",800,11945586.4354116,5773
"GRIT34",10,2889608.64671919,3
"GRIT34",25,2889698.31723965,6
"GRIT34",50,2893633.4488305,8
"GRIT34",100,2925268.64986934,36
"GRIT34",200,3083084.68271444,130
"GRIT34",400,4742907.20026487,677
"GRIT34",800,10969091.1480259,4163
"GRIT35",5,20467.5195122329,2
"GRIT35",10,21208.8973413479,4
"GRIT35",25,26068.4059596296,11
"GRIT35",50,56432.3265756407,35
"GRIT35",100,108067.032105114,116
"GRIT35",200,424200.616042428,463
"GRIT35",400,1729034.3145795,1914
"GRIT35",800,10137129.2343613,6908
"GRIT36",5,6455.87692373782,1
"GRIT36",10,6455.87692373782,1
"GRIT36",25,519678.04746771,6
"GRIT36",50,555170.592502099,15
"GRIT36",100,582457.644663983,53
"GRIT36",200,17532374.4167536,282
"GRIT36",400,18857749.0303427,1404
"GRIT36",800,25187890.4939339,5198
