#,Date-Time (PST/PDT),Temperature   (°C),Host Connected,End of File
1,03/08/2024 11:00:00,11.49,,
2,03/08/2024 12:00:00,8.45,,
3,03/08/2024 13:00:00,9.99,,
4,03/08/2024 14:00:00,11.97,,
5,03/08/2024 15:00:00,12.18,,
6,03/08/2024 16:00:00,11.71,,
7,03/08/2024 17:00:00,10.85,,
8,03/08/2024 18:00:00,9.82,,
9,03/08/2024 19:00:00,9.44,,
10,03/08/2024 20:00:00,8.71,,
11,03/08/2024 21:00:00,7.89,,
12,03/08/2024 22:00:00,7.33,,
13,03/08/2024 23:00:00,6.99,,
14,03/09/2024 00:00:00,6.78,,
15,03/09/2024 01:00:00,6.30,,
16,03/09/2024 02:00:00,5.66,,
17,03/09/2024 03:00:00,5.45,,
18,03/09/2024 04:00:00,4.97,,
19,03/09/2024 05:00:00,4.93,,
20,03/09/2024 06:00:00,5.06,,
21,03/09/2024 07:00:00,5.27,,
22,03/09/2024 08:00:00,5.66,,
23,03/09/2024 09:00:00,9.65,,
24,03/09/2024 10:00:00,11.41,,
25,03/09/2024 11:00:00,11.37,,
26,03/09/2024 12:00:00,11.02,,
27,03/09/2024 13:00:00,10.25,,
28,03/09/2024 14:00:00,11.54,,
29,03/09/2024 15:00:00,8.66,,
30,03/09/2024 16:00:00,9.31,,
31,03/09/2024 17:00:00,8.71,,
32,03/09/2024 18:00:00,8.41,,
33,03/09/2024 19:00:00,7.81,,
34,03/09/2024 20:00:00,7.89,,
35,03/09/2024 21:00:00,7.93,,
36,03/09/2024 22:00:00,8.71,,
37,03/09/2024 23:00:00,9.14,,
38,03/10/2024 00:00:00,8.92,,
39,03/10/2024 01:00:00,9.22,,
40,03/10/2024 03:00:00,9.35,,
41,03/10/2024 04:00:00,8.62,,
42,03/10/2024 05:00:00,8.23,,
43,03/10/2024 06:00:00,8.11,,
44,03/10/2024 07:00:00,7.98,,
45,03/10/2024 08:00:00,7.59,,
46,03/10/2024 09:00:00,7.29,,
47,03/10/2024 10:00:00,8.32,,
48,03/10/2024 11:00:00,8.79,,
49,03/10/2024 12:00:00,8.92,,
50,03/10/2024 13:00:00,9.39,,
51,03/10/2024 14:00:00,8.66,,
52,03/10/2024 15:00:00,10.16,,
53,03/10/2024 16:00:00,8.88,,
54,03/10/2024 17:00:00,8.06,,
55,03/10/2024 18:00:00,8.58,,
56,03/10/2024 19:00:00,8.58,,
57,03/10/2024 20:00:00,8.19,,
58,03/10/2024 21:00:00,8.11,,
59,03/10/2024 22:00:00,8.19,,
60,03/10/2024 23:00:00,8.02,,
61,03/11/2024 00:00:00,7.33,,
62,03/11/2024 01:00:00,7.46,,
63,03/11/2024 02:00:00,7.12,,
64,03/11/2024 03:00:00,6.65,,
65,03/11/2024 04:00:00,6.43,,
66,03/11/2024 05:00:00,5.79,,
67,03/11/2024 06:00:00,4.59,,
68,03/11/2024 07:00:00,4.63,,
69,03/11/2024 08:00:00,4.50,,
70,03/11/2024 09:00:00,5.96,,
71,03/11/2024 10:00:00,7.42,,
72,03/11/2024 11:00:00,8.28,,
73,03/11/2024 12:00:00,9.14,,
74,03/11/2024 13:00:00,9.78,,
75,03/11/2024 14:00:00,9.78,,
76,03/11/2024 15:00:00,9.26,,
77,03/11/2024 16:00:00,8.92,,
78,03/11/2024 17:00:00,9.05,,
79,03/11/2024 18:00:00,8.75,,
80,03/11/2024 19:00:00,7.93,,
81,03/11/2024 20:00:00,7.85,,
82,03/11/2024 21:00:00,7.85,,
83,03/11/2024 22:00:00,8.66,,
84,03/11/2024 23:00:00,8.71,,
85,03/12/2024 00:00:00,8.83,,
86,03/12/2024 01:00:00,8.06,,
87,03/12/2024 02:00:00,8.15,,
88,03/12/2024 03:00:00,7.81,,
89,03/12/2024 04:00:00,7.29,,
90,03/12/2024 05:00:00,7.03,,
91,03/12/2024 06:00:00,7.20,,
92,03/12/2024 07:00:00,6.86,,
93,03/12/2024 08:00:00,6.52,,
94,03/12/2024 09:00:00,6.60,,
95,03/12/2024 10:00:00,7.55,,
96,03/12/2024 11:00:00,6.43,,
97,03/12/2024 12:00:00,8.11,,
98,03/12/2024 13:00:00,8.23,,
99,03/12/2024 14:00:00,8.11,,
100,03/12/2024 15:00:00,8.79,,
101,03/12/2024 16:00:00,6.95,,
102,03/12/2024 17:00:00,8.66,,
103,03/12/2024 18:00:00,7.81,,
104,03/12/2024 19:00:00,6.99,,
105,03/12/2024 20:00:00,6.35,,
106,03/12/2024 21:00:00,5.87,,
107,03/12/2024 22:00:00,4.59,,
108,03/12/2024 23:00:00,4.37,,
109,03/13/2024 00:00:00,4.07,,
110,03/13/2024 01:00:00,3.82,,
111,03/13/2024 02:00:00,3.43,,
112,03/13/2024 03:00:00,3.13,,
113,03/13/2024 04:00:00,2.14,,
114,03/13/2024 05:00:00,1.54,,
115,03/13/2024 06:00:00,1.88,,
116,03/13/2024 07:00:00,2.66,,
117,03/13/2024 08:00:00,2.57,,
118,03/13/2024 09:00:00,3.86,,
