#,Date-Time (PDT),Temperature   (°C),Host Connected,End of File
1,06/21/2024 10:00:00,22.31,,
2,06/21/2024 11:00:00,23.38,,
3,06/21/2024 12:00:00,25.27,,
4,06/21/2024 13:00:00,26.60,,
5,06/21/2024 14:00:00,27.20,,
6,06/21/2024 15:00:00,28.74,,
7,06/21/2024 16:00:00,29.21,,
8,06/21/2024 17:00:00,29.38,,
9,06/21/2024 18:00:00,29.77,,
10,06/21/2024 19:00:00,29.38,,
11,06/21/2024 20:00:00,26.60,,
12,06/21/2024 21:00:00,25.09,,
13,06/21/2024 22:00:00,21.79,,
14,06/21/2024 23:00:00,19.82,,
15,06/22/2024 00:00:00,18.66,,
16,06/22/2024 01:00:00,17.37,,
17,06/22/2024 02:00:00,16.21,,
18,06/22/2024 03:00:00,15.06,,
19,06/22/2024 04:00:00,14.24,,
20,06/22/2024 05:00:00,13.68,,
21,06/22/2024 06:00:00,13.55,,
22,06/22/2024 07:00:00,13.77,,
23,06/22/2024 08:00:00,14.41,,
24,06/22/2024 09:00:00,15.57,,
25,06/22/2024 10:00:00,16.26,,
26,06/22/2024 11:00:00,17.93,,
27,06/22/2024 12:00:00,20.37,,
28,06/22/2024 13:00:00,22.05,,
29,06/22/2024 14:00:00,22.61,,
30,06/22/2024 15:00:00,24.28,,
31,06/22/2024 16:00:00,23.08,,
32,06/22/2024 17:00:00,23.46,,
33,06/22/2024 18:00:00,23.08,,
34,06/22/2024 19:00:00,21.28,,
35,06/22/2024 20:00:00,19.43,,
36,06/22/2024 21:00:00,18.27,,
37,06/22/2024 22:00:00,17.24,,
38,06/22/2024 23:00:00,16.94,,
39,06/23/2024 00:00:00,16.47,,
40,06/23/2024 01:00:00,16.13,,
41,06/23/2024 02:00:00,15.10,,
42,06/23/2024 03:00:00,14.54,,
43,06/23/2024 04:00:00,14.07,,
44,06/23/2024 05:00:00,13.51,,
45,06/23/2024 06:00:00,13.47,,
46,06/23/2024 07:00:00,13.94,,
47,06/23/2024 08:00:00,14.45,,
48,06/23/2024 09:00:00,15.06,,
49,06/23/2024 10:00:00,14.63,,
50,06/23/2024 11:00:00,16.13,,
51,06/23/2024 12:00:00,17.11,,
52,06/23/2024 13:00:00,17.54,,
53,06/23/2024 14:00:00,17.37,,
54,06/23/2024 15:00:00,18.96,,
55,06/23/2024 16:00:00,18.96,,
56,06/23/2024 17:00:00,19.43,,
57,06/23/2024 18:00:00,19.30,,
58,06/23/2024 19:00:00,18.40,,
59,06/23/2024 20:00:00,17.72,,
60,06/23/2024 21:00:00,16.73,,
61,06/23/2024 22:00:00,15.57,,
62,06/23/2024 23:00:00,14.84,,
63,06/24/2024 00:00:00,14.15,,
64,06/24/2024 01:00:00,13.51,,
65,06/24/2024 02:00:00,12.95,,
66,06/24/2024 03:00:00,12.87,,
67,06/24/2024 04:00:00,12.70,,
68,06/24/2024 05:00:00,12.61,,
69,06/24/2024 06:00:00,12.27,,
70,06/24/2024 07:00:00,12.44,,
71,06/24/2024 08:00:00,13.30,,
72,06/24/2024 09:00:00,14.33,,
73,06/24/2024 10:00:00,14.80,,
74,06/24/2024 11:00:00,15.74,,
75,06/24/2024 12:00:00,16.60,,
76,06/24/2024 13:00:00,17.80,,
77,06/24/2024 14:00:00,18.66,,
78,06/24/2024 15:00:00,19.39,,
79,06/24/2024 16:00:00,19.95,,
80,06/24/2024 17:00:00,20.46,,
81,06/24/2024 18:00:00,20.46,,
82,06/24/2024 19:00:00,20.29,,
83,06/24/2024 20:00:00,19.95,,
84,06/24/2024 21:00:00,18.06,,
85,06/24/2024 22:00:00,16.60,,
86,06/24/2024 23:00:00,15.53,,
87,06/25/2024 00:00:00,14.67,,
88,06/25/2024 01:00:00,14.03,,
89,06/25/2024 02:00:00,14.33,,
90,06/25/2024 03:00:00,14.03,,
91,06/25/2024 04:00:00,13.30,,
92,06/25/2024 05:00:00,12.65,,
93,06/25/2024 06:00:00,12.91,,
