#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Stopped,End of File
1,03/24/2022 17:32:16,19.56,,
2,03/24/2022 17:33:16,19.69,,
3,03/24/2022 17:34:16,19.69,,
4,03/24/2022 17:35:16,19.56,,
5,03/24/2022 17:36:16,19.47,,
6,03/24/2022 17:37:16,19.43,,
7,03/24/2022 17:38:16,19.39,,
8,03/24/2022 17:39:16,19.35,,
9,03/24/2022 17:40:16,19.35,,
10,03/24/2022 17:41:16,19.30,,
11,03/24/2022 17:42:16,19.35,,
12,03/24/2022 17:43:16,19.22,,
13,03/24/2022 17:44:16,19.30,,
14,03/24/2022 17:45:16,19.26,,
15,03/24/2022 17:46:16,19.17,,
16,03/24/2022 17:47:16,19.22,,
17,03/24/2022 17:48:16,19.17,,
18,03/24/2022 17:49:16,19.22,,
19,03/24/2022 17:50:16,19.22,,
20,03/24/2022 17:51:16,19.13,,
21,03/24/2022 17:52:16,19.13,,
22,03/24/2022 17:53:16,19.17,,
23,03/24/2022 17:54:16,19.17,,
24,03/24/2022 17:55:16,19.13,,
25,03/24/2022 17:56:16,19.13,,
26,03/24/2022 17:57:16,19.22,,
27,03/24/2022 17:58:16,19.17,,
28,03/24/2022 17:59:16,19.17,,
29,03/24/2022 18:00:16,19.17,,
30,03/24/2022 18:01:16,19.17,,
31,03/24/2022 18:02:16,19.13,,
32,03/24/2022 18:03:16,19.13,,
33,03/24/2022 18:04:16,19.17,,
34,03/24/2022 18:05:16,19.17,,
35,03/24/2022 18:06:16,19.13,,
36,03/24/2022 18:07:16,19.17,,
37,03/24/2022 18:08:16,19.13,,
38,03/24/2022 18:09:16,19.17,,
39,03/24/2022 18:10:16,19.22,,
40,03/24/2022 18:11:16,19.17,,
41,03/24/2022 18:12:16,19.22,,
42,03/24/2022 18:13:16,19.17,,
43,03/24/2022 18:14:16,19.17,,
44,03/24/2022 18:15:16,19.17,,
45,03/24/2022 18:16:16,19.17,,
46,03/24/2022 18:17:16,19.17,,
47,03/24/2022 18:18:16,19.22,,
48,03/24/2022 18:19:16,19.22,,
49,03/24/2022 18:20:16,19.26,,
50,03/24/2022 18:21:16,19.17,,
51,03/24/2022 18:22:16,19.22,,
52,03/24/2022 18:23:16,19.17,,
53,03/24/2022 18:24:16,19.22,,
54,03/24/2022 18:25:16,19.22,,
55,03/24/2022 18:26:16,19.22,,
56,03/24/2022 18:27:16,19.22,,
57,03/24/2022 18:28:16,19.22,,
58,03/24/2022 18:29:16,19.22,,
59,03/24/2022 18:30:16,19.22,,
60,03/24/2022 18:31:16,19.22,,
61,03/24/2022 18:32:16,19.17,,
62,03/24/2022 18:33:16,19.22,,
63,03/24/2022 18:34:16,19.30,,
64,03/24/2022 18:35:16,19.39,,
65,03/24/2022 18:36:16,19.52,,
66,03/24/2022 18:37:16,19.60,,
67,03/24/2022 18:38:16,19.73,,
68,03/24/2022 18:39:16,19.86,,
69,03/24/2022 18:40:16,19.99,,
70,03/24/2022 18:41:16,20.07,,
71,03/24/2022 18:42:16,20.25,,
72,03/24/2022 18:43:16,20.37,,
73,03/24/2022 18:44:16,20.55,,
74,03/24/2022 18:45:16,20.68,,
75,03/24/2022 18:46:16,20.80,,
76,03/24/2022 18:47:16,20.89,,
77,03/24/2022 18:48:16,21.06,,
78,03/24/2022 18:49:16,21.19,,
79,03/24/2022 18:50:16,21.28,,
80,03/24/2022 18:51:16,21.40,,
81,03/24/2022 18:52:16,21.36,,
82,03/24/2022 18:53:16,21.45,,
83,03/24/2022 18:54:16,21.49,,
84,03/24/2022 18:55:16,21.53,,
85,03/24/2022 18:56:16,21.45,,
86,03/24/2022 18:57:16,21.32,,
87,03/24/2022 18:58:16,21.32,,
88,03/24/2022 18:59:16,21.23,,
89,03/24/2022 18:59:59,,Logged,Logged
