#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,03/28/2022 20:48:45,,Logged,
2,03/29/2022 14:20:23,,Logged,
3,03/29/2022 17:00:00,13.47,,
4,03/29/2022 18:00:00,12.14,,
5,03/29/2022 19:00:00,11.62,,
6,03/29/2022 20:00:00,10.81,,
7,03/29/2022 21:00:00,9.86,,
8,03/29/2022 22:00:00,8.75,,
9,03/29/2022 23:00:00,8.62,,
10,03/30/2022 00:00:00,8.88,,
11,03/30/2022 01:00:00,8.75,,
12,03/30/2022 02:00:00,8.32,,
13,03/30/2022 03:00:00,8.28,,
14,03/30/2022 04:00:00,8.28,,
15,03/30/2022 05:00:00,8.41,,
16,03/30/2022 06:00:00,7.89,,
17,03/30/2022 07:00:00,7.89,,
18,03/30/2022 08:00:00,8.71,,
19,03/30/2022 09:00:00,9.52,,
20,03/30/2022 10:00:00,9.18,,
21,03/30/2022 11:00:00,11.24,,
22,03/30/2022 12:00:00,12.10,,
23,03/30/2022 13:00:00,12.87,,
24,03/30/2022 14:00:00,13.17,,
25,03/30/2022 15:00:00,12.95,,
26,03/30/2022 16:00:00,12.57,,
27,03/30/2022 17:00:00,11.11,,
28,03/30/2022 18:00:00,11.62,,
29,03/30/2022 19:00:00,10.29,,
30,03/30/2022 20:00:00,8.92,,
31,03/30/2022 21:00:00,8.06,,
32,03/30/2022 22:00:00,7.68,,
33,03/30/2022 23:00:00,7.20,,
34,03/31/2022 00:00:00,6.43,,
35,03/31/2022 01:00:00,5.87,,
36,03/31/2022 02:00:00,5.83,,
37,03/31/2022 03:00:00,5.75,,
38,03/31/2022 04:00:00,5.62,,
39,03/31/2022 05:00:00,5.27,,
40,03/31/2022 06:00:00,5.23,,
41,03/31/2022 07:00:00,4.76,,
42,03/31/2022 08:00:00,5.62,,
43,03/31/2022 09:00:00,6.35,,
44,03/31/2022 10:00:00,6.56,,
45,03/31/2022 11:00:00,8.06,,
46,03/31/2022 12:00:00,10.72,,
47,03/31/2022 13:00:00,10.59,,
48,03/31/2022 14:00:00,12.65,,
49,03/31/2022 15:00:00,13.17,,
50,03/31/2022 16:00:00,13.85,,
51,03/31/2022 17:00:00,14.07,,
52,03/31/2022 18:00:00,12.18,,
53,03/31/2022 19:00:00,11.67,,
54,03/31/2022 20:00:00,10.46,,
55,03/31/2022 21:00:00,9.44,,
56,03/31/2022 22:00:00,8.71,,
57,03/31/2022 23:00:00,7.81,,
58,04/01/2022 00:00:00,7.42,,
59,04/01/2022 01:00:00,6.99,,
60,04/01/2022 02:00:00,6.30,,
61,04/01/2022 03:00:00,6.05,,
62,04/01/2022 04:00:00,5.79,,
63,04/01/2022 05:00:00,5.36,,
64,04/01/2022 06:00:00,4.67,,
65,04/01/2022 07:00:00,4.24,,
66,04/01/2022 08:00:00,5.36,,
67,04/01/2022 09:00:00,6.95,,
68,04/01/2022 10:00:00,8.79,,
69,04/01/2022 11:00:00,9.44,,
70,04/01/2022 12:00:00,10.94,,
71,04/01/2022 13:00:00,12.52,,
72,04/01/2022 14:00:00,12.52,,
73,04/01/2022 15:00:00,12.82,,
74,04/01/2022 16:00:00,12.18,,
75,04/01/2022 17:00:00,11.62,,
76,04/01/2022 18:00:00,11.15,,
