Line#,Date,"Temperature (MX-TEMP-4 21302946:21302946-1), *C, 21302946","Temperature (MX-TEMP-4 21302947:21302947-1), *C, 21302947","Temperature (MX-TEMP-4 21302950:21302950-1), *C, 21302950","Temperature (MX-TEMP-4 21302953:21302953-1), *C, 21302953","Temperature (MX-TEMP-4 21302957:21302957-1), *C, 21302957","Temperature (MX-TEMP-4 21302967:21302967-1), *C, 21302967","Temperature (MX-TEMP-4 21302974:21302974-1), *C, 21302974","Temperature (MX-TEMP-4 21302976:21302976-1), *C, 21302976","Temperature (MX-TEMP-4 21302977:21302977-1), *C, 21302977","Temperature (MX-TEMP-4 21302980:21302980-1), *C, 21302980"
1,5/23/2022 4:00,17.8,17.63,,,,17.63,17.59,18.1,17.89,
2,5/23/2022 4:25,,,,,17.41,,,,,
3,5/23/2022 5:00,16.34,16.56,,,,15.91,16.13,16.69,16.51,
4,5/23/2022 5:26,,,,,16.47,,,,,
5,5/23/2022 6:00,15.36,15.57,,,,14.93,15.14,15.57,15.4,
6,5/23/2022 6:27,,,,,15.27,,,,,
7,5/23/2022 7:00,14.58,14.67,,,,14.58,14.5,14.75,14.63,
8,5/23/2022 7:28,,,,,14.45,,,,,
9,5/23/2022 8:00,13.9,13.98,,,,13.94,13.9,14.15,14.07,
10,5/23/2022 8:29,,,,,13.6,,,,,
11,5/23/2022 9:00,13.04,12.91,,,,12.87,12.82,13.08,13.08,
12,5/23/2022 9:30,,,,,12.7,,,,,
13,5/23/2022 10:00,12.05,11.75,,,,11.62,11.75,12.1,12.01,
14,5/23/2022 10:31,,,,,12.14,,,,,
15,5/23/2022 11:00,11.75,11.58,,,,11.75,11.71,11.79,11.62,
16,5/23/2022 11:32,,,,,11.54,,,,,
17,5/23/2022 12:00,11.24,11.02,,,,11.19,11.11,11.32,11.24,
18,5/23/2022 12:33,,,,,11.19,,,,,
19,5/23/2022 13:00,10.89,10.77,,,,10.98,10.89,11.15,11.11,
20,5/23/2022 13:34,,,,,11.07,,,,,
21,5/23/2022 14:00,11.24,11.07,,,,11.19,11.07,11.37,11.41,
22,5/23/2022 14:35,,,,,11.71,,,,,
23,5/23/2022 15:00,11.54,11.24,,,,11.41,11.45,11.75,11.71,
24,5/23/2022 15:36,,,,,12.22,,,,,
25,5/23/2022 16:00,12.65,12.4,,,,12.52,12.52,12.82,12.74,
26,5/23/2022 16:37,,,,,13.55,,,,,
27,5/23/2022 17:00,13.55,13.38,,,,13.21,13.21,13.6,13.47,
28,5/23/2022 17:38,,,,,14.41,,,,,
29,5/23/2022 18:00,14.84,15.4,,,,14.71,15.01,15.1,15.1,
30,5/23/2022 18:39,,,,,16.3,,,,,
31,5/23/2022 19:00,16.64,17.03,,,,16.3,16.47,16.86,16.86,
32,5/23/2022 19:40,,,,,18.27,,,,,
33,5/23/2022 20:00,17.63,18.14,,,,17.8,17.76,18.36,18.19,
34,5/23/2022 20:41,,,,,18.32,,,,,
35,5/23/2022 21:00,18.14,18.4,,,,17.93,17.89,18.44,18.7,
36,5/23/2022 21:42,,,,,19.04,,,,,
37,5/23/2022 22:00,18.49,19.52,,,,18.83,18.57,19,19,
38,5/23/2022 22:43,,,,,19.09,,,,,
39,5/23/2022 23:00,18.74,19.82,,,,18.66,18.27,19.17,19.3,
40,5/23/2022 23:44,,,,,19.35,,,,,
41,5/24/2022 0:00,18.83,19.35,,,,18.44,18.06,19.04,18.83,
42,5/24/2022 0:45,,,,,18.66,,,,,
43,5/24/2022 1:00,18.36,18.4,,,,18.32,18.02,18.66,18.57,
44,5/24/2022 1:46,,,,,17.97,,,,,
45,5/24/2022 2:00,17.37,17.46,,,,17.8,17.07,17.84,17.93,
46,5/24/2022 2:47,,,,,16.64,,,,,
47,5/24/2022 3:00,16.04,16.04,,,,16.08,15.91,16.47,16.21,
48,5/24/2022 3:48,,,,,15.27,,,,,
49,5/24/2022 4:00,14.75,14.75,,,,14.93,14.71,15.06,14.88,
50,5/24/2022 4:49,,,,,13.77,,,,,
51,5/24/2022 5:00,13.12,13.17,,,,13.34,13.25,13.43,13.34,
52,5/24/2022 5:50,,,,,13,,,,,
53,5/24/2022 6:00,12.57,12.61,,,,12.7,12.57,12.78,12.78,
54,5/24/2022 6:51,,,,,12.65,,,,,
55,5/24/2022 7:00,12.44,12.31,,,,12.4,12.27,12.7,12.52,
56,5/24/2022 7:52,,,,,12.4,,,,,
57,5/24/2022 8:00,11.97,11.88,,,,12.05,12.05,12.35,12.14,
58,5/24/2022 8:53,,,,,11.75,,,,,
59,5/24/2022 9:00,11.62,11.32,,,,11.71,11.62,11.79,11.62,
60,5/24/2022 9:54,,,,,11.49,,,,,
61,5/24/2022 10:00,11.19,11.15,,,,11.54,11.54,11.49,11.41,
62,5/24/2022 10:55,,,,,11.11,,,,,
63,5/24/2022 11:00,10.94,11.07,,,,11.02,10.89,11.15,11.07,
64,5/24/2022 11:56,,,,,11.15,,,,,
65,5/24/2022 12:00,10.94,10.98,,,,10.98,10.85,11.19,11.02,
66,5/24/2022 12:57,,,,,11.19,,,,,
67,5/24/2022 13:00,11.07,10.98,,,,11.19,11.02,11.45,11.28,
68,5/24/2022 13:58,,,,,11.41,,,,,
69,5/24/2022 14:00,11.37,11.11,,,,11.19,11.19,11.45,11.45,
70,5/24/2022 14:59,,,,,11.97,,,,,
71,5/24/2022 15:00,11.92,11.79,,,,11.97,11.84,12.14,12.22,
72,5/24/2022 16:00,12.22,12.18,,,12.48,12.27,12.22,12.57,12.61,
73,5/24/2022 17:00,12.48,12.4,,,,12.31,12.22,12.74,12.57,
74,5/24/2022 17:01,,,,,12.57,,,,,
75,5/24/2022 18:00,12.91,12.82,,,,12.91,12.65,13.21,13.21,
76,5/24/2022 18:02,,,,,13.08,,,,,
77,5/24/2022 19:00,13.85,13.77,,,,13.85,13.68,14.15,14.11,
78,5/24/2022 19:03,,,,,13.73,,,,,
79,5/24/2022 20:00,15.14,15.48,15.53,16,,15.01,15.06,15.53,15.66,
80,5/24/2022 20:04,,,,,15.66,,,,,
81,5/24/2022 21:00,16.34,16.39,16.26,16.94,,16.21,16.3,16.77,16.81,
82,5/24/2022 21:05,,,,,16.6,,,,,
83,5/24/2022 22:00,16.34,16.64,16.51,16.47,,16.13,15.83,16.9,16.64,
84,5/24/2022 22:06,,,,,16.3,,,,,
85,5/24/2022 23:00,14.58,14.63,14.67,15.14,,14.84,14.33,15.1,15.06,
86,5/24/2022 23:07,,,,,14.67,,,,,
87,5/25/2022 0:00,14.24,14.37,14.07,14.28,,14.11,13.81,14.33,14.28,
88,5/25/2022 0:08,,,,,13.9,,,,,
89,5/25/2022 1:00,14.37,14.33,14.15,14.33,,14.15,14.07,14.63,14.54,
90,5/25/2022 1:09,,,,,14.2,,,,,
91,5/25/2022 2:00,14.41,14.11,14.37,14.11,,13.9,14.03,14.71,14.67,
92,5/25/2022 2:10,,,,,14.2,,,,,
93,5/25/2022 3:00,14.24,14.15,14.03,14.28,,14.28,13.98,14.58,14.45,
94,5/25/2022 3:11,,,,,14.07,,,,,
95,5/25/2022 4:00,13.73,13.68,13.6,13.81,,13.85,13.68,14.07,13.94,
96,5/25/2022 4:12,,,,,13.77,,,,,
97,5/25/2022 5:00,12.35,12.91,12.57,12.78,,12.57,12.52,12.48,12.61,
98,5/25/2022 5:13,,,,,12.57,,,,,
99,5/25/2022 6:00,12.05,12.22,11.97,12.31,,12.18,12.18,12.27,12.18,
100,5/25/2022 6:14,,,,,12.18,,,,,
101,5/25/2022 7:00,11.92,12.01,11.97,12.31,,12.1,12.01,12.18,12.1,
102,5/25/2022 7:15,,,,,12.18,,,,,
103,5/25/2022 8:00,11.54,11.41,11.41,11.71,,11.58,11.58,11.62,11.67,
104,5/25/2022 8:16,,,,,11.75,,,,,
105,5/25/2022 9:00,11.41,11.54,11.45,11.79,,11.67,11.58,11.54,11.54,
106,5/25/2022 9:17,,,,,11.84,,,,,
107,5/25/2022 10:00,11.54,11.54,11.45,11.84,,11.67,11.67,11.67,11.67,
108,5/25/2022 10:18,,,,,11.79,,,,,
109,5/25/2022 11:00,11.32,11.32,11.19,11.62,,11.37,11.37,11.54,11.45,
110,5/25/2022 11:19,,,,,11.54,,,,,
111,5/25/2022 12:00,11.75,11.49,11.49,11.71,,11.75,11.67,11.71,11.75,
112,5/25/2022 12:20,,,,,11.75,,,,,
113,5/25/2022 13:00,12.01,11.88,11.88,12.05,,12.18,12.1,12.22,12.18,
114,5/25/2022 13:21,,,,,12.14,,,,,
115,5/25/2022 14:00,12.82,12.48,12.52,12.57,,12.87,12.65,13,12.95,
116,5/25/2022 14:22,,,,,12.74,,,,,
117,5/25/2022 15:00,13.34,12.95,13.04,13.04,,13.25,13.21,13.34,13.38,
118,5/25/2022 15:23,,,,,13.51,,,,,
119,5/25/2022 16:00,14.88,14.71,14.75,14.93,,14.63,14.71,14.88,15.01,
120,5/25/2022 16:24,,,,,15.96,,,,,
121,5/25/2022 17:00,15.96,16.3,16.34,16.9,,15.83,16.21,16.04,16.08,
122,5/25/2022 17:25,,,,,16.3,,,,,
