Latitude,Longitude,Elevation,Time,Name,Symbol
47.554352,-122.272369,7.423134,,042,"Flag, Blue"
47.218584,-122.473756,10.737856,,043,"Flag, Blue"
47.216881,-122.473775,40.663795,,044,"Flag, Blue"
47.211774,-122.482961,64.888931,,045,"Flag, Blue"
47.213277,-122.483526,69.20665,,046,"Flag, Blue"
47.220944,-122.484222,77.377708,,047,"Flag, Blue"
47.221409,-122.484049,76.183144,,048,"Flag, Blue"
47.22233,-122.483463,79.131012,,049,"Flag, Blue"
47.209794,-122.483606,NA,,050,"Flag, Blue"
47.21932584,-122.4737207,41.687782,,051,"Flag, Blue"
47.216117,-122.473789,35.237785,,052,"Flag, Blue"
47.217316,-122.473672,NA,,053,"Flag, Blue"
47.220145,-122.473804,63.058136,,054,"Flag, Blue"
47.226471,-122.471788,81.53904,,055,"Flag, Blue"
47.224934,-122.469844,110.667191,,056,"Flag, Blue"
47.227555,-122.472092,88.257942,,057,"Flag, Blue"
47.651961,-122.313691,91.755333,,058,"Flag, Blue"
47.227716,-122.469666,91.087395,,059,"Flag, Blue"
47.226325,-122.473356,89.853279,,060,"Flag, Blue"
47.228162,-122.473715,87.715073,,061,"Flag, Blue"
47.222363,-122.47379,95.246498,,062,"Flag, Blue"
47.221383,-122.473742,100.048164,,063,"Flag, Blue"
