UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/07/06T00:01:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,25,53,1008.83,0.01,7816,-68,357269,1.27,1.95,1.95,1.27,1.95,1.95,8,8,484.18,130.41,15.62,0.38,0.00,0.00,1.51,1.90,2.00,1.51,1.90,2.00,8,8,446.44,123.22,11.29,0.51,0.08,0.00,77.46
2024/07/06T00:03:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,93,25,52,1008.83,0.01,7816,-65,357388,2.00,2.64,2.83,2.00,2.64,2.83,11,11,505.88,141.39,18.02,0.93,0.24,0.00,1.93,2.47,2.89,1.93,2.47,2.89,10,10,470.84,135.23,16.39,1.12,0.60,0.21,75.81
2024/07/06T00:05:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,24,52,1008.79,0.01,7816,-67,357508,1.60,2.16,2.16,1.60,2.16,2.16,9,9,446.53,128.28,10.52,0.12,0.00,0.00,1.54,2.02,2.02,1.54,2.02,2.02,8,8,445.47,124.84,8.53,0.09,0.00,0.00,75.45
2024/07/06T00:07:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,95,24,53,1008.74,0.01,7816,-71,357628,1.50,1.91,1.91,1.50,1.91,1.91,8,8,451.76,128.98,12.19,0.12,0.00,0.00,1.05,1.41,1.84,1.05,1.41,1.84,6,6,405.31,117.21,12.57,0.55,0.48,0.24,75.29
2024/07/06T00:09:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,93,24,51,1008.72,0.01,7816,-69,357748,1.64,1.91,2.07,1.64,1.91,2.07,8,8,424.88,120.09,9.86,0.59,0.27,0.02,1.59,2.08,2.08,1.59,2.08,2.08,9,9,429.46,121.69,12.29,0.37,0.00,0.00,76.25
2024/07/06T00:11:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,93,24,51,1008.68,0.01,7816,-70,357868,1.66,1.66,2.19,1.66,1.66,2.19,7,7,436.71,127.22,10.72,0.91,0.91,0.24,1.93,2.28,2.29,1.93,2.28,2.29,9,9,460.55,131.21,12.81,0.74,0.09,0.09,78.66
2024/07/06T00:13:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,24,52,1008.67,0.01,7816,-69,357988,1.64,2.19,2.48,1.64,2.19,2.48,9,9,467.07,128.59,13.43,0.88,0.29,0.09,1.16,1.85,2.51,1.16,1.85,2.51,8,8,415.85,120.33,16.00,1.22,0.95,0.55,79.11
2024/07/06T00:15:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,24,52,1008.64,0.01,7816,-67,358108,2.17,2.71,2.85,2.17,2.71,2.85,11,11,496.88,141.34,13.39,0.47,0.14,0.14,1.33,1.70,2.05,1.33,1.70,2.05,7,7,482.00,132.70,12.79,0.75,0.40,0.21,78.66
2024/07/06T00:17:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,24,52,1008.62,0.01,7816,-71,358228,1.65,2.19,2.44,1.65,2.19,2.44,9,9,439.95,127.82,12.47,1.11,0.42,0.18,1.81,2.44,2.66,1.81,2.44,2.66,10,10,454.58,128.85,13.03,0.85,0.22,0.22,77.73
2024/07/06T00:19:53z,48:3f:da:26:d4:fe,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,94,24,51,1008.60,0.01,7816,-73,358348,1.46,1.80,2.05,1.46,1.80,2.05,7,7,454.73,133.90,9.41,0.25,0.25,0.25,1.34,1.62,1.97,1.34,1.62,1.97,7,7,396.26,115.53,8.97,1.00,0.57,0.24,76.82
