time_stamp,private,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,latitude,longitude,day
2024-07-03T00:00:00Z,0,38.067,38.067,38.067,81.067,81.067,81.067,1014.099,1014.099,1014.099,76.553,,76.553,0.01,2.7,2.9,2.4,10.4,10.8,10,8.1,8.3,7.9,173.2,169.7,176.8,695.2675000000000,720.85,669.685,194.586,201.86,187.312,23.932000000000000,28.049,19.815,3.5605,4.356,2.765,1.6265,1.689,1.564,0.514,0.498,0.53,2.48,2.239,2.721,2.48,2.239,2.721,3.5965,3.531,3.662,3.5965,3.531,3.662,4.867,5.045,4.689,4.867,5.045,4.689,47.146207,-122.556397,July 3rd
2024-07-03T00:30:00Z,0,38.933,38.933,38.933,79.933,79.933,79.933,1014,1014,1014,75.013,,75.013,0.01,2.2,2.3,2.1,8.7,8.7,8.7,7.2,7.2,7.2,190.6,190.6,190.5,581.4460000000000,581.159,581.733,163.0405,161.141,164.94,17.6805,20.278,15.083,1.788,2.185,1.391,0.9505000000000000,1.144,0.757,0.363,0.435,0.291,1.885,1.395,2.375,1.885,1.395,2.375,2.6505,2.366,2.935,2.6505,2.366,2.935,3.3095,3.159,3.46,3.3095,3.159,3.46,47.146207,-122.556397,July 3rd
2024-07-03T01:00:00Z,0,38.933,38.933,38.933,80.133,80.133,80.133,1013.911,1013.911,1013.911,73.991,,73.991,0.01,2.1,2.3,1.9,8.4,8.6,8.2,7,7.1,6.9,194.2,192,196.5,560.12,572.941,547.299,156.02250000000000,159.57,152.475,16.818000000000000,20.273,13.363,1.7915,2.146,1.437,0.9205,0.99,0.851,0.3675,0.323,0.412,1.729,1.427,2.031,1.729,1.427,2.031,2.458,2.349,2.567,2.458,2.349,2.567,3.109,3.049,3.169,3.109,3.049,3.169,47.146207,-122.556397,July 3rd
2024-07-03T01:30:00Z,0,39.133,39.133,39.133,79.8,79.8,79.8,1013.8,1013.8,1013.8,73.115,,73.115,0.01,2.1,2.3,2,8.6,8.7,8.5,7.1,7.1,7,192.4,191.2,193.6,570.5525,577.551,563.554,159.711,159.787,159.635,18.403,21.389,15.417,2.469,2.788,2.15,1.3130000000000000,1.477,1.149,0.5780000000000000,0.549,0.607,1.748,1.371,2.125,1.7465000000000000,1.368,2.125,2.648,2.471,2.825,2.648,2.471,2.825,3.5375000000000000,3.461,3.614,3.5375000000000000,3.461,3.614,47.146207,-122.556397,July 3rd
2024-07-03T02:00:00Z,0,39.667,39.667,39.667,79.733,79.733,79.733,1013.814,1013.814,1013.814,72.802,,72.802,0.01,2,2.2,1.9,8.1,8.1,8.1,6.8,6.8,6.8,197.8,197.6,198,540.0550000000000,541.133,538.977,150.70750000000000,151.012,150.403,16.527,19.493,13.561,1.997,2.361,1.633,1.2185,1.509,0.928,0.398,0.377,0.419,1.5785,1.185,1.972,1.5785,1.185,1.972,2.355,2.122,2.588,2.355,2.122,2.588,3.138,3.07,3.206,3.138,3.07,3.206,47.146207,-122.556397,July 3rd
2024-07-03T02:30:00Z,0,40.6,40.6,40.6,78.467,78.467,78.467,1013.943,1013.943,1013.943,74.511,,74.511,0.01,1.8,1.9,1.7,7.2,7.2,7.2,6.2,6.2,6.2,209.5,209.6,209.3,478.832,477.957,479.707,134.303,133.503,135.103,16.842,19.645,14.039,3.1465000000000000,4.065,2.228,1.9015,2.594,1.209,0.7255,0.914,0.537,1.2285,0.75,1.707,1.2285,0.75,1.707,2.078,1.765,2.391,2.078,1.765,2.391,3.3725000000000000,3.506,3.239,3.3725000000000000,3.506,3.239,47.146207,-122.556397,July 3rd
2024-07-03T03:00:00Z,0,42.333,42.333,42.333,76.067,76.067,76.067,1014.088,1014.088,1014.088,75.758,,75.758,0.01,2.6,2.8,2.5,9.1,9.3,8.9,7.4,7.5,7.3,186.4,184.7,188.1,606.7575,617.291,596.224,172.023,174.524,169.522,29.0595,32.359,25.76,5.934,6.851,5.017,2.966,2.757,3.175,0.9985000000000000,0.975,1.022,2.062,1.748,2.376,2.062,1.748,2.376,3.5285,3.411,3.646,3.529,3.411,3.647,5.7705,5.88,5.661,5.7705,5.88,5.661,47.146207,-122.556397,July 3rd
2024-07-03T03:30:00Z,0,44.533,44.533,44.533,73.667,73.667,73.667,1014.206,1014.206,1014.206,77.135,,77.135,0.01,2.1,2.2,2,7.8,7.9,7.6,6.6,6.7,6.5,201.8,200.2,203.3,518.341,526.711,509.971,146.142,147.987,144.297,21.2675,23.855,18.68,4.348,5.393,3.303,2.2715,2.467,2.076,0.8885000000000000,1,0.777,1.8515000000000000,1.837,1.866,1.8515000000000000,1.837,1.866,2.9635,3.186,2.741,2.9635,3.186,2.741,4.634,5.167,4.101,4.634,5.167,4.101,47.146207,-122.556397,July 3rd
2024-07-03T04:00:00Z,0,46.4,46.4,46.4,71.933,71.933,71.933,1014.314,1014.314,1014.314,77.623,,77.623,0.01,4.2,4.4,4,15.1,15.5,14.7,10.3,10.5,10.2,138.9,136.5,141.3,1004.6695,1031.327,978.012,284.2815,291.647,276.916,42.9705,47.4,38.541,7.856,9.567,6.145,3.601,3.473,3.729,1.1155,1.229,1.002,4.6945,4.843,4.546,4.0735,4.115,4.032,5.995,6.271,5.719,6.8165,7.268,6.365,8.7615,9.464,8.059,9.6175,10.512,8.723,47.146207,-122.556397,July 3rd
2024-07-03T04:30:00Z,0,47.867,47.867,47.867,70.2,70.2,70.2,1014.691,1014.691,1014.691,77.967,,77.967,0.011,1.8,1.8,1.7,6.8,6.8,6.9,6,6,6,214.2,214.7,213.6,456.192,453.617,458.767,128.66900000000000,127.775,129.563,17.1585,19.255,15.062,3.666,4.045,3.287,2.1675,2.177,2.158,0.988,1.009,0.967,1.5655000000000000,1.52,1.611,1.5655000000000000,1.52,1.611,2.4460000000000000,2.561,2.331,2.4460000000000000,2.561,2.331,3.971,4.128,3.814,3.971,4.128,3.814,47.146207,-122.556397,July 3rd
