time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-07-03T00:00:00Z,30.967,30.967,,85.867,85.867,,1011.765,1011.765,,3.5375,3.551,3.524
2024-07-03T01:00:00Z,28.4,28.4,,88.4,88.4,,1011.626,1011.626,,3.0469999999999997,3.056,3.038
2024-07-03T02:00:00Z,32.5,32.5,,83,83,,1011.659,1011.659,,3.036,3.104,2.968
2024-07-03T03:00:00Z,40.8,40.8,,74.466,74.466,,1011.802,1011.802,,2.8405,2.873,2.808
2024-07-03T04:00:00Z,45.834,45.834,,70,70,,1012.18,1012.18,,3.279,3.353,3.205
2024-07-03T05:00:00Z,49.267,49.267,,67.5,67.5,,1012.443,1012.443,,3.3365,3.36,3.313
2024-07-03T06:00:00Z,52.367,52.367,,64.934,64.934,,1012.861,1012.861,,3.0825,3.199,2.966
2024-07-03T07:00:00Z,54.9,54.9,,63.633,63.633,,1013.54,1013.54,,3.745,3.943,3.547
2024-07-03T08:00:00Z,58.066,58.066,,61.567,61.567,,1014.178,1014.178,,4.085,4.353,3.817
2024-07-03T09:00:00Z,59.567,59.567,,60.667,60.667,,1014.218,1014.218,,3.4885,3.709,3.268
2024-07-03T10:00:00Z,60.666,60.666,,59.933,59.933,,1014.253,1014.253,,3.8165,4.232,3.401
2024-07-03T11:00:00Z,61.6,61.6,,59.317,59.317,,1014.249,1014.249,,3.9015,4.12,3.683
2024-07-03T12:00:00Z,62,62,,59,59,,1014.689,1014.689,,4.6495,4.922,4.377
2024-07-03T13:00:00Z,62.867,62.867,,59.3,59.3,,1014.774,1014.774,,4.375,4.597,4.153
2024-07-03T14:00:00Z,61.633,61.633,,61.133,61.133,,1015.041,1015.041,,3.9245,4.136,3.713
2024-07-03T15:00:00Z,59.334,59.334,,62.433,62.433,,1015.297,1015.297,,4.4815000000000005,4.715,4.248
2024-07-03T16:00:00Z,55.867,55.867,,64.8,64.8,,1015.236,1015.236,,5.317,5.587,5.047
2024-07-03T17:00:00Z,52.7,52.7,,67.267,67.267,,1015.472,1015.472,,5.728,5.897,5.559
2024-07-03T18:00:00Z,50.267,50.267,,69.2,69.2,,1015.269,1015.269,,6.241,6.322,6.16
2024-07-03T19:00:00Z,46.933,46.933,,72.067,72.067,,1014.845,1014.845,,6.907,7.053,6.761
2024-07-03T20:00:00Z,42.5,42.5,,76.1,76.1,,1014.422,1014.422,,6.9145,7.005,6.824
2024-07-03T21:00:00Z,36.1,36.1,,81.733,81.733,,1013.774,1013.774,,6.8495,7.056,6.643
2024-07-03T22:00:00Z,32.334,32.334,,84.9,84.9,,1013.651,1013.651,,5.6675,5.803,5.532
2024-07-03T23:00:00Z,28.4,28.4,,88.133,88.133,,1013.209,1013.209,,4.699,4.707,4.691
