time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,sensor_index
2024-08-04T21:30:00Z,40.333,40.333,,86,86,,1002.003,1002.003,,4.407,4.357,4.457,154963
2024-08-04T22:00:00Z,37.733,37.733,,87.667,87.667,,1001.948,1001.948,,4.427,4.251,4.603,154963
2024-08-04T22:30:00Z,36.867,36.867,,88.8,88.8,,1001.841,1001.841,,4.338,4.319,4.357,154963
2024-08-04T23:00:00Z,37,37,,88.333,88.333,,1001.659,1001.659,,4.327500000000000,4.397,4.258,154963
2024-08-04T23:30:00Z,37.267,37.267,,87.933,87.933,,1001.562,1001.562,,4.4080000000000000,4.367,4.449,154963
2024-08-05T00:00:00Z,37,37,,88,88,,1001.376,1001.376,,4.572,4.665,4.479,154963
2024-08-05T00:30:00Z,37,37,,87.933,87.933,,1001.075,1001.075,,5.0985,5.003,5.194,154963
2024-08-05T01:00:00Z,37,37,,88,88,,1000.953,1000.953,,6.0760000000000000,5.979,6.173,154963
2024-08-05T01:30:00Z,37.467,37.467,,87.333,87.333,,1000.821,1000.821,,5.856,5.952,5.76,154963
2024-08-05T02:00:00Z,38.867,38.867,,86.533,86.533,,1000.739,1000.739,,6.8575,6.861,6.854,154963
2024-08-05T02:30:00Z,39.933,39.933,,84.6,84.6,,1000.634,1000.634,,6.7095,6.389,7.03,154963
2024-08-05T03:00:00Z,39.8,39.8,,82.733,82.733,,1000.767,1000.767,,6.276,5.867,6.685,154963
2024-08-05T03:30:00Z,41.6,41.6,,80.2,80.2,,1000.367,1000.367,,6.525,6.167,6.883,154963
2024-08-05T04:00:00Z,44.733,44.733,,78.333,78.333,,1000.796,1000.796,,7.307,7.013,7.601,154963
2024-08-05T04:30:00Z,47,47,,76.867,76.867,,1001.205,1001.205,,7.5785,7.814,7.343,154963
2024-08-05T05:00:00Z,48.2,48.2,,75.2,75.2,,1001.221,1001.221,,7.422000000000000,7.343,7.501,154963
2024-08-05T05:30:00Z,49.533,49.533,,74.333,74.333,,1001.849,1001.849,,7.779,7.548,8.01,154963
2024-08-05T06:00:00Z,51.533,51.533,,73.133,73.133,,1001.885,1001.885,,8.131,7.711,8.551,154963
2024-08-05T06:30:00Z,53.533,53.533,,72,72,,1002.008,1002.008,,8.554,8.227,8.881,154963
2024-08-05T07:00:00Z,55,55,,70.8,70.8,,1002.094,1002.094,,8.985,8.441,9.529,154963
2024-08-05T07:30:00Z,56.467,56.467,,69.6,69.6,,1002.102,1002.102,,9.008500000000000,8.592,9.425,154963
2024-08-05T08:00:00Z,57.533,57.533,,69,69,,1002.411,1002.411,,9.779,9.327,10.231,154963
2024-08-05T08:30:00Z,58.333,58.333,,68.067,68.067,,1002.503,1002.503,,9.0755,8.624,9.527,154963
2024-08-05T09:00:00Z,59.267,59.267,,67,67,,1002.725,1002.725,,8.998000000000000,8.448,9.548,154963
2024-08-05T09:30:00Z,60,60,,66.867,66.867,,1002.966,1002.966,,8.9685,8.675,9.262,154963
2024-08-05T10:00:00Z,60.8,60.8,,65.933,65.933,,1003.067,1003.067,,9.591000000000000,9.057,10.125,154963
2024-08-05T10:30:00Z,61,61,,66,66,,1003.332,1003.332,,9.405000000000000,8.867,9.943,154963
2024-08-05T11:00:00Z,61.533,61.533,,65.267,65.267,,1003.301,1003.301,,9.541,8.508,10.574,154963
2024-08-05T11:30:00Z,62.933,62.933,,64.867,64.867,,1003.459,1003.459,,10.0075,9.36,10.655,154963
2024-08-05T12:00:00Z,63,63,,64.2,64.2,,1003.038,1003.038,,9.916,9.521,10.311,154963
2024-08-05T12:30:00Z,63.8,63.8,,63.8,63.8,,1003.611,1003.611,,10.659500000000000,9.797,11.522,154963
2024-08-05T13:00:00Z,63.6,63.6,,64.2,64.2,,1003.993,1003.993,,10.4685,9.595,11.342,154963
2024-08-05T13:30:00Z,62.867,62.867,,64.933,64.933,,1004.131,1004.131,,9.9805,9.466,10.495,154963
2024-08-05T14:00:00Z,62,62,,64.133,64.133,,1002.831,1002.831,,10.067500000000000,9.461,10.674,154963
2024-08-05T14:30:00Z,61.067,61.067,,66.2,66.2,,1004.244,1004.244,,9.773,9.051,10.495,154963
2024-08-05T15:00:00Z,59.067,59.067,,67.2,67.2,,1004.337,1004.337,,9.068000000000000,8.637,9.499,154963
2024-08-05T15:30:00Z,57.067,57.067,,68.6,68.6,,1004.545,1004.545,,9.009,8.883,9.135,154963
2024-08-05T16:00:00Z,51.367,51.367,,73.367,73.367,,1004.581,1004.581,,8.657500000000000,8.43,8.885,154963
2024-08-05T16:30:00Z,44.944,44.944,,77.244,77.244,,1004.698,1004.698,,8.0425,7.805,8.28,154963
2024-08-05T17:00:00Z,42.883,42.883,,78.4,78.4,,1004.795,1004.795,,7.9845,7.66,8.309,154963
2024-08-05T17:30:00Z,40.578,40.578,,80.589,80.589,,1004.832,1004.832,,7.913,7.571,8.255,154963
2024-08-05T18:00:00Z,39.667,39.667,,80.667,80.667,,1004.395,1004.395,,8.0315,7.774,8.289,154963
2024-08-05T18:30:00Z,39.6,39.6,,80.667,80.667,,1004.731,1004.731,,7.6885,7.408,7.969,154963
2024-08-05T19:00:00Z,39.867,39.867,,80.767,80.767,,1004.82,1004.82,,7.7295,7.533,7.926,154963
2024-08-05T19:30:00Z,39.228,39.228,,82.144,82.144,,1004.559,1004.559,,8.055500000000000,7.853,8.258,154963
2024-08-05T20:00:00Z,38.4,38.4,,83,83,,1004.588,1004.588,,8.212,7.949,8.475,154963
2024-08-05T20:30:00Z,39,39,,82.533,82.533,,1004.401,1004.401,,7.678,7.087,8.269,154963
2024-08-05T21:00:00Z,39.333,39.333,,82.6,82.6,,1004.517,1004.517,,6.9255000000000000,6.658,7.193,154963
