time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,sensor_index
2024-07-01T00:00:00Z,27.2,88.867,998.399,0.6,0.146,0.141,0.151,0.146,167047
2024-07-01T00:30:00Z,25.6,91.467,998.277,0.7,0.198,0.225,0.171,0.198,167047
2024-07-01T01:00:00Z,24.933,92.6,998.211,0.6,0.112,0.113,0.111,0.112,167047
2024-07-01T01:30:00Z,22.467,96.333,998.131,0.5,0.028,0.031,0.025,0.028,167047
2024-07-01T02:00:00Z,23.867,93.2,998.129,0.5,0.0045,0,0.009,0.0045,167047
2024-07-01T02:30:00Z,26.867,90.2,998.138,0.6,0.119,0.154,0.084,0.119,167047
2024-07-01T03:00:00Z,30.067,88.533,998.175,0.6,0.20900000000000000,0.225,0.193,0.20900000000000000,167047
2024-07-01T03:30:00Z,35.067,83.733,998.351,0.5,0.029,0.029,0.029,0.029,167047
2024-07-01T04:00:00Z,39.533,80.4,998.612,0.6,0.16,0.149,0.171,0.16,167047
2024-07-01T04:30:00Z,41.067,79.6,998.915,0.6,0.1745,0.185,0.164,0.1745,167047
2024-07-01T05:00:00Z,44.2,76.933,999.128,0.7,0.35550000000000000,0.377,0.334,0.35550000000000000,167047
2024-07-01T05:30:00Z,46,76,999.181,1.4,1.3615,1.434,1.289,1.3615,167047
2024-07-01T06:00:00Z,47,75.133,999.051,1.2,1.2190000000000000,1.142,1.296,1.2190000000000000,167047
2024-07-01T06:30:00Z,48.2,74.267,998.974,1.1,0.9790000000000000,0.894,1.064,0.9790000000000000,167047
2024-07-01T07:00:00Z,48.4,73.267,999.078,0.8,0.456,0.546,0.366,0.456,167047
2024-07-01T07:30:00Z,48.933,72.4,999.209,0.7,0.26750000000000000,0.297,0.238,0.26750000000000000,167047
2024-07-01T08:00:00Z,49.667,72,999.315,0.6,0.2265,0.224,0.229,0.2265,167047
2024-07-01T08:30:00Z,49.867,72.4,999.373,0.6,0.173,0.217,0.129,0.173,167047
2024-07-01T09:00:00Z,49.133,72.067,999.17,0.6,0.154,0.163,0.145,0.154,167047
2024-07-01T09:30:00Z,49.667,72.133,999.049,0.6,0.156,0.209,0.103,0.156,167047
2024-07-01T10:00:00Z,50,73,999.172,0.6,0.1595,0.221,0.098,0.1595,167047
2024-07-01T10:30:00Z,50.067,73.333,999.233,0.7,0.2995,0.365,0.234,0.2995,167047
2024-07-01T11:00:00Z,49.933,74.067,999.273,0.9,0.524,0.461,0.587,0.524,167047
2024-07-01T11:30:00Z,51.667,73.667,999.361,1,0.752,0.747,0.757,0.752,167047
2024-07-01T12:00:00Z,52.867,73.2,999.407,1.1,0.9645,1.02,0.909,0.9645,167047
2024-07-01T12:30:00Z,54.533,72.067,999.539,1.5,1.689,1.762,1.616,1.689,167047
2024-07-01T13:00:00Z,55.133,71.8,999.697,1.5,1.6915,1.729,1.654,1.6915,167047
2024-07-01T13:30:00Z,55.733,71.533,999.844,1.6,1.836,1.969,1.703,1.836,167047
2024-07-01T14:00:00Z,56.933,70.933,999.964,1.7,2.04,2.153,1.927,2.04,167047
2024-07-01T14:30:00Z,54.867,72.2,1000.149,1.5,1.7045,1.869,1.54,1.7045,167047
2024-07-01T15:00:00Z,53.6,73.133,1000.231,1.4,1.443,1.564,1.322,1.443,167047
2024-07-01T15:30:00Z,51.533,74.467,1000.186,1.3,1.2245,1.156,1.293,1.2245,167047
2024-07-01T16:00:00Z,49.267,75.8,1000.342,1,0.7975,0.855,0.74,0.7975,167047
2024-07-01T16:30:00Z,51.067,74.467,1000.637,1,0.88,0.871,0.889,0.88,167047
2024-07-01T17:00:00Z,52.067,74.067,1000.773,1.1,1.036,1.077,0.995,1.036,167047
2024-07-01T17:30:00Z,52.2,74.333,1000.825,1.1,0.9455,1.01,0.881,0.9455,167047
2024-07-01T18:00:00Z,48.2,77,1000.786,1,0.9300000000000000,1.027,0.833,0.9300000000000000,167047
2024-07-01T18:30:00Z,45.733,78.267,1000.811,1.7,1.9505,2.068,1.833,2.052,167047
2024-07-01T19:00:00Z,41.667,81.467,1000.602,1.3,1.309,1.349,1.269,1.309,167047
2024-07-01T19:30:00Z,41.267,81,1000.381,1.2,1.2735,1.308,1.239,1.2735,167047
2024-07-01T20:00:00Z,36.933,84.867,1000.289,1.2,1.2015,1.188,1.215,1.2015,167047
2024-07-01T20:30:00Z,37.4,84.267,1000.249,0.8,0.576,0.583,0.569,0.576,167047
2024-07-01T21:00:00Z,34.533,87,1000.188,0.7,0.3815,0.361,0.402,0.3815,167047
2024-07-01T21:30:00Z,31.533,90.733,999.926,0.7,0.3145,0.319,0.31,0.3145,167047
2024-07-01T22:00:00Z,29,93.267,999.624,1.2,1.21,1.214,1.206,1.21,167047
2024-07-01T22:30:00Z,31.467,88.6,999.561,10.7,17.669000000000000,17.813,17.525,17.707,167047
2024-07-01T23:00:00Z,34.533,85.267,999.465,4.3,6.773,6.784,6.762,6.773,167047
2024-07-01T23:30:00Z,31.2,89.6,999.286,1.4,1.5275000000000000,1.589,1.466,1.5275000000000000,167047
2024-07-02T00:00:00Z,31.2,89.267,999.055,1.4,1.4925000000000000,1.411,1.574,1.4925000000000000,167047
2024-07-02T00:30:00Z,31.267,88.733,998.859,1.3,1.42,1.307,1.533,1.42,167047
2024-07-02T01:00:00Z,27.467,93.933,998.742,1.2,1.0465,1.092,1.001,1.0465,167047
2024-07-02T01:30:00Z,30.6,90.2,998.769,1.1,0.9455,1.047,0.844,0.9455,167047
2024-07-02T02:00:00Z,36.667,82.933,998.961,1.4,1.629,1.677,1.581,1.629,167047
2024-07-02T02:30:00Z,39.267,79.2,999.197,1.4,1.512,1.545,1.479,1.512,167047
2024-07-02T03:00:00Z,37.133,79.333,999.452,1.3,1.1425,1.202,1.083,1.1425,167047
2024-07-02T03:30:00Z,34.4,80.2,999.559,1.3,1.377,1.381,1.373,1.377,167047
