time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2024-07-01T00:00:00Z,26.067,26.067,26.067,90.6,90.6,90.6,1018.583,1018.583,1018.583,0.148,0.187,0.109
2024-07-01T00:30:00Z,27.333,27.333,27.333,89.067,89.067,89.067,1018.461,1018.461,1018.461,0.20800000000000002,0.269,0.147
2024-07-01T01:00:00Z,28,28,28,89,89,89,1018.323,1018.323,1018.323,0.784,0.799,0.769
2024-07-01T01:30:00Z,27.667,27.667,27.667,88.867,88.867,88.867,1018.246,1018.246,1018.246,0.1975,0.316,0.079
2024-07-01T02:00:00Z,28.533,28.533,28.533,87.667,87.667,87.667,1018.215,1018.215,1018.215,0.438,0.504,0.372
2024-07-01T02:30:00Z,29.933,29.933,29.933,86.8,86.8,86.8,1018.147,1018.147,1018.147,0.3705,0.487,0.254
2024-07-01T03:00:00Z,34.133,34.133,34.133,83.933,83.933,83.933,1018.255,1018.255,1018.255,0.4405,0.559,0.322
2024-07-01T03:30:00Z,39.133,39.133,39.133,80.2,80.2,80.2,1018.361,1018.361,1018.361,0.9215,1.069,0.774
2024-07-01T04:00:00Z,39.533,39.533,39.533,80.467,80.467,80.467,1018.6,1018.6,1018.6,0.813,0.881,0.745
2024-07-01T04:30:00Z,40.533,40.533,40.533,80.467,80.467,80.467,1019.015,1019.015,1019.015,1.7879999999999998,2.025,1.551
2024-07-01T05:00:00Z,43.533,43.533,43.533,79,79,79,1019.243,1019.243,1019.243,3.605,3.799,3.411
2024-07-01T05:30:00Z,44.433,44.433,44.433,78.8,78.8,78.8,1019.233,1019.233,1019.233,3.8235,3.854,3.793
2024-07-01T06:00:00Z,47,47,47,77.2,77.2,77.2,1019.121,1019.121,1019.121,3.6580000000000004,4.009,3.307
2024-07-01T06:30:00Z,47.933,47.933,47.933,76.467,76.467,76.467,1019.094,1019.094,1019.094,7.775,8.257,7.293
2024-07-01T07:00:00Z,48.4,48.4,48.4,76.4,76.4,76.4,1019.169,1019.169,1019.169,2.1955,2.436,1.955
2024-07-01T07:30:00Z,49.467,49.467,49.467,75.733,75.733,75.733,1019.273,1019.273,1019.273,1.2905,1.28,1.301
2024-07-01T08:00:00Z,46.933,46.933,46.933,77.733,77.733,77.733,1019.361,1019.361,1019.361,0.935,1.052,0.818
2024-07-01T08:30:00Z,49.6,49.6,49.6,75.733,75.733,75.733,1019.368,1019.368,1019.368,1.006,1.135,0.877
2024-07-01T09:00:00Z,51.733,51.733,51.733,74.4,74.4,74.4,1019.143,1019.143,1019.143,0.7605,0.832,0.689
2024-07-01T09:30:00Z,50.2,50.2,50.2,75.8,75.8,75.8,1019.182,1019.182,1019.182,0.607,0.601,0.613
2024-07-01T10:00:00Z,49.533,49.533,49.533,75.533,75.533,75.533,1019.258,1019.258,1019.258,0.8069999999999999,0.952,0.662
2024-07-01T10:30:00Z,52.2,52.2,52.2,74,74,74,1019.333,1019.333,1019.333,0.9195,1.021,0.818
2024-07-01T11:00:00Z,51.4,51.4,51.4,74.8,74.8,74.8,1019.513,1019.513,1019.513,0.8674999999999999,0.991,0.744
2024-07-01T11:30:00Z,52.2,52.2,52.2,74.2,74.2,74.2,1019.639,1019.639,1019.639,1.5939999999999999,1.655,1.533
2024-07-01T12:00:00Z,53,53,53,73.867,73.867,73.867,1019.591,1019.591,1019.591,1.4569999999999999,1.511,1.403
2024-07-01T12:30:00Z,55.333,55.333,55.333,72.733,72.733,72.733,1019.682,1019.682,1019.682,0.7735,0.843,0.704
2024-07-01T13:00:00Z,56.4,56.4,56.4,72.333,72.333,72.333,1019.805,1019.805,1019.805,0.6705,0.727,0.614
2024-07-01T13:30:00Z,53.067,53.067,53.067,74.667,74.667,74.667,1019.974,1019.974,1019.974,0.698,0.747,0.649
2024-07-01T14:00:00Z,54.533,54.533,54.533,73.333,73.333,73.333,1020.095,1020.095,1020.095,1.4435,1.454,1.433
2024-07-01T14:30:00Z,54,54,54,73.733,73.733,73.733,1020.343,1020.343,1020.343,1.7265,1.819,1.634
2024-07-01T15:00:00Z,55.067,55.067,55.067,73.867,73.867,73.867,1020.354,1020.354,1020.354,1.7610000000000001,1.897,1.625
2024-07-01T15:30:00Z,50.467,50.467,50.467,76.267,76.267,76.267,1020.357,1020.357,1020.357,2.1100000000000003,2.277,1.943
2024-07-01T16:00:00Z,49.133,49.133,49.133,76.733,76.733,76.733,1020.621,1020.621,1020.621,3.731,3.767,3.695
2024-07-01T16:30:00Z,47.333,47.333,47.333,77.533,77.533,77.533,1020.975,1020.975,1020.975,3.469,3.687,3.251
2024-07-01T17:00:00Z,45.417,45.417,45.417,78.283,78.283,78.283,1021.048,1021.048,1021.048,2.226,2.409,2.043
2024-07-01T17:30:00Z,40.8,40.8,40.8,82.067,82.067,82.067,1020.941,1020.941,1020.941,2.738,3.029,2.447
2024-07-01T18:00:00Z,34.333,34.333,34.333,87.533,87.533,87.533,1020.909,1020.909,1020.909,3.127,3.463,2.791
2024-07-01T18:30:00Z,31.067,31.067,31.067,90.6,90.6,90.6,1020.794,1020.794,1020.794,2.769,3.076,2.462
2024-07-01T19:00:00Z,27.383,27.383,27.383,93.883,93.883,93.883,1020.632,1020.632,1020.632,2.706,2.884,2.528
2024-07-01T19:30:00Z,27.867,27.867,27.867,91.467,91.467,91.467,1020.4,1020.4,1020.4,1.7734999999999999,1.887,1.66
2024-07-01T20:00:00Z,30.267,30.267,30.267,90.2,90.2,90.2,1020.339,1020.339,1020.339,8.457,8.805,8.109
2024-07-01T20:30:00Z,31.733,31.733,31.733,89.467,89.467,89.467,1020.269,1020.269,1020.269,6.317,6.829,5.805
2024-07-01T21:00:00Z,30,30,30,90.067,90.067,90.067,1020.004,1020.004,1020.004,2.9705,3.173,2.768
2024-07-01T21:30:00Z,30.75,30.75,30.75,88.5,88.5,88.5,1019.871,1019.871,1019.871,2.6115000000000004,3.087,2.136
2024-07-01T22:00:00Z,30.556,30.556,30.556,88.244,88.244,88.244,1019.802,1019.802,1019.802,2.504,2.84,2.168
2024-07-01T22:30:00Z,30.067,30.067,30.067,88.45,88.45,88.45,1019.629,1019.629,1019.629,2.6295,3.064,2.195
2024-07-01T23:00:00Z,29,29,29,90,90,90,1019.461,1019.461,1019.461,2.3369999999999997,2.477,2.197
2024-07-01T23:30:00Z,27.533,27.533,27.533,90.333,90.333,90.333,1019.368,1019.368,1019.368,1.3285,1.561,1.096
2024-07-02T00:00:00Z,26.467,26.467,26.467,91.867,91.867,91.867,1019.161,1019.161,1019.161,1.825,2.065,1.585
2024-07-02T00:30:00Z,29,29,29,89.933,89.933,89.933,1018.935,1018.935,1018.935,2.3305,2.662,1.999
2024-07-02T01:00:00Z,32.733,32.733,32.733,86.8,86.8,86.8,1018.816,1018.816,1018.816,1.8079999999999998,2.127,1.489
2024-07-02T01:30:00Z,33.2,33.2,33.2,87.067,87.067,87.067,1018.954,1018.954,1018.954,2.5025,2.863,2.142
2024-07-02T02:00:00Z,31,31,31,87.667,87.667,87.667,1019.152,1019.152,1019.152,2.448,2.655,2.241
2024-07-02T02:30:00Z,32.467,32.467,32.467,85.333,85.333,85.333,1019.354,1019.354,1019.354,2.7755,2.962,2.589
2024-07-02T03:00:00Z,35.2,35.2,35.2,81.133,81.133,81.133,1019.567,1019.567,1019.567,2.8905000000000003,3.107,2.674
2024-07-02T03:30:00Z,36.933,36.933,36.933,79.133,79.133,79.133,1019.647,1019.647,1019.647,2.9234999999999998,3.034,2.813
2024-07-02T04:00:00Z,39.267,39.267,39.267,76.467,76.467,76.467,1019.954,1019.954,1019.954,3.292,3.467,3.117
2024-07-02T04:30:00Z,39.133,39.133,39.133,75.4,75.4,75.4,1020.425,1020.425,1020.425,3.169,3.257,3.081
