time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b
2025-11-01T00:01:28-07:00,74,74,63,63,1001.68,1001.68,9.1,4.4
2025-11-01T00:03:28-07:00,73,73,63,63,1001.66,1001.66,5,5.9
2025-11-01T00:05:28-07:00,73,73,63,63,1001.7,1001.7,5.4,4.5
2025-11-01T00:07:28-07:00,73,73,63,63,1001.67,1001.67,4.1,2.6
2025-11-01T00:09:28-07:00,73,73,63,63,1001.69,1001.69,4.4,3.9
2025-11-01T00:11:28-07:00,73,73,63,63,1001.68,1001.68,4.6,3
2025-11-01T00:13:28-07:00,73,73,63,63,1001.73,1001.73,4.8,3.6
2025-11-01T00:15:28-07:00,73,73,63,63,1001.71,1001.71,5,3.6
2025-11-01T00:17:28-07:00,73,73,63,63,1001.56,1001.56,5,4.1
2025-11-01T00:19:28-07:00,73,73,63,63,1001.51,1001.51,4.6,3.7
2025-11-01T00:21:28-07:00,73,73,63,63,1001.49,1001.49,4.4,3.8
2025-11-01T00:23:28-07:00,73,73,63,63,1001.47,1001.47,4,3.6
2025-11-01T00:25:28-07:00,74,74,63,63,1001.41,1001.41,4.8,4.2
2025-11-01T00:27:28-07:00,73,73,63,63,1001.34,1001.34,3.8,4.1
2025-11-01T00:29:28-07:00,74,74,63,63,1001.3,1001.3,4,3.7
2025-11-01T00:31:28-07:00,73,73,63,63,1001.34,1001.34,4.5,3.8
2025-11-01T00:33:28-07:00,74,74,63,63,1001.29,1001.29,4.1,4
2025-11-01T00:35:28-07:00,73,73,63,63,1001.18,1001.18,3.5,3.5
2025-11-01T00:37:28-07:00,73,73,63,63,1001.26,1001.26,4.9,4
2025-11-01T00:39:28-07:00,73,73,63,63,1001.28,1001.28,3.7,4
2025-11-01T00:41:28-07:00,74,74,63,63,1001.24,1001.24,3.8,3.9
2025-11-01T00:43:28-07:00,73,73,63,63,1001.23,1001.23,3.7,3.9
2025-11-01T00:45:28-07:00,73,73,63,63,1001.24,1001.24,4.3,4.2
2025-11-01T00:47:28-07:00,74,74,63,63,1001.17,1001.17,4,4.2
2025-11-01T00:49:28-07:00,74,74,63,63,1001.09,1001.09,4.3,4.2
2025-11-01T00:51:28-07:00,74,74,63,63,1001.06,1001.06,3.9,4.2
2025-11-01T00:53:28-07:00,74,74,63,63,1001.02,1001.02,3.6,3.7
2025-11-01T00:55:28-07:00,74,74,63,63,1000.9,1000.9,3.1,3.1
2025-11-01T00:57:28-07:00,74,74,63,63,1000.82,1000.82,3,3
2025-11-01T00:59:29-07:00,73,73,64,64,1000.8,1000.8,2.9,2.7
2025-11-01T01:01:28-07:00,73,73,63,63,1000.82,1000.82,2.2,2.6
2025-11-01T01:03:28-07:00,73,73,64,64,1000.81,1000.81,2.2,2.5
2025-11-01T01:05:28-07:00,73,73,63,63,1000.72,1000.72,2.1,2.4
2025-11-01T01:07:28-07:00,74,74,64,64,1000.65,1000.65,2.6,2.5
2025-11-01T01:09:28-07:00,73,73,64,64,1000.65,1000.65,2.9,3
2025-11-01T01:11:28-07:00,73,73,63,63,1000.65,1000.65,3.1,2.6
2025-11-01T01:13:28-07:00,73,73,64,64,1000.69,1000.69,3.3,3.2
2025-11-01T01:15:28-07:00,74,74,64,64,1000.66,1000.66,3.3,2.2
2025-11-01T01:17:28-07:00,74,74,64,64,1000.63,1000.63,3.1,2.6
2025-11-01T01:19:28-07:00,73,73,63,63,1000.66,1000.66,2.3,1.9
2025-11-01T01:21:28-07:00,73,73,64,64,1000.64,1000.64,1.8,3
2025-11-01T01:23:28-07:00,74,74,63,63,1000.55,1000.55,2.6,3.7
2025-11-01T01:25:28-07:00,73,73,63,63,1000.44,1000.44,2.6,2.6
2025-11-01T01:27:29-07:00,73,73,63,63,1000.41,1000.41,2.2,2
