time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2024-07-03T00:00:00Z,41,41,,75.6,75.6,,1011.166,1011.166,,,,,0.06,2.9,3,2.8,9.3,9.5,9.2,7.5,7.6,7.4,184.2,182.8,185.6,620.833,630.007,611.659,193.5745,197.518,189.631,28.0915,28.311,27.872,2.267,1.617,2.917,0.5640000000000001,0.405,0.723,0.3665,0.261,0.472,2.838,2.979,2.697,2.838,2.979,2.697,4.322,4.455,4.189,4.322,4.455,4.189,4.7605,4.731,4.79,4.7605,4.731,4.79
2024-07-03T00:30:00Z,40.533,40.533,,75.667,75.667,,1011.03,1011.03,,,,,0.06,2.9,3,2.9,9.6,9.7,9.4,7.7,7.7,7.6,181.4,179.9,182.9,639.183,649.138,629.228,198.3655,203,193.731,27.6095,28.117,27.102,1.9955,1.564,2.427,0.5495,0.328,0.771,0.3685,0.141,0.596,2.926,3.043,2.809,2.926,3.043,2.809,4.281000000000001,4.373,4.189,4.281000000000001,4.373,4.189,4.7095,4.616,4.803,4.7095,4.616,4.803
2024-07-03T01:00:00Z,41.4,41.4,,75.733,75.733,,1010.935,1010.935,,,,,0.06,2.7,2.7,2.6,8.5,8.5,8.6,7,7,7.1,192.9,193.6,192.3,567.4205,563.641,571.2,176.7015,177.022,176.381,25.272,26.139,24.405,1.6725,1.181,2.164,0.297,0.168,0.426,0.1605,0.079,0.242,2.6014999999999997,2.517,2.686,2.6014999999999997,2.517,2.686,3.846,3.797,3.895,3.846,3.797,3.895,4.085,3.927,4.243,4.085,3.927,4.243
2024-07-03T01:30:00Z,41,41,,76,76,,1010.851,1010.851,,,,,0.06,2.5,2.6,2.5,8.1,8.3,8,6.8,6.9,6.7,197.5,195.5,199.4,541.745,552.551,530.939,169.062,174.227,163.897,23.976,24.289,23.663,1.6915,1.33,2.053,0.519,0.321,0.717,0.353,0.267,0.439,2.3945,2.506,2.283,2.3945,2.506,2.283,3.6174999999999997,3.69,3.545,3.6174999999999997,3.69,3.545,4.001,3.911,4.091,4.001,3.911,4.091
2024-07-03T02:00:00Z,41.333,41.333,,75.4,75.4,,1010.822,1010.822,,,,,0.06,2.6,2.6,2.6,8.1,8,8.1,6.8,6.7,6.8,198.3,198.7,198,536.893,534.987,538.799,168.495,168.433,168.557,27.613,26.201,29.025,3.3765,1.978,4.775,0.8185,0.397,1.24,0.5525,0.261,0.844,2.3305,2.34,2.321,2.3305,2.34,2.321,3.971,3.749,4.193,3.971,3.749,4.193,4.6085,4.054,5.163,4.6085,4.054,5.163
2024-07-03T02:30:00Z,42.533,42.533,,74.667,74.667,,1010.806,1010.806,,,,,0.06,2.5,2.5,2.4,7.5,7.5,7.5,6.4,6.4,6.4,204.9,205,204.7,502.128,501.253,503.003,156.332,157.361,155.303,25.7085,25.848,25.569,2.5665,1.874,3.259,0.5680000000000001,0.489,0.647,0.2495,0.223,0.276,2.061,2.107,2.015,2.061,2.107,2.015,3.5220000000000002,3.451,3.593,3.5220000000000002,3.451,3.593,3.915,3.768,4.062,3.915,3.768,4.062
2024-07-03T03:00:00Z,43.133,43.133,,73.267,73.267,,1010.934,1010.934,,,,,0.06,2.3,2.5,2.2,7,7.2,6.8,6.1,6.2,6,211.5,208.8,214.3,468.668,482.073,455.263,146.96699999999998,151.777,142.157,24.823500000000003,26.14,23.507,3.1425,2.321,3.964,1.0375,0.805,1.27,0.6145,0.365,0.864,1.82,1.915,1.725,1.82,1.915,1.725,3.255,3.271,3.239,3.255,3.271,3.239,4.016,3.859,4.173,4.016,3.859,4.173
2024-07-03T03:30:00Z,44.933,44.933,,71.067,71.067,,1011.083,1011.083,,,,,0.06,2.2,2.2,2.2,6.7,6.6,6.7,5.9,5.9,5.9,216.8,217.3,216.3,443.9605,441.663,446.258,138.517,138.335,138.699,23.8335,22.833,24.834,2.6055,1.889,3.322,1.0665,0.745,1.388,0.75,0.369,1.131,1.7985,1.824,1.773,1.7985,1.824,1.773,3.089,3.033,3.145,3.089,3.033,3.145,3.8825000000000003,3.519,4.246,3.8825000000000003,3.519,4.246
2024-07-03T04:00:00Z,47.4,47.4,,69.067,69.067,,1011.193,1011.193,,,,,0.06,2,2.1,2,6.4,6.5,6.4,5.7,5.8,5.7,219.9,218.9,220.9,429.685,434.171,425.199,134.68599999999998,137.833,131.539,21.570999999999998,21.648,21.494,3.0135,2.119,3.908,0.8395,0.683,0.996,0.625,0.339,0.911,1.5779999999999998,1.639,1.517,1.5779999999999998,1.639,1.517,2.958,2.845,3.071,2.958,2.845,3.071,3.585,3.323,3.847,3.585,3.323,3.847
2024-07-03T04:30:00Z,49.4,49.4,,67.267,67.267,,1011.461,1011.461,,,,,0.06,2,1.9,2.1,6.1,6.1,6.2,5.5,5.5,5.6,224.6,225.9,223.3,409.27200000000005,403.636,414.908,128.2955,127.303,129.288,21.227,19.909,22.545,2.6095,2.321,2.898,0.913,0.849,0.977,0.589,0.468,0.71,1.505,1.477,1.533,1.505,1.477,1.533,2.7385,2.567,2.91,2.7385,2.567,2.91,3.4115,3.159,3.664,3.4115,3.159,3.664
2024-07-03T05:00:00Z,50.667,50.667,,66.4,66.4,,1011.571,1011.571,,,,,0.06,2.1,2.1,2.1,6.2,6.1,6.3,5.6,5.5,5.6,223.6,224.6,222.7,413.251,409.315,417.187,129.284,128.526,130.042,21.8475,20.963,22.732,2.084,1.599,2.569,0.7855000000000001,0.471,1.1,0.5135000000000001,0.279,0.748,1.5325,1.543,1.522,1.5325,1.543,1.522,2.7234999999999996,2.647,2.8,2.7234999999999996,2.647,2.8,3.3125,2.977,3.648,3.3125,2.977,3.648
