time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2024-07-03T00:00:00Z,38.467,38.467,38.467,79.867,79.867,79.867,1014.972,1014.972,1014.972,114.821,,114.821,0.05,2.1,2.1,2.2,9,9,8.9,7.3,7.3,7.3,187.8,187.3,188.4,597.9905,601.439,594.542,171.1535,168.947,173.36,15.503,14.638,16.368,1.0985,1.215,0.982,0.6695,0.849,0.49,0.2905,0.411,0.17,2.5035,2.389,2.618,2.5035,2.389,2.618,3.0484999999999998,2.881,3.216,3.0484999999999998,2.881,3.216,3.5175,3.464,3.571,3.5175,3.464,3.571
2024-07-03T00:30:00Z,39.467,39.467,39.467,79.067,79.067,79.067,1014.825,1014.825,1014.825,160.581,,160.581,0.05,2,2,2,8.3,8.4,8.1,6.9,7,6.8,195.8,194.2,197.4,551.0195,560.222,541.817,154.3295,153.267,155.392,14.249500000000001,13.958,14.541,0.8959999999999999,0.949,0.843,0.5605,0.619,0.502,0.2915,0.379,0.204,2.1615,2.144,2.179,2.1615,2.144,2.179,2.7225,2.677,2.768,2.7225,2.677,2.768,3.1020000000000003,3.119,3.085,3.1020000000000003,3.119,3.085
2024-07-03T01:00:00Z,40,40,40,79.2,79.2,79.2,1014.74,1014.74,1014.74,293.795,,293.795,0.05,2,1.9,2.1,8.2,8.2,8.2,6.8,6.8,6.8,196.9,197,196.9,544.6955,544.392,544.999,154.5205,150.865,158.176,14.862,14.315,15.409,0.9710000000000001,1.096,0.846,0.596,0.715,0.477,0.248,0.349,0.147,2.1195,2.01,2.229,2.1195,2.01,2.229,2.6705,2.544,2.797,2.6705,2.544,2.797,3.0564999999999998,3.022,3.091,3.0564999999999998,3.022,3.091
2024-07-03T01:30:00Z,40.533,40.533,40.533,79,79,79,1014.675,1014.675,1014.675,316.539,,316.539,0.05,2,2,2,8.5,8.7,8.4,7,7.1,7,192.8,191.3,194.2,568.3555,576.854,559.857,161.69549999999998,161.432,161.959,14.7865,14.156,15.417,1.2934999999999999,1.224,1.363,0.78,0.871,0.689,0.28049999999999997,0.356,0.205,2.214,2.164,2.264,2.214,2.164,2.264,2.761,2.595,2.927,2.761,2.595,2.927,3.3005000000000004,3.236,3.365,3.3005000000000004,3.236,3.365
2024-07-03T02:00:00Z,41.267,41.267,41.267,78.267,78.267,78.267,1014.698,1014.698,1014.698,402.566,,402.566,0.05,1.9,1.9,2,7.9,8,7.8,6.7,6.8,6.6,199.7,198.6,200.9,529.2525,535.597,522.908,149.7315,148.532,150.931,15.137,14.295,15.979,1.4885000000000002,1.506,1.471,0.948,1.091,0.805,0.464,0.651,0.277,2.0335,2.033,2.034,2.0335,2.033,2.034,2.641,2.556,2.726,2.641,2.556,2.726,3.2705,3.293,3.248,3.2705,3.293,3.248
2024-07-03T02:30:00Z,43.133,43.133,43.133,76.333,76.333,76.333,1014.796,1014.796,1014.796,293.196,,293.196,0.05,1.8,1.7,1.8,7,7,6.9,6.1,6.1,6,212.5,211.9,213,464.2655,466.954,461.577,131.25150000000002,129.185,133.318,15.627500000000001,14.711,16.544,2.4375,2.44,2.435,1.6,1.773,1.427,0.8314999999999999,0.949,0.714,1.619,1.581,1.657,1.619,1.581,1.657,2.282,2.153,2.411,2.282,2.153,2.411,3.4029999999999996,3.397,3.409,3.4029999999999996,3.397,3.409
2024-07-03T03:00:00Z,44.533,44.533,44.533,74.733,74.733,74.733,1014.827,1014.827,1014.827,204.282,,204.282,0.05,1.7,1.6,1.7,6.8,6.8,6.7,6,6,5.9,214.9,214.1,215.7,452.62850000000003,456.474,448.783,129.1925,125.978,132.407,14.3285,13.74,14.917,2.2110000000000003,2.305,2.117,1.449,1.667,1.231,0.678,0.899,0.457,1.4945,1.461,1.528,1.4945,1.461,1.528,2.127,2.041,2.213,2.127,2.041,2.213,3.137,3.215,3.059,3.137,3.215,3.059
2024-07-03T03:30:00Z,45.733,45.733,45.733,73.4,73.4,73.4,1014.934,1014.934,1014.934,174.175,,174.175,0.05,1.7,1.6,1.7,6.7,6.7,6.6,5.9,5.9,5.9,216.6,216.2,216.9,444.806,446.376,443.236,125.864,124.441,127.287,14.331,13.25,15.412,2.0615,1.869,2.254,1.2615,1.247,1.276,0.7155,0.87,0.561,1.419,1.473,1.365,1.419,1.473,1.365,2.0375,1.989,2.086,2.0375,1.989,2.086,2.927,2.891,2.963,2.927,2.891,2.963
2024-07-03T04:00:00Z,47.333,47.333,47.333,71.867,71.867,71.867,1015.071,1015.071,1015.071,183.587,,183.587,0.05,1.6,1.5,1.6,6.4,6.5,6.3,5.7,5.8,5.6,220.4,219.1,221.7,427.459,433.153,421.765,120.892,120.529,121.255,13.2625,12.11,14.415,2.2344999999999997,2.199,2.27,1.4855,1.548,1.423,0.648,0.782,0.514,1.2970000000000002,1.33,1.264,1.2970000000000002,1.33,1.264,1.924,1.877,1.971,1.924,1.877,1.971,2.9285,2.95,2.907,2.9285,2.95,2.907
2024-07-03T04:30:00Z,48.333,48.333,48.333,70.867,70.867,70.867,1015.366,1015.366,1015.366,176.401,,176.401,0.05,2.1,2.1,2.1,8.6,8.7,8.5,7.1,7.2,7,191.7,190.3,193.1,574.83,583.171,566.489,162.131,161.211,163.051,17.551,17.461,17.641,2.5505,2.768,2.333,1.7240000000000002,1.985,1.463,0.82,1.134,0.506,2.208,2.202,2.214,2.208,2.202,2.214,2.975,2.919,3.031,2.975,2.919,3.031,4.15,4.31,3.99,4.15,4.31,3.99
2024-07-03T05:00:00Z,48.867,48.867,48.867,70.133,70.133,70.133,1015.497,1015.497,1015.497,226.83,,226.83,0.05,1.5,1.5,1.5,6.5,6.7,6.3,5.8,5.9,5.6,219.4,216.6,222.3,431.96849999999995,444.912,419.025,122.439,124.281,120.597,12.355,11.967,12.743,2.3965,2.595,2.198,1.5739999999999998,1.765,1.383,0.728,0.942,0.514,1.3439999999999999,1.419,1.269,1.3439999999999999,1.419,1.269,1.953,1.979,1.927,1.953,1.979,1.927,2.998,3.181,2.815,2.998,3.181,2.815
2024-07-03T05:30:00Z,49,49,49,70,70,70,1015.579,1015.579,1015.579,341.045,,341.045,0.05,1.7,1.7,1.8,7.1,7.2,6.9,6.1,6.2,6.1,210.9,208.9,213,471.769,481.728,461.81,134.0115,133.638,134.385,14.678,13.749,15.607,2.3555,2.427,2.284,1.545,1.654,1.436,0.747,0.987,0.507,1.651,1.68,1.622,1.651,1.68,1.622,2.2715,2.218,2.325,2.2715,2.218,2.325,3.3575,3.434,3.281,3.3575,3.434,3.281
2024-07-03T06:00:00Z,49.4,49.4,49.4,69.133,69.133,69.133,1015.873,1015.873,1015.873,369.047,,369.047,0.05,1.7,1.7,1.7,6.9,7,6.8,6,6.1,5.9,213.8,212.4,215.2,457.78499999999997,464.465,451.105,130.2595,129.716,130.803,14.387,14.116,14.658,2.364,2.657,2.071,1.432,1.679,1.185,0.6819999999999999,0.857,0.507,1.472,1.424,1.52,1.472,1.424,1.52,2.207,2.207,2.207,2.207,2.207,2.207,3.1875,3.332,3.043,3.1875,3.332,3.043
2024-07-03T06:30:00Z,50.6,50.6,50.6,68.267,68.267,68.267,1016.062,1016.062,1016.062,353.209,,353.209,0.05,1.8,1.7,1.9,7,7,7.1,6.1,6.1,6.1,211.5,212.1,210.9,468.90250000000003,465.964,471.841,133.8015,130.27,137.333,15.8495,14.727,16.972,2.6975,2.849,2.546,1.839,2.152,1.526,0.955,1.327,0.583,1.5899999999999999,1.545,1.635,1.5899999999999999,1.545,1.635,2.2859999999999996,2.159,2.413,2.2859999999999996,2.159,2.413,3.5635000000000003,3.664,3.463,3.5635000000000003,3.664,3.463
2024-07-03T07:00:00Z,51.933,51.933,51.933,67.6,67.6,67.6,1016.416,1016.416,1016.416,333.963,,333.963,0.05,1.7,1.7,1.8,7,7.2,6.9,6.1,6.2,6,211.5,209.5,213.5,468.9915,478.634,459.349,133.8085,133.747,133.87,14.7695,14.039,15.5,2.588,2.72,2.456,1.8094999999999999,1.993,1.626,0.8334999999999999,1.156,0.511,1.6139999999999999,1.621,1.607,1.6139999999999999,1.621,1.607,2.253,2.206,2.3,2.253,2.206,2.3,3.4930000000000003,3.628,3.358,3.4930000000000003,3.628,3.358
2024-07-03T07:30:00Z,52.067,52.067,52.067,67.533,67.533,67.533,1016.669,1016.669,1016.669,419.719,,419.719,0.05,2,1.9,2.1,7.9,7.9,8,6.7,6.6,6.7,199.8,200.6,199,528.7945,524.64,532.949,151.28199999999998,146.971,155.593,17.240499999999997,17.057,17.424,2.5815,3.109,2.054,1.6110000000000002,2.031,1.191,0.7324999999999999,0.974,0.491,1.988,1.962,2.014,1.988,1.962,2.014,2.8025,2.756,2.849,2.8025,2.756,2.849,3.9204999999999997,4.138,3.703,3.9204999999999997,4.138,3.703
2024-07-03T08:00:00Z,51.867,51.867,51.867,67.933,67.933,67.933,1016.981,1016.981,1016.981,497.739,,497.739,0.05,2.1,2,2.2,8.2,8.2,8.2,6.8,6.9,6.8,196.7,196.3,197,546.1030000000001,548.169,544.037,156.858,156.073,157.643,18.7425,17.397,20.088,2.745,3.003,2.487,1.7984999999999998,2.082,1.515,0.929,1.362,0.496,2.0905,2.115,2.066,2.0905,2.115,2.066,2.928,2.887,2.969,2.928,2.887,2.969,4.1235,4.339,3.908,4.1235,4.339,3.908
2024-07-03T08:30:00Z,52.067,52.067,52.067,67.933,67.933,67.933,1017.343,1017.343,1017.343,570.659,,570.659,0.05,2.1,2,2.2,8.6,8.5,8.6,7.1,7,7.1,192.5,193.6,191.4,570.038,563.636,576.44,164.1365,159.937,168.336,17.1895,16.121,18.258,2.604,2.423,2.785,1.7770000000000001,1.861,1.693,0.8245,0.969,0.68,2.1550000000000002,2.061,2.249,2.1550000000000002,2.061,2.249,2.9154999999999998,2.684,3.147,2.9154999999999998,2.684,3.147,4.1195,3.968,4.271,4.1195,3.968,4.271
2024-07-03T09:00:00Z,51,51,51,68,68,68,1017.289,1017.289,1017.289,499.553,,499.553,0.05,2.3,2.2,2.3,8.9,8.9,8.8,7.3,7.3,7.2,188.8,188.4,189.2,591.986,594.567,589.405,168.3735,166.793,169.954,19.560000000000002,18.931,20.189,2.7315,2.761,2.702,1.8515000000000001,1.874,1.829,0.8805000000000001,1.145,0.616,2.35,2.359,2.341,2.35,2.359,2.341,3.188,3.136,3.24,3.188,3.136,3.24,4.443,4.457,4.429,4.443,4.457,4.429
2024-07-03T09:30:00Z,51.333,51.333,51.333,67.667,67.667,67.667,1017.162,1017.162,1017.162,518.574,,518.574,0.05,2.1,2,2.3,8.7,8.8,8.7,7.2,7.2,7.1,190.5,189.9,191.2,581.7165,585.501,577.932,167.215,165.043,169.387,17.627499999999998,15.692,19.563,2.6945,2.761,2.628,1.741,1.74,1.742,0.786,0.859,0.713,2.2910000000000004,2.285,2.297,2.2910000000000004,2.285,2.297,3.0605,2.979,3.142,3.0605,2.979,3.142,4.246,4.183,4.309,4.246,4.183,4.309
