time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2024-07-03T00:00:00Z,31.533,31.533,,83.933,83.933,,1010.123,1010.123,,,,,0.01,2.6,2.5,2.7,9.3,9.5,9.1,7.5,7.6,7.4,184.3,182.2,186.6,619.8245,633.767,605.882,175.161,172.399,177.923,22.7855,21.422,24.149,1.181,1.035,1.327,0.33599999999999997,0.321,0.351,0.249,0.191,0.307,1.5815000000000001,1.508,1.655,1.5815000000000001,1.508,1.655,2.4795,2.317,2.642,2.4795,2.317,2.642,2.769,2.597,2.941,2.769,2.597,2.941
2024-07-03T00:30:00Z,32.533,32.533,,82.8,82.8,,1009.993,1009.993,,,,,0.01,2.4,2.4,2.5,8.9,9,8.8,7.3,7.3,7.2,188.8,187.9,189.6,592.278,597.485,587.071,165.9105,161.561,170.26,21.506500000000003,20.91,22.103,1.233,1.199,1.267,0.3085,0.315,0.302,0.2305,0.197,0.264,1.3785,1.27,1.487,1.3785,1.27,1.487,2.2954999999999997,2.089,2.502,2.2954999999999997,2.089,2.502,2.5564999999999998,2.338,2.775,2.5564999999999998,2.338,2.775
2024-07-03T01:00:00Z,33.6,33.6,,82,82,,1009.857,1009.857,,,,,0.01,2.5,2.4,2.6,8.8,8.9,8.8,7.2,7.3,7.2,189.2,188.5,190,589.3625,594.081,584.644,166.995,161.455,172.535,22.361,20.414,24.308,1.3210000000000002,1.245,1.397,0.2425,0.253,0.232,0.23399999999999999,0.236,0.232,1.453,1.338,1.568,1.453,1.338,1.568,2.3914999999999997,2.179,2.604,2.3914999999999997,2.179,2.604,2.6334999999999997,2.395,2.872,2.6334999999999997,2.395,2.872
2024-07-03T01:30:00Z,34,34,,81.533,81.533,,1009.787,1009.787,,,,,0.01,2.4,2.3,2.5,8.4,8.6,8.2,7,7.1,6.9,193.8,191.6,196,562.606,575.319,549.893,159.82850000000002,156.656,163.001,21.55,19.887,23.213,1.5185,1.375,1.662,0.3195,0.283,0.356,0.2365,0.149,0.324,1.274,1.225,1.323,1.274,1.225,1.323,2.254,2.097,2.411,2.254,2.097,2.411,2.5445,2.35,2.739,2.5445,2.35,2.739
2024-07-03T02:00:00Z,34.6,34.6,,80.667,80.667,,1009.793,1009.793,,,,,0.01,2.2,2.1,2.4,8,8,7.9,6.7,6.7,6.7,199.5,199.4,199.6,530.463,530.961,529.965,149.727,143.906,155.548,20.34,18.145,22.535,1.397,1.373,1.421,0.392,0.351,0.433,0.27349999999999997,0.196,0.351,1.0270000000000001,0.915,1.139,1.0270000000000001,0.915,1.139,1.8835000000000002,1.66,2.107,1.8835000000000002,1.66,2.107,2.196,1.925,2.467,2.196,1.925,2.467
2024-07-03T02:30:00Z,36.467,36.467,,78.533,78.533,,1009.862,1009.862,,,,,0.01,2.1,2.1,2.2,7.5,7.5,7.5,6.4,6.4,6.4,205.2,204.7,205.8,500.06949999999995,502.823,497.316,141.3415,136.675,146.008,20.0465,18.799,21.294,1.581,1.423,1.739,0.4255,0.436,0.415,0.2915,0.276,0.307,0.887,0.877,0.897,0.887,0.877,0.897,1.7650000000000001,1.621,1.909,1.7650000000000001,1.621,1.909,2.117,1.992,2.242,2.117,1.992,2.242
2024-07-03T03:00:00Z,38.933,38.933,,75.467,75.467,,1009.917,1009.917,,,,,0.01,2.1,2,2.2,7.2,7.3,7.1,6.2,6.3,6.1,209.4,207.9,210.9,479.255,486.607,471.903,136.647,132.579,140.715,20.121,18.115,22.127,1.8929999999999998,1.757,2.029,0.5035000000000001,0.455,0.552,0.40149999999999997,0.296,0.507,0.872,0.855,0.889,0.871,0.853,0.889,1.7995,1.634,1.965,1.7995,1.634,1.965,2.217,1.999,2.435,2.217,1.999,2.435
2024-07-03T03:30:00Z,41.4,41.4,,72.933,72.933,,1009.998,1009.998,,,,,0.01,1.9,1.9,1.9,6.9,7.1,6.6,6,6.2,5.8,213.7,210.1,217.5,458.0905,475.779,440.402,129.3585,128.347,130.37,18.070500000000003,17.454,18.687,1.964,1.654,2.274,0.613,0.561,0.665,0.46699999999999997,0.315,0.619,0.69,0.701,0.679,0.69,0.701,0.679,1.462,1.397,1.527,1.462,1.397,1.527,1.9769999999999999,1.825,2.129,1.9769999999999999,1.825,2.129
2024-07-03T04:00:00Z,44,44,,70.733,70.733,,1010.112,1010.112,,,,,0.01,1.9,1.9,1.9,6.8,6.8,6.7,5.9,6,5.9,215.4,214.5,216.3,450.3725,454.658,446.087,127.622,123.209,132.035,17.417,17.147,17.687,1.6955,1.682,1.709,0.398,0.328,0.468,0.313,0.217,0.409,0.7250000000000001,0.659,0.791,0.7250000000000001,0.659,0.791,1.4529999999999998,1.333,1.573,1.4529999999999998,1.333,1.573,1.7705,1.585,1.956,1.7705,1.585,1.956
2024-07-03T04:30:00Z,45.933,45.933,,69,69,,1010.322,1010.322,,,,,0.01,1.8,1.8,1.9,6.4,6.4,6.3,5.7,5.7,5.6,221.3,220.6,221.9,423.717,426.737,420.697,120.52850000000001,116.421,124.636,17.874000000000002,17.192,18.556,1.8615,1.494,2.229,0.48750000000000004,0.326,0.649,0.393,0.203,0.583,0.5369999999999999,0.485,0.589,0.5369999999999999,0.485,0.589,1.31,1.125,1.495,1.31,1.125,1.495,1.7155,1.394,2.037,1.7155,1.394,2.037
