UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/09/16T00:00:50z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,43,51,1006.07,0.02,8984,-67,1324615,2.20,3.02,3.93,2.20,3.02,3.93,13,13,618.71,180.27,17.53,1.81,1.24,0.75,2.47,3.88,5.56,2.47,3.88,5.56,16,16,615.25,177.15,25.31,3.98,2.75,1.32,84.92
2025/09/16T00:02:50z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,78,42,53,1006.09,0.02,8984,-69,1324735,2.46,3.39,4.24,2.46,3.39,4.24,14,14,582.61,170.31,21.86,1.85,1.53,0.73,2.47,3.19,4.51,2.47,3.19,4.51,13,13,604.32,171.89,19.11,2.46,1.82,0.58,81.89
2025/09/16T00:04:50z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,43,52,1006.04,0.02,8984,-67,1324854,3.00,3.87,5.88,3.00,3.87,5.88,16,16,689.30,198.10,21.03,3.75,3.00,1.50,2.51,3.65,4.26,2.51,3.65,4.26,15,15,593.58,170.00,23.28,2.02,0.49,0.32,84.30
2025/09/16T00:06:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,44,51,1006.14,0.02,8984,-68,1324974,1.87,2.73,2.98,1.87,2.73,2.98,11,11,532.69,148.95,16.47,1.13,0.38,0.20,2.56,3.54,3.95,2.56,3.54,3.95,15,15,598.37,169.36,20.76,2.86,0.63,0.31,85.65
2025/09/16T00:08:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1006.01,0.02,8816,-69,1325095,2.52,3.66,5.00,2.52,3.66,5.00,15,15,616.86,178.03,20.48,3.50,1.62,1.19,2.50,3.12,4.69,2.50,3.12,4.69,13,13,605.38,161.45,21.71,3.69,2.26,1.02,84.18
2025/09/16T00:10:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,44,52,1006.08,0.02,9072,-70,1325215,2.62,3.80,5.21,2.62,3.80,5.21,16,16,627.43,176.50,22.66,3.45,2.05,1.21,2.38,2.98,3.65,2.38,2.98,3.65,12,12,578.90,165.17,17.02,1.78,0.88,0.17,81.43
2025/09/16T00:12:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,44,53,1005.99,0.02,9240,-67,1325335,2.61,3.72,5.07,2.61,3.72,5.07,15,15,607.68,177.58,18.09,3.16,2.07,1.63,2.85,3.69,4.58,2.85,3.69,4.58,15,15,622.37,180.27,17.80,3.12,0.75,0.34,80.11
2025/09/16T00:14:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,43,52,1005.99,0.02,8984,-70,1325455,2.71,3.51,4.66,2.71,3.51,4.66,15,15,635.90,188.24,18.86,2.64,1.46,0.68,3.12,4.02,5.09,3.12,4.02,5.09,17,17,655.79,184.46,20.74,2.42,1.63,0.95,79.76
2025/09/16T00:16:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1006.00,0.02,9240,-69,1325575,2.81,3.75,4.78,2.81,3.75,4.78,16,16,617.29,178.27,19.75,2.03,1.49,0.90,2.63,3.32,4.19,2.63,3.32,4.19,14,14,639.47,181.54,19.89,1.74,1.35,0.26,80.00
2025/09/16T00:18:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1005.91,0.02,9240,-65,1325695,2.57,3.38,4.41,2.57,3.38,4.41,14,14,588.72,172.52,20.14,2.12,1.62,0.40,2.73,3.32,4.39,2.73,3.32,4.39,14,14,617.29,171.80,18.27,1.86,1.46,0.63,78.87
2025/09/16T00:20:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1005.93,0.02,8984,-67,1325815,2.40,3.29,5.02,2.40,3.29,5.02,14,14,609.71,186.76,20.29,3.29,2.64,1.20,2.50,3.12,3.35,2.50,3.12,3.35,13,13,565.80,159.33,19.73,0.87,0.43,0.08,80.46
2025/09/16T00:22:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,53,1005.92,0.02,8984,-66,1325935,2.39,3.19,4.42,2.39,3.19,4.42,13,13,568.68,165.66,18.64,2.49,1.63,1.05,2.45,3.14,4.11,2.45,3.14,4.11,13,13,551.25,159.93,19.09,2.36,1.41,0.61,83.49
2025/09/16T00:24:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1005.93,0.02,9240,-67,1326055,2.38,3.40,4.37,2.38,3.40,4.37,14,14,590.50,164.60,19.50,1.98,1.23,0.77,3.23,4.14,4.54,3.23,4.14,4.54,17,17,685.39,198.11,19.71,1.25,0.73,0.43,80.36
2025/09/16T00:26:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,44,51,1005.90,0.02,9240,-68,1326175,2.54,3.89,4.88,2.54,3.89,4.88,16,16,630.42,178.84,21.91,2.70,1.32,1.18,3.02,3.61,4.03,3.02,3.61,4.03,15,15,660.81,184.14,15.32,0.78,0.56,0.56,82.82
2025/09/16T00:28:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,45,53,1005.92,0.02,8984,-67,1326295,2.39,3.14,4.25,2.39,3.14,4.25,13,13,549.32,161.00,19.12,3.30,1.52,0.91,2.67,3.66,3.83,2.67,3.66,3.83,15,15,641.28,182.90,21.02,1.36,0.21,0.21,82.55
2025/09/16T00:30:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,53,1005.97,0.02,9240,-66,1326415,2.42,3.37,4.68,2.42,3.37,4.68,14,14,600.92,176.92,19.86,3.39,1.97,0.73,2.69,3.73,4.22,2.69,3.73,4.22,16,16,616.98,177.08,25.37,3.31,0.75,0.19,80.95
2025/09/16T00:32:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,44,53,1005.98,0.02,9240,-68,1326535,2.73,3.77,5.13,2.73,3.77,5.13,16,16,609.70,174.30,26.43,2.90,1.52,0.88,3.32,3.95,4.21,3.32,3.95,4.21,16,16,682.18,189.64,16.89,1.02,0.39,0.39,82.24
2025/09/16T00:34:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1006.02,0.02,9240,-67,1326655,2.21,2.81,3.95,2.21,2.81,3.95,12,12,604.24,175.52,15.71,2.02,1.62,0.86,2.66,3.83,5.12,2.66,3.83,5.12,16,16,638.95,182.58,23.20,3.59,2.03,1.12,81.72
2025/09/16T00:36:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,53,1006.06,0.02,9240,-66,1326775,2.79,4.12,4.88,2.79,4.12,4.88,17,17,661.37,192.46,27.02,2.58,1.12,0.60,2.67,3.35,3.95,2.67,3.35,3.95,14,14,652.00,181.43,20.37,1.63,0.77,0.55,89.42
2025/09/16T00:38:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,53,1006.00,0.02,9240,-68,1326895,3.78,5.00,6.72,3.78,5.00,6.72,21,21,777.93,227.10,28.21,4.21,2.24,1.36,3.27,4.20,4.56,3.27,4.20,4.56,18,18,708.92,203.12,22.29,1.44,0.66,0.19,90.98
2025/09/16T00:40:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,44,53,1006.02,0.02,9240,-68,1327015,3.22,4.59,6.29,3.22,4.59,6.29,19,19,763.02,216.41,23.31,3.85,2.10,1.56,3.33,4.30,5.49,3.33,4.30,5.49,18,18,744.53,209.86,28.72,2.40,1.91,0.67,82.43
2025/09/16T00:42:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,44,52,1005.97,0.02,9240,-66,1327135,2.81,3.69,4.85,2.81,3.69,4.85,15,15,656.95,186.07,20.36,2.31,1.54,1.12,2.88,3.96,5.02,2.88,3.96,5.02,17,17,721.26,202.70,25.05,2.95,1.47,0.37,78.99
2025/09/16T00:44:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,45,53,1005.94,0.02,8984,-68,1327255,3.37,4.11,5.04,3.37,4.11,5.04,17,17,680.74,204.67,19.04,1.95,1.09,0.44,3.05,3.95,4.86,3.05,3.95,4.86,16,16,631.42,182.88,18.41,3.90,1.12,0.47,78.56
2025/09/16T00:46:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,45,52,1005.99,0.02,9240,-67,1327375,2.81,3.68,4.79,2.81,3.68,4.79,15,15,633.79,182.60,20.14,2.37,1.54,0.95,3.00,3.88,5.24,3.00,3.88,5.24,16,16,674.48,186.17,25.09,2.84,1.76,1.00,79.74
2025/09/16T00:48:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,45,52,1005.97,0.02,8984,-69,1327495,3.16,3.98,5.93,3.16,3.98,5.93,17,17,683.07,206.07,26.34,4.62,2.67,1.47,2.74,3.88,4.98,2.74,3.88,4.98,16,16,653.38,184.76,21.22,4.57,1.67,0.60,79.18
2025/09/16T00:50:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,45,53,1005.98,0.02,8984,-66,1327615,3.08,4.03,6.59,3.08,4.03,6.59,17,17,639.25,187.08,26.14,4.36,3.93,1.66,2.30,3.32,4.21,2.30,3.32,4.21,14,14,597.43,162.71,22.11,2.86,1.34,0.52,77.27
2025/09/16T00:52:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,45,52,1006.03,0.02,9240,-66,1327735,2.67,3.38,3.74,2.67,3.38,3.74,14,14,592.55,171.28,18.34,1.41,0.45,0.09,2.98,3.86,4.92,2.98,3.86,4.92,16,16,672.61,187.97,23.63,2.07,1.58,0.66,79.97
2025/09/16T00:54:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,45,53,1006.00,0.02,8984,-66,1327855,2.73,3.33,4.49,2.73,3.33,4.49,14,14,634.58,182.87,16.84,1.78,1.58,1.27,2.75,3.81,4.42,2.75,3.81,4.42,16,16,605.29,172.51,23.51,2.27,1.07,0.17,76.78
2025/09/16T00:56:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,45,53,1005.99,0.02,9240,-69,1327975,2.54,3.51,4.00,2.54,3.51,4.00,15,15,600.20,176.34,17.61,1.19,0.59,0.42,2.67,3.12,4.25,2.67,3.12,4.25,13,13,587.26,163.12,19.11,2.25,1.68,0.70,78.31
2025/09/16T00:58:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,45,52,1005.98,0.02,8984,-70,1328095,3.81,4.76,6.05,3.81,4.76,6.05,20,20,756.00,219.97,28.24,2.41,1.45,0.74,3.18,4.79,6.38,3.18,4.79,6.38,20,20,793.18,224.89,32.59,4.66,2.18,1.07,78.94
2025/09/16T01:00:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,52,1005.95,0.02,9240,-67,1328215,2.90,3.69,4.16,2.90,3.69,4.16,15,15,706.86,199.21,21.47,0.72,0.52,0.41,3.34,4.50,5.71,3.34,4.50,5.71,19,19,705.93,199.52,28.00,2.95,1.29,0.71,79.59
2025/09/16T01:02:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,46,52,1006.02,0.02,8984,-69,1328335,2.43,3.53,5.14,2.43,3.53,5.14,15,15,586.55,172.83,24.76,2.90,2.12,1.48,2.70,3.65,4.00,2.70,3.65,4.00,15,15,595.50,167.60,24.02,1.37,0.40,0.18,76.25
2025/09/16T01:04:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,53,1005.95,0.02,8984,-69,1328455,2.50,3.33,3.67,2.50,3.33,3.67,14,14,567.41,168.62,17.19,1.09,0.53,0.05,3.44,4.14,5.60,3.44,4.14,5.60,17,17,697.05,199.89,24.23,3.02,2.11,1.04,74.66
2025/09/16T01:06:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,53,1005.98,0.02,8984,-69,1328575,2.88,3.69,4.80,2.88,3.69,4.80,15,15,623.49,184.58,22.98,2.14,1.85,0.63,3.00,4.00,4.40,3.00,4.00,4.40,17,17,595.45,172.10,18.91,1.90,0.53,0.21,73.84
2025/09/16T01:08:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,53,1005.96,0.02,8816,-71,1328695,2.56,3.39,4.31,2.56,3.39,4.31,14,14,590.95,175.12,20.49,1.90,1.42,0.49,2.59,3.59,3.76,2.59,3.59,3.76,15,15,597.72,167.83,22.74,0.83,0.41,0.16,74.46
2025/09/16T01:10:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,52,1005.99,0.02,9072,-70,1328815,2.58,3.38,4.42,2.58,3.38,4.42,14,14,552.50,162.60,19.63,1.92,1.58,0.67,2.46,3.18,5.21,2.46,3.18,5.21,13,13,623.57,171.79,21.04,3.84,3.02,1.82,73.67
2025/09/16T01:12:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,75,46,53,1005.99,0.02,8984,-70,1328935,2.49,3.10,3.92,2.49,3.10,3.92,13,13,590.24,164.71,15.85,1.81,1.15,0.51,2.65,3.49,4.02,2.65,3.49,4.02,15,15,588.21,166.60,16.65,2.18,0.81,0.40,73.19
2025/09/16T01:14:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,46,52,1006.04,0.02,9240,-68,1329055,2.16,3.13,3.85,2.16,3.13,3.85,13,13,612.11,175.42,17.85,2.05,0.87,0.53,2.75,3.54,4.71,2.75,3.54,4.71,15,15,617.39,175.36,15.10,3.19,2.00,0.66,74.01
2025/09/16T01:16:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,47,51,1006.06,0.02,8984,-67,1329175,2.57,3.64,3.91,2.57,3.64,3.91,15,15,621.10,179.10,18.97,0.90,0.52,0.19,2.53,3.42,4.12,2.53,3.42,4.12,14,14,583.93,166.27,22.14,2.66,1.05,0.31,77.08
2025/09/16T01:18:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,47,53,1006.06,0.02,8984,-66,1329295,2.27,2.87,3.95,2.27,2.87,3.95,12,12,549.70,158.40,16.10,2.45,1.95,0.85,2.39,2.96,3.70,2.39,2.96,3.70,12,12,564.64,160.75,17.79,1.16,0.73,0.68,79.48
2025/09/16T01:20:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1006.09,0.02,8984,-69,1329415,2.05,2.98,4.10,2.05,2.98,4.10,12,12,557.90,163.23,20.67,2.82,1.87,0.58,2.57,3.32,3.84,2.57,3.32,3.84,14,14,603.32,173.75,22.48,1.46,0.82,0.00,79.17
2025/09/16T01:22:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1006.08,0.02,8984,-65,1329535,2.16,3.18,4.60,2.16,3.18,4.60,13,13,563.58,170.39,19.67,2.86,2.04,0.47,2.27,3.19,4.14,2.27,3.19,4.14,13,13,587.08,165.69,18.27,2.54,1.32,1.07,79.75
2025/09/16T01:24:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1006.06,0.02,8984,-68,1329655,2.04,2.89,4.35,2.04,2.89,4.35,12,12,486.11,143.75,16.98,3.40,2.07,1.44,2.10,3.03,3.67,2.10,3.03,3.67,13,13,563.40,161.23,20.12,1.97,0.95,0.37,78.84
2025/09/16T01:26:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1006.05,0.02,8984,-68,1329775,2.23,3.03,3.93,2.23,3.03,3.93,13,13,517.40,152.53,17.93,2.48,1.15,0.98,2.28,2.60,3.11,2.28,2.60,3.11,11,11,556.11,155.02,13.74,1.16,0.65,0.00,77.70
2025/09/16T01:28:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1005.95,0.02,9240,-73,1329895,1.85,1.92,2.93,1.85,1.92,2.93,8,8,513.86,147.69,12.73,1.88,1.34,0.49,2.25,2.95,3.86,2.25,2.95,3.86,12,12,536.36,148.54,19.55,2.18,1.25,0.32,78.06
2025/09/16T01:30:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,48,53,1005.97,0.02,9240,-68,1330015,2.81,3.67,4.29,2.81,3.67,4.29,15,15,616.03,178.34,18.81,0.86,0.86,0.38,3.08,4.10,4.85,3.08,4.10,4.85,17,17,645.76,185.08,23.25,2.85,0.86,0.36,78.54
2025/09/16T01:32:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,48,53,1005.96,0.02,9240,-68,1330135,3.07,3.91,4.59,3.07,3.91,4.59,16,16,667.29,187.29,24.39,1.07,1.07,0.48,3.10,3.55,4.02,3.10,3.55,4.02,15,15,647.10,183.67,16.15,0.97,0.62,0.10,78.02
2025/09/16T01:34:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,74,48,53,1005.91,0.02,9240,-69,1330255,2.16,3.07,3.66,2.16,3.07,3.66,13,13,566.79,164.93,24.43,1.12,0.67,0.67,3.12,3.67,4.64,3.12,3.67,4.64,15,15,654.52,181.14,18.97,2.22,1.21,0.09,77.43
2025/09/16T01:36:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1006.00,0.02,9240,-67,1330375,3.10,4.65,5.82,3.10,4.65,5.82,19,19,693.00,209.67,26.77,3.32,1.75,1.17,2.73,3.75,4.89,2.73,3.75,4.89,16,16,663.00,184.36,23.66,2.70,1.54,0.82,77.14
2025/09/16T01:38:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,48,52,1005.95,0.02,9240,-68,1330495,2.22,3.22,4.85,2.22,3.22,4.85,13,13,606.81,172.98,18.76,3.64,2.31,1.46,3.11,3.89,4.02,3.11,3.89,4.02,16,16,666.32,184.07,21.81,0.86,0.30,0.25,80.67
2025/09/16T01:40:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,72,49,52,1005.95,0.02,8984,-69,1330615,2.48,3.27,3.59,2.48,3.27,3.59,14,14,618.21,177.00,18.82,0.68,0.45,0.04,2.58,3.97,4.63,2.58,3.97,4.63,17,17,616.00,169.70,25.68,2.07,1.02,0.63,95.47
2025/09/16T01:42:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,73,49,53,1005.91,0.02,8984,-68,1330735,2.41,3.00,3.91,2.41,3.00,3.91,13,13,580.45,171.07,15.86,1.36,0.91,0.91,2.02,2.72,3.52,2.02,2.72,3.52,11,11,575.17,153.90,14.95,1.76,1.07,0.64,87.90
2025/09/16T01:44:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,72,50,52,1005.92,0.02,8984,-65,1330855,2.67,3.67,4.52,2.67,3.67,4.52,15,15,605.40,176.83,24.12,1.92,1.68,0.77,2.55,3.61,4.45,2.55,3.61,4.45,15,15,600.75,171.39,22.64,2.34,1.05,1.02,88.05
2025/09/16T01:46:49z,a4:e5:7c:29:77:2b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,72,50,52,1005.89,0.02,8984,-67,1330975,2.95,3.64,5.53,2.95,3.64,5.53,15,15,642.20,188.34,21.95,3.41,2.76,1.05,2.81,4.14,4.98,2.81,4.14,4.98,17,17,643.47,179.02,24.32,2.68,0.98,0.35,82.51
