UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/06/18T17:57:13z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,70,64,57,1006.22,nan,28144,0,99,0.00,0.09,1.16,0.00,0.09,1.16,0,0,188.66,52.59,10.82,2.66,0.00,0.00,0.10,0.74,0.98,0.10,0.74,0.98,3,3,200.07,50.19,8.48,3.36,0.26,0.26,nan
2025/06/18T17:59:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,69,62,55,1006.26,0.04,26264,0,219,0.00,0.14,0.93,0.00,0.14,0.93,1,1,172.45,46.86,8.59,2.67,0.93,0.00,0.00,0.58,0.68,0.00,0.58,0.68,2,2,209.11,57.46,9.53,2.42,0.16,0.00,50.00
2025/06/18T18:01:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,69,62,55,1006.29,0.04,25928,0,339,0.05,0.52,0.59,0.05,0.52,0.59,2,2,189.75,52.32,6.62,0.48,0.25,0.00,0.31,0.42,0.46,0.31,0.42,0.46,2,2,189.86,50.03,5.61,0.41,0.03,0.00,50.00
2025/06/18T18:03:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,68,62,54,1006.29,0.04,25928,0,459,0.09,0.19,0.19,0.09,0.19,0.19,1,1,202.00,54.40,4.74,0.18,0.00,0.00,0.00,0.22,0.22,0.00,0.22,0.22,1,1,172.63,43.54,4.44,0.00,0.00,0.00,50.00
2025/06/18T18:05:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,70,62,56,1006.27,0.04,25928,0,579,0.00,0.41,0.41,0.00,0.41,0.41,2,2,180.25,50.20,7.07,0.49,0.00,0.00,0.46,0.56,0.56,0.46,0.56,0.56,2,2,224.68,62.05,6.56,0.14,0.00,0.00,50.00
2025/06/18T18:07:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,68,62,54,1006.27,0.04,25184,0,699,0.03,0.50,1.36,0.03,0.50,1.36,2,2,171.93,47.41,6.26,1.97,1.21,0.86,0.18,0.64,0.64,0.18,0.64,0.64,3,3,216.70,59.71,7.07,0.04,0.00,0.00,50.00
2025/06/18T18:09:16z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,68,67,56,1006.30,0.04,20040,0,822,0.00,0.05,0.05,0.00,0.05,0.05,0,0,169.47,45.93,4.24,0.27,0.00,0.00,0.17,0.75,0.95,0.17,0.75,0.95,3,3,211.05,62.33,8.32,0.72,0.28,0.00,50.00
2025/06/18T18:11:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,68,65,56,1006.27,0.04,24120,0,939,0.27,0.40,0.40,0.27,0.40,0.40,2,2,199.20,56.62,5.29,0.15,0.00,0.00,0.20,0.30,0.59,0.20,0.30,0.59,1,1,222.80,62.88,8.25,0.88,0.45,0.00,50.00
2025/06/18T18:13:17z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,71,55,1006.31,0.04,22736,0,1063,0.39,0.85,1.08,0.39,0.85,1.08,4,4,187.72,53.49,10.87,0.92,0.41,0.00,0.14,0.22,0.31,0.14,0.22,0.31,1,1,173.54,48.97,5.69,0.32,0.32,0.24,50.00
2025/06/18T18:15:12z,c4:5b:be:e0:71:4b,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,68,65,55,1006.28,0.04,24208,0,1179,0.48,0.66,0.66,0.48,0.66,0.66,3,3,224.30,65.52,9.34,0.09,0.00,0.00,0.04,0.27,0.31,0.04,0.27,0.31,1,1,175.69,49.00,5.38,0.36,0.09,0.00,50.00
