UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/06/29T00:01:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,36,53,1013.11,0.03,11880,-66,297387,1.66,2.12,2.36,1.66,2.12,2.36,9,9,534.10,143.36,7.95,1.05,0.24,0.00,1.57,2.20,2.20,1.57,2.20,2.20,9,9,467.89,128.57,8.82,0.41,0.00,0.00,68.85
2025/06/29T00:03:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1013.07,0.03,11880,-66,297507,1.67,2.16,2.16,1.67,2.16,2.16,9,9,552.21,134.07,8.16,0.45,0.00,0.00,1.76,2.03,2.03,1.76,2.03,2.03,8,8,478.86,129.93,8.67,0.64,0.21,0.00,68.77
2025/06/29T00:05:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1013.06,0.03,11880,-66,297627,1.48,2.00,2.20,1.48,2.00,2.20,8,8,491.36,120.46,9.21,0.39,0.20,0.20,1.41,2.00,2.00,1.41,2.00,2.00,8,8,452.14,120.41,7.31,0.19,0.00,0.00,68.85
2025/06/29T00:07:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,35,53,1013.04,0.03,11880,-64,297747,1.81,2.19,2.51,1.81,2.19,2.51,9,9,552.32,129.86,11.40,1.02,0.58,0.05,1.47,1.81,1.90,1.47,1.81,1.90,8,8,407.79,113.69,8.53,0.38,0.21,0.00,68.99
2025/06/29T00:09:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1013.04,0.03,11880,-69,297867,1.25,1.37,1.37,1.25,1.37,1.37,6,6,464.24,111.76,7.63,0.15,0.00,0.00,1.21,1.42,1.51,1.21,1.42,1.51,6,6,420.53,121.23,8.67,0.18,0.18,0.18,69.24
2025/06/29T00:11:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,35,52,1013.04,0.03,11880,-63,297987,1.46,1.83,1.83,1.46,1.83,1.83,8,8,500.85,122.20,10.92,0.25,0.00,0.00,1.60,1.86,2.09,1.60,1.86,2.09,8,8,490.74,132.07,8.04,0.44,0.25,0.25,68.61
2025/06/29T00:13:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,35,52,1013.01,0.03,11880,-63,298107,1.79,2.38,2.45,1.79,2.38,2.45,10,10,506.14,133.50,12.27,0.55,0.16,0.00,1.47,1.92,1.92,1.47,1.92,1.92,8,8,428.54,117.29,7.17,0.00,0.00,0.00,68.83
2025/06/29T00:15:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,35,53,1013.02,0.03,11880,-63,298227,1.29,2.05,2.05,1.29,2.05,2.05,9,9,537.62,138.41,12.72,0.81,0.00,0.00,1.68,1.93,2.02,1.68,1.93,2.02,8,8,486.70,136.10,9.13,0.47,0.08,0.00,68.40
2025/06/29T00:17:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1012.95,0.03,11880,-65,298347,1.52,1.83,2.15,1.52,1.83,2.15,8,8,507.80,127.00,5.47,0.65,0.47,0.00,1.36,1.66,2.07,1.36,1.66,2.07,7,7,461.68,123.62,6.70,0.98,0.54,0.00,69.00
2025/06/29T00:19:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,81,36,52,1012.95,0.03,11880,-63,298467,1.78,2.31,2.41,1.78,2.31,2.41,10,10,506.64,133.12,9.63,1.32,0.22,0.22,1.51,1.95,1.95,1.51,1.95,1.95,8,8,423.68,119.88,10.11,0.25,0.00,0.00,70.32
2025/06/29T00:21:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1012.92,0.03,11880,-64,298587,1.75,2.32,2.32,1.75,2.32,2.32,10,10,542.00,135.33,8.72,0.32,0.00,0.00,1.59,1.80,1.80,1.59,1.80,1.80,7,7,432.00,120.24,7.93,0.24,0.00,0.00,68.97
2025/06/29T00:23:53z,a4:e5:7c:24:69:12,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,36,52,1012.91,0.03,11880,-63,298707,1.14,1.28,1.28,1.14,1.28,1.28,5,5,516.42,124.04,5.35,0.00,0.00,0.00,1.58,1.65,1.90,1.58,1.65,1.90,7,7,458.20,127.53,9.30,0.25,0.08,0.08,70.04
