UTCDateTime,current_temp_f,current_humidity,pm2_5_atm_b,.source_file
2025/07/16T19:30:40z,83,43,6.82,20250716.csv
2025/07/16T19:32:40z,84,38,5.3,20250716.csv
2025/07/16T19:34:46z,86,35,4.29,20250716.csv
2025/07/16T19:36:32z,86,35,3.91,20250716.csv
2025/07/16T19:38:32z,87,34,4.56,20250716.csv
2025/07/16T19:40:32z,89,32,3.8,20250716.csv
2025/07/16T19:42:32z,89,32,4.49,20250716.csv
2025/07/16T19:44:32z,90,30,4.4,20250716.csv
2025/07/16T19:46:32z,90,30,3.45,20250716.csv
2025/07/16T19:48:32z,91,29,4.27,20250716.csv
2025/07/16T19:50:32z,92,30,4.21,20250716.csv
2025/07/16T19:52:32z,93,28,3.12,20250716.csv
2025/07/16T19:54:32z,93,27,3.43,20250716.csv
2025/07/16T20:13:53z,94,28,4.19,20250716.csv
2025/07/16T20:15:53z,95,27,4.37,20250716.csv
2025/07/16T20:17:53z,95,26,3.58,20250716.csv
2025/07/16T20:19:53z,95,25,3.7,20250716.csv
2025/07/16T20:21:53z,95,25,3.93,20250716.csv
2025/07/16T20:23:53z,95,25,3,20250716.csv
2025/07/16T20:25:53z,95,25,4.03,20250716.csv
2025/07/16T20:27:53z,96,25,3,20250716.csv
2025/07/16T20:29:53z,98,24,3.61,20250716.csv
2025/07/16T20:31:53z,98,24,3.03,20250716.csv
2025/07/16T20:33:53z,96,24,3.69,20250716.csv
2025/07/16T20:35:53z,97,25,3.4,20250716.csv
2025/07/16T20:37:53z,98,24,4.16,20250716.csv
2025/07/16T20:39:53z,97,26,3.88,20250716.csv
2025/07/16T20:41:53z,98,25,3.97,20250716.csv
2025/07/16T20:43:53z,98,24,3.31,20250716.csv
2025/07/16T20:45:53z,98,25,3.89,20250716.csv
2025/07/16T20:47:53z,99,24,3.36,20250716.csv
2025/07/16T20:49:53z,98,24,3.97,20250716.csv
2025/07/16T20:51:53z,99,24,2.98,20250716.csv
2025/07/16T20:53:53z,99,24,3.43,20250716.csv
2025/07/16T20:55:53z,99,24,3.4,20250716.csv
2025/07/16T20:57:53z,98,24,3.58,20250716.csv
2025/07/16T20:59:53z,98,25,4.29,20250716.csv
