UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/08/20T00:00:13z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,84,51,64,1009.66,0.02,8984,-58,347933,1.77,2.00,2.28,1.77,2.00,2.28,8,8,429.68,123.51,10.30,0.72,0.42,0.00,1.95,2.39,2.56,1.95,2.39,2.56,10,10,472.02,133.85,12.81,0.80,0.24,0.00,63.63
2025/08/20T00:02:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,84,52,64,1009.65,0.02,8984,-59,348053,2.02,2.52,2.96,2.02,2.52,2.96,10,10,459.32,136.46,11.25,1.05,0.61,0.21,2.19,2.46,3.54,2.19,2.46,3.54,10,10,465.00,136.05,13.36,2.12,0.97,0.49,62.96
2025/08/20T00:04:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,84,49,63,1009.62,0.02,9240,-58,348173,2.17,2.60,2.76,2.17,2.60,2.76,11,11,454.14,134.90,11.95,0.53,0.24,0.24,2.33,2.93,3.46,2.33,2.93,3.46,12,12,506.11,150.93,13.96,1.42,0.75,0.49,66.38
2025/08/20T00:06:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,49,62,1009.69,0.02,9240,-62,348293,1.47,1.85,2.27,1.47,1.85,2.27,8,8,418.17,122.61,9.08,0.98,0.42,0.17,1.62,1.86,1.96,1.62,1.86,1.96,8,8,489.86,139.04,10.39,0.64,0.21,0.00,67.46
2025/08/20T00:08:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,49,61,1009.71,0.02,9240,-58,348413,2.47,2.86,2.98,2.47,2.86,2.98,12,12,523.86,150.62,16.19,0.62,0.21,0.00,1.69,1.98,2.54,1.69,1.98,2.54,8,8,424.73,125.80,14.05,1.54,0.73,0.20,70.14
2025/08/20T00:10:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,50,62,1009.69,0.02,8984,-57,348533,1.95,2.52,2.91,1.95,2.52,2.91,10,10,452.79,138.25,14.38,0.86,0.68,0.00,2.08,2.71,3.20,2.08,2.71,3.20,11,11,475.53,137.25,16.36,2.10,0.63,0.12,68.97
2025/08/20T00:12:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,82,49,61,1009.67,0.02,9240,-58,348653,1.86,2.20,2.75,1.86,2.20,2.75,9,9,470.75,135.02,15.17,1.07,0.83,0.41,2.07,2.69,2.97,2.07,2.69,2.97,11,11,495.88,149.38,16.93,0.84,0.52,0.28,68.09
2025/08/20T00:14:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,47,61,1009.68,0.02,8984,-57,348773,2.24,2.62,2.69,2.24,2.62,2.69,11,11,490.76,143.07,12.21,0.41,0.00,0.00,2.00,2.65,3.16,2.00,2.65,3.16,11,11,518.63,146.11,13.56,1.19,0.93,0.47,70.64
2025/08/20T00:16:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,83,50,62,1009.70,0.02,8984,-61,348893,1.93,2.21,2.79,1.93,2.21,2.79,9,9,450.21,128.66,13.40,1.02,0.66,0.21,2.09,2.53,2.91,2.09,2.53,2.91,11,11,484.97,141.59,11.41,1.00,0.43,0.21,69.84
2025/08/20T00:18:12z,c4:5b:be:e7:8:a0,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,84,51,64,1009.70,0.02,8984,-59,349013,1.86,2.19,2.72,1.86,2.19,2.72,9,9,481.26,135.89,13.40,1.04,0.91,0.47,2.25,2.69,3.14,2.25,2.69,3.14,11,11,511.02,151.93,14.20,1.03,0.42,0.42,64.87
