UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/08/14T00:00:08z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1005.03,0.05,11880,-68,2425490,3.62,4.67,5.02,3.62,4.67,5.02,19,19,753.52,216.86,22.71,1.31,0.40,0.00,3.37,4.31,4.73,3.37,4.31,4.73,18,18,730.27,210.95,22.85,0.75,0.34,0.34,62.02
2024/08/14T00:02:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1005.01,0.05,11880,-66,2425609,3.53,4.53,5.31,3.53,4.53,5.31,19,19,742.50,213.66,21.93,1.57,0.97,0.97,3.52,4.45,4.71,3.52,4.45,4.71,19,19,727.07,212.00,23.59,1.20,0.25,0.25,62.80
2024/08/14T00:04:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1004.98,0.05,11880,-72,2425729,3.24,4.27,5.15,3.24,4.27,5.15,18,18,778.12,222.68,24.05,2.41,1.17,1.17,3.66,4.75,4.82,3.66,4.75,4.82,20,20,746.79,217.75,31.36,1.48,0.00,0.00,64.84
2024/08/14T00:06:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,78,44,54,1004.98,0.05,11880,-68,2425849,3.95,4.79,5.70,3.95,4.79,5.70,20,20,844.82,251.32,22.30,2.70,1.25,0.62,3.55,4.40,4.62,3.55,4.40,4.62,18,18,746.07,216.07,22.98,0.62,0.43,0.19,66.58
2024/08/14T00:08:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,44,53,1004.99,0.05,11880,-69,2425969,4.07,5.20,6.14,4.07,5.20,6.14,22,22,808.45,237.50,27.68,2.91,1.46,0.62,4.07,4.95,5.37,4.07,4.95,5.37,21,21,849.40,246.00,26.22,1.48,0.62,0.25,65.22
2024/08/14T00:10:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,79,44,55,1005.03,0.05,11880,-64,2426089,4.08,4.75,5.07,4.08,4.75,5.07,20,20,838.93,239.64,24.75,0.80,0.42,0.34,3.70,5.07,5.23,3.70,5.07,5.23,21,21,779.57,228.11,29.55,2.00,0.39,0.00,64.74
2024/08/14T00:12:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,44,53,1005.03,0.05,11880,-68,2426209,3.95,4.63,5.29,3.95,4.63,5.29,19,19,811.42,231.58,22.47,1.20,0.93,0.75,3.86,5.05,6.74,3.86,5.05,6.74,21,21,819.79,233.72,30.91,2.84,2.28,1.26,64.62
2024/08/14T00:14:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1005.02,0.05,11880,-68,2426329,4.60,5.90,6.64,4.60,5.90,6.64,25,25,883.45,259.98,26.55,1.71,1.14,0.72,3.90,4.93,5.74,3.90,4.93,5.74,21,21,771.10,231.07,27.67,1.97,0.86,0.31,64.50
2024/08/14T00:16:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1005.02,0.05,11880,-68,2426449,4.02,5.05,5.52,4.02,5.05,5.52,21,21,802.45,238.95,17.52,1.74,0.71,0.47,3.90,5.10,5.78,3.90,5.10,5.78,21,21,844.80,242.07,32.53,1.93,0.88,0.33,65.52
2024/08/14T00:18:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,46,54,1005.00,0.05,11880,-69,2426569,3.71,5.09,5.90,3.71,5.09,5.90,21,21,818.22,233.98,26.05,3.34,0.98,0.81,4.74,6.05,7.11,4.74,6.05,7.11,25,25,900.21,265.54,32.70,2.23,1.33,0.91,65.48
2024/08/14T00:20:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,45,54,1005.06,0.05,11880,-66,2426689,3.64,4.81,5.51,3.64,4.81,5.51,20,20,798.51,233.27,24.86,1.97,0.92,0.20,4.49,5.60,6.00,4.49,5.60,6.00,23,23,822.00,244.70,28.68,1.00,0.74,0.02,64.48
2024/08/14T00:22:07z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,77,46,54,1005.03,0.05,11712,-62,2426809,4.82,5.84,6.18,4.82,5.84,6.18,24,24,899.42,268.84,27.65,1.07,0.44,0.18,3.66,4.34,5.45,3.66,4.34,5.45,18,18,791.59,229.45,22.41,1.95,1.71,0.64,62.03
2024/08/14T00:24:06z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,47,54,1005.03,0.05,11712,-69,2426929,4.13,5.37,6.07,4.13,5.37,6.07,22,22,849.75,247.27,27.33,1.78,1.02,0.15,4.16,4.95,6.60,4.16,4.95,6.60,21,21,784.58,230.51,27.80,3.07,2.35,1.13,63.06
2024/08/14T00:26:06z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,47,54,1005.04,0.05,11880,-66,2427049,4.19,5.41,6.78,4.19,5.41,6.78,23,23,866.03,255.02,25.25,3.46,2.10,0.95,4.30,5.61,6.74,4.30,5.61,6.74,23,23,856.95,247.16,29.79,2.05,1.25,1.19,59.69
2024/08/14T00:28:06z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,47,54,1005.06,0.05,11880,-68,2427169,4.55,5.75,6.52,4.55,5.75,6.52,24,24,889.98,257.07,30.02,1.57,1.07,0.82,4.66,5.86,6.19,4.66,5.86,6.19,24,24,924.20,266.68,30.32,0.78,0.66,0.41,60.23
2024/08/14T00:30:06z,a4:e5:7c:26:24:d4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,76,47,54,1005.01,0.05,11880,-68,2427289,4.82,6.48,8.66,4.82,6.48,8.66,27,27,995.89,289.95,31.46,5.54,3.75,0.86,4.31,5.75,6.71,4.31,5.75,6.71,24,24,892.27,264.20,31.64,2.42,1.78,0.76,62.64
