UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/11/13T00:01:35z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,52,47,997.74,0.03,26264,-53,828,19.98,25.86,30.52,19.93,25.86,30.52,81,81,3223.86,954.45,123.59,11.64,6.74,0.76,18.03,23.02,27.81,18.03,23.02,27.81,74,74,3029.49,890.92,113.02,9.58,5.05,3.76,406.74
2025/11/13T00:03:32z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,52,47,997.78,0.02,26264,-51,944,20.22,26.55,33.45,20.11,26.53,33.45,82,82,3334.15,980.04,129.27,17.36,10.22,1.18,17.68,23.56,27.12,17.68,23.56,27.12,76,76,3048.92,889.46,113.53,12.64,4.39,1.63,415.29
2025/11/13T00:05:32z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,52,47,997.81,0.03,26264,-52,1064,20.55,27.48,32.66,20.47,27.48,32.66,84,84,3326.07,983.59,135.07,12.88,7.31,1.48,18.59,23.54,26.51,18.51,23.54,26.51,76,76,3191.80,934.07,112.31,6.34,3.54,1.83,418.23
2025/11/13T00:07:32z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,52,47,997.83,0.02,26264,-50,1184,19.17,24.79,28.29,19.17,24.79,28.29,78,78,3184.66,921.03,104.79,11.24,4.71,1.83,17.91,22.86,26.93,17.91,22.86,26.93,74,74,3048.96,881.07,107.32,11.71,3.84,2.12,427.28
2025/11/13T00:09:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,52,48,997.77,nan,26352,-53,104,20.07,25.61,29.50,19.98,25.61,29.50,80,80,3322.50,971.00,120.50,8.61,4.75,1.57,17.74,22.77,25.98,17.74,22.77,25.98,74,74,2997.91,863.40,122.56,9.44,4.12,0.70,nan
2025/11/13T00:11:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,52,48,997.71,0.02,26264,-50,224,19.98,26.72,32.62,19.90,26.72,32.62,82,82,3296.28,960.97,127.95,15.78,8.69,1.02,17.86,23.16,26.36,17.86,23.16,26.36,75,75,3055.50,899.29,118.64,7.04,3.16,1.12,408.06
2025/11/13T00:13:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,51,47,997.64,0.03,26264,-49,344,21.10,27.43,30.83,20.76,27.43,30.83,84,84,3460.86,1004.76,128.09,10.45,4.40,1.91,18.51,23.92,26.85,18.47,23.92,26.85,76,76,3197.39,933.02,109.66,7.53,2.97,0.93,429.09
2025/11/13T00:15:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,67,51,48,997.63,0.03,26264,-52,464,20.96,28.53,33.15,20.60,28.53,33.15,86,86,3362.29,999.49,145.05,14.78,8.00,0.80,18.59,24.95,27.86,18.59,24.95,27.86,79,79,3171.86,931.59,118.20,12.85,3.29,1.17,436.72
2025/11/13T00:17:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,51,47,997.61,0.03,26264,-50,584,20.93,27.90,32.54,20.59,27.90,32.54,85,85,3387.97,999.25,133.63,14.66,6.85,1.34,17.75,23.28,25.56,17.75,23.28,25.56,75,75,3044.42,890.04,104.77,10.19,2.70,0.67,425.99
2025/11/13T00:19:16z,48:3f:da:26:d5:2a,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,66,52,47,997.62,0.03,26264,-50,704,20.82,28.25,32.09,20.63,28.25,32.09,86,86,3463.47,1015.23,137.82,13.12,5.53,0.53,17.63,23.02,25.46,17.63,23.02,25.46,74,74,3028.32,881.30,99.23,10.11,3.25,1.58,422.60
