time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b
2025-08-07T15:52:06-07:00,40,40,79,79,1011.98,1011.98,4,3.2
2025-08-07T15:54:06-07:00,41,41,78,78,1012.14,1012.14,4.2,3.8
2025-08-07T15:56:06-07:00,42,42,79,79,1012,1012,3.8,3.5
2025-08-07T15:58:06-07:00,42,42,78,78,1011.93,1011.93,4,3.2
2025-08-07T16:00:06-07:00,42,42,79,79,1011.94,1011.94,4,3.6
2025-08-07T16:02:08-07:00,41,41,79,79,1011.95,1011.95,3.6,3.5
2025-08-07T16:04:06-07:00,41,41,78,78,1011.94,1011.94,4.5,3.5
2025-08-07T16:06:08-07:00,41,41,78,78,1011.96,1011.96,4.5,4.1
2025-08-07T16:08:06-07:00,40,40,78,78,1011.93,1011.93,5,4
2025-08-07T16:10:06-07:00,41,41,78,78,1011.94,1011.94,5.2,4.3
2025-08-07T16:12:15-07:00,41,41,79,79,1011.93,1011.93,5,4.4
2025-08-07T16:14:06-07:00,41,41,79,79,1011.94,1011.94,4.2,4.3
2025-08-07T16:16:06-07:00,41,41,79,79,1011.95,1011.95,4.9,3.9
2025-08-07T16:18:06-07:00,41,41,78,78,1011.88,1011.88,4,4.5
2025-08-07T16:20:06-07:00,41,41,79,79,1011.89,1011.89,4.2,3.9
2025-08-07T16:22:06-07:00,41,41,79,79,1011.91,1011.91,4.6,3.4
2025-08-07T16:24:06-07:00,41,41,79,79,1011.9,1011.9,4.3,3.8
2025-08-07T16:26:06-07:00,41,41,80,80,1011.89,1011.89,4.3,3.6
2025-08-07T16:28:06-07:00,41,41,80,80,1011.91,1011.91,3.1,3.9
2025-08-07T16:30:06-07:00,41,41,79,79,1011.88,1011.88,4.6,4
2025-08-07T16:32:06-07:00,41,41,79,79,1011.86,1011.86,4.6,4
2025-08-07T16:34:06-07:00,41,41,79,79,1011.84,1011.84,5.2,4.6
2025-08-07T16:36:06-07:00,41,41,79,79,1011.81,1011.81,4.7,4.2
2025-08-07T16:38:06-07:00,41,41,80,80,1011.8,1011.8,3.9,3.8
2025-08-07T16:40:06-07:00,40,40,80,80,1011.79,1011.79,5,4
2025-08-07T16:42:06-07:00,40,40,79,79,1011.81,1011.81,4.8,3.4
2025-08-07T16:44:06-07:00,41,41,79,79,1011.85,1011.85,3.9,3.2
2025-08-07T16:46:06-07:00,41,41,79,79,1011.82,1011.82,3.2,3.9
2025-08-07T16:48:18-07:00,40,40,79,79,1011.8,1011.8,4.5,3.4
2025-08-07T16:50:18-07:00,40,40,79,79,1011.79,1011.79,4.8,3.8
2025-08-07T16:52:18-07:00,40,40,79,79,1011.78,1011.78,4.6,3.9
2025-08-07T16:54:18-07:00,41,41,78,78,1011.76,1011.76,4.4,4.3
2025-08-07T16:56:19-07:00,41,41,79,79,1011.83,1011.83,4.8,4.5
2025-08-07T16:58:19-07:00,40,40,79,79,1011.83,1011.83,4.8,4.2
2025-08-07T17:00:18-07:00,40,40,79,79,1011.84,1011.84,5.8,4.4
2025-08-07T17:02:18-07:00,40,40,78,78,1011.83,1011.83,5.2,4.2
2025-08-07T17:04:18-07:00,40,40,79,79,1011.88,1011.88,5.6,4.9
2025-08-07T17:06:18-07:00,40,40,79,79,1011.89,1011.89,5.6,5.2
2025-08-07T17:08:18-07:00,41,41,78,78,1011.9,1011.9,5.5,5
2025-08-07T17:10:19-07:00,41,41,79,79,1011.91,1011.91,5.8,5
2025-08-07T17:12:18-07:00,41,41,79,79,1011.89,1011.89,5.6,4.6
2025-08-07T17:14:18-07:00,41,41,79,79,1011.91,1011.91,5.8,5
2025-08-07T17:16:18-07:00,41,41,79,79,1011.9,1011.9,5.7,5.1
2025-08-07T17:18:18-07:00,41,41,78,78,1011.92,1011.92,5.8,4.9
2025-08-07T17:20:19-07:00,41,41,79,79,1011.93,1011.93,6.1,5.1
2025-08-07T17:22:19-07:00,41,41,79,79,1011.9,1011.9,6.2,5.6
2025-08-07T17:24:19-07:00,40,40,79,79,1011.89,1011.89,5.8,5.6
2025-08-07T17:26:18-07:00,40,40,79,79,1011.88,1011.88,5.6,5
2025-08-07T17:28:18-07:00,41,41,78,78,1011.86,1011.86,5.8,4.9
2025-08-07T17:30:18-07:00,41,41,78,78,1011.87,1011.87,5.8,5.1
