time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b
2025-11-01T00:00:28-07:00,72,72,65,65,1000.34,1000.34,1.3,1.7
2025-11-01T00:02:28-07:00,72,72,64,64,1000.33,1000.33,1.3,2.1
2025-11-01T00:04:28-07:00,72,72,65,65,1000.29,1000.29,1.9,1.9
2025-11-01T00:06:28-07:00,72,72,65,65,1000.31,1000.31,1.5,1.9
2025-11-01T00:08:28-07:00,72,72,64,64,1000.35,1000.35,2.5,2.2
2025-11-01T00:10:28-07:00,72,72,65,65,1000.34,1000.34,2.4,2.6
2025-11-01T00:12:28-07:00,72,72,65,65,1000.35,1000.35,1.9,2.2
2025-11-01T00:14:28-07:00,72,72,64,64,1000.36,1000.36,2,2.2
2025-11-01T00:16:28-07:00,72,72,65,65,1000.39,1000.39,1.9,3.2
2025-11-01T00:18:28-07:00,72,72,65,65,1000.35,1000.35,1.8,2.1
2025-11-01T00:20:28-07:00,72,72,64,64,1000.27,1000.27,1.7,2.4
2025-11-01T00:22:28-07:00,72,72,64,64,1000.13,1000.13,1.9,2.2
2025-11-01T00:24:28-07:00,73,73,65,65,1000.1,1000.1,1.7,1.6
2025-11-01T00:26:28-07:00,72,72,64,64,1000.08,1000.08,1.5,2.3
2025-11-01T00:28:28-07:00,72,72,65,65,1000.05,1000.05,1.4,2.2
2025-11-01T00:30:28-07:00,72,72,65,65,1000.04,1000.04,2.1,2.4
2025-11-01T00:32:28-07:00,72,72,65,65,1000.01,1000.01,1.9,2.3
2025-11-01T00:34:28-07:00,72,72,64,64,1000.01,1000.01,2.3,2.5
2025-11-01T00:36:28-07:00,73,73,65,65,1000.06,1000.06,2.5,2.6
2025-11-01T00:38:28-07:00,72,72,64,64,999.95,999.95,2.3,2
2025-11-01T00:40:28-07:00,72,72,64,64,999.94,999.94,2,2.7
2025-11-01T00:42:28-07:00,73,73,64,64,999.91,999.91,2.1,2.8
2025-11-01T00:44:28-07:00,72,72,64,64,999.92,999.92,2.4,1.9
2025-11-01T00:46:28-07:00,72,72,65,65,999.82,999.82,1.9,2.5
2025-11-01T00:48:28-07:00,72,72,64,64,999.74,999.74,2.1,2
2025-11-01T00:50:28-07:00,73,73,65,65,999.75,999.75,2.2,2.4
2025-11-01T00:52:28-07:00,72,72,64,64,999.76,999.76,2.4,2.2
2025-11-01T00:54:28-07:00,72,72,64,64,999.72,999.72,2,2.5
2025-11-01T00:56:28-07:00,72,72,64,64,999.69,999.69,2.3,2.9
2025-11-01T00:58:28-07:00,72,72,65,65,999.61,999.61,2,2.2
2025-11-01T01:00:28-07:00,72,72,64,64,999.51,999.51,2.3,2.6
2025-11-01T01:02:27-07:00,73,73,65,65,999.45,999.45,2.7,2.2
2025-11-01T01:04:28-07:00,72,72,65,65,999.42,999.42,2.3,2.4
