ROUTE_ID,ROUTE_NAME,ROUTE_NUMB,TIME_BLOCK,DATE,START_TIME,END_TIME,ROUTE_LENGTH_MIN,MAX_TEMP_RIDE,MIN_TEMP_RIDE,TEMP_RANGE_RIDE,AIRPORT_TIME,AIRPORT_TEMP,AIRPORT_HUMIDITY,AIRPORT_WIND_KH,AIRPORT_SUN,AIRPORT_TEMP_4HR,AIRPORT_MAXTEMP
Arboretum_16,Arboretum,16,Day,6/24/2016,16:46:30,17:17:40,31.16666667,29.37,25.47,3.9,16:53,27.8,49,14.8,Scattered clouds,27.1,28
Arboretum_41,Arboretum,41,Day,7/22/2016,16:03:11,16:29:11,26,32.83,27.37,5.46,16:24,31.1,70,5.6,Mostly Cloudy,30.425,32
Arboretum_63,Arboretum,63,Day,8/4/2016,15:41:43,16:07:21,25.63333333,31.32,27.23,4.09,15:53,30.6,59,14.8,Mostly Cloudy,30.3,31
Arboretum_8,Arboretum,8,Day,6/17/2016,13:23:51,13:47:56,24.08333333,28.41,25.33,3.08,13:53,27.2,44,7.4,Scattered clouds,26.25,29
Campus_1,Campus,1,Day,5/30/2016,13:39:56,14:08:42,28.76666667,27.06,24.85,2.21,13:53,26.1,39,7.4,Scattered clouds,25.4,28
Campus_32,Campus,32,Day,7/18/2016,16:30:44,16:59:36,28.86666667,30.34,26.15,4.19,16:53,29.4,46,7.4,Mostly Cloudy,28.725,30
Campus_34,Campus,34,Day,7/19/2016,15:59:25,16:24:36,25.18333333,31.34,26.68,4.66,15:53,28.9,51,7.4,Mostly Cloudy,29.025,31
Campus_54,Campus,54,Day,7/25/2016,16:08:49,16:37:58,29.15,30.71,25.05,5.66,15:53,29.4,49,13,Mostly Cloudy,28.75,29
Campus_60,Campus,60,Day,8/2/2016,16:19:31,16:47:40,28.15,29.68,25.87,3.81,16:53,28.3,65,13,Mostly Cloudy,27.625,29
Campus_64,Campus,64,Day,8/4/2016,15:39:59,16:24:14,44.25,31.89,28.79,3.1,15:53,30.6,59,14.8,Mostly Cloudy,30.3,31
Campus_73,Campus,73,Day,8/18/2016,15:33:40,16:02:47,29.11666667,31.85,27.4,4.45,15:53,29.4,59,20.4,Scattered clouds,28.85,30
Campus_77,Campus,77,Day,8/25/2016,14:55:48,15:24:42,28.9,27.85,23.14,4.71,14:53,25.6,50,11.1,Mostly Cloudy,25.725,27
Campus_78,Campus,78,Night,8/25/2016,22:13:57,22:50:29,36.53333333,22.03,19.06,2.97,22:53,20,81,Calm,Clear,21.125,27
Commute_14,Commute,14,Night,6/19/2016,23:07:39,23:32:06,24.45,26.68,24.53,2.15,22:53,26.7,54,11.1,Partly cloudy,27.525,31
Commute_18,Commute,18,Night,6/24/2016,22:12:45,22:37:16,24.51666667,25.32,23.42,1.9,22:53,22.8,71,11.1,Clear,24.75,28
Commute_25,Commute,25,Day,7/4/2016,18:49:04,19:13:25,24.35,24.07,23.02,1.05,18:53,23.3,71,9.3,Overcast,23.325,24
Commute_3,Commute,3,Day,6/11/2016,13:52:47,14:21:45,28.96666667,31.11,29.06,2.05,13:53,29.4,59,9.3,Mostly Cloudy,27.35,31
Commute_30,Commute,30,Day,7/15/2016,14:58:22,15:19:20,20.96666667,20.88,19.58,1.3,14:53,20,63,13,Mostly Cloudy,19.425,22
Commute_33,Commute,33,Day,7/18/2016,17:59:09,18:25:00,25.85,30.35,27.95,2.4,17:53,29.4,43,5.6,Scattered clouds,28.85,30
Commute_36,Commute,36,Day,7/20/2016,17:28:29,17:54:12,25.71666667,29.47,27.35,2.12,17:53,28.9,61,18.5,Scattered clouds,28.325,29
Commute_43,Commute,43,Night,7/22/2016,22:58:09,23:26:08,27.98333333,28.87,27.66,1.21,22:53,26.7,90,Calm,Partly cloudy,27.65,32
Commute_44,Commute,44,Day,7/22/2016,17:35:17,17:59:19,24.03333333,32.47,28.78,3.69,17:53,31.7,65,Calm,Scattered clouds,31.15,32
Commute_55,Commute,55,Day,7/25/2016,17:42:24,18:07:54,25.5,29.41,27.02,2.39,17:53,28.9,49,13,Scattered clouds,29.15,29
Commute_6,Commute,6,Day,6/15/2016,18:24:09,18:48:21,24.2,32.22,29.99,2.23,18:53,30,49,13,Scattered clouds,30,31
Commute_65,Commute,65,Day,8/4/2016,16:50:38,17:19:31,28.88333333,31.3,28.27,3.03,16:53,30.6,59,22.2,Mostly Cloudy,30.6,31
Commute_79,Commute,79,Night,8/25/2016,21:47:34,22:13:01,25.45,23.01,20.83,2.18,21:53,20.6,78,5.6,Partly cloudy,21.95,27
Commute_83,Commute,83,Day,8/30/2016,13:34:37,13:57:35,22.96666667,29.31,26.75,2.56,13:53,28.3,60,11.1,Mostly Cloudy,26.25,29
