"Plot Title: 21162231"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21162231, SEN S/N: 21162231)","Coupler Attached (LGR S/N: 21162231)","Host Connected (LGR S/N: 21162231)","End Of File (LGR S/N: 21162231)"
1,09/24/21 01:00:00 PM,25.610,,,
2,09/24/21 02:00:00 PM,27.075,,,
3,09/24/21 03:00:00 PM,27.370,,,
4,09/24/21 04:00:00 PM,25.319,,,
5,09/24/21 05:00:00 PM,23.388,,,
6,09/24/21 06:00:00 PM,22.238,,,
7,09/24/21 07:00:00 PM,20.519,,,
8,09/24/21 08:00:00 PM,18.901,,,
9,09/24/21 09:00:00 PM,18.711,,,
10,09/24/21 10:00:00 PM,17.855,,,
11,09/24/21 11:00:00 PM,16.808,,,
12,09/25/21 12:00:00 AM,15.091,,,
13,09/25/21 01:00:00 AM,14.325,,,
14,09/25/21 02:00:00 AM,13.076,,,
15,09/25/21 03:00:00 AM,12.401,,,
16,09/25/21 04:00:00 AM,11.819,,,
17,09/25/21 05:00:00 AM,11.139,,,
18,09/25/21 06:00:00 AM,10.944,,,
19,09/25/21 07:00:00 AM,10.553,,,
20,09/25/21 08:00:00 AM,12.013,,,
21,09/25/21 09:00:00 AM,14.230,,,
22,09/25/21 10:00:00 AM,17.189,,,
23,09/25/21 11:00:00 AM,28.655,,,
24,09/25/21 12:00:00 PM,30.154,,,
25,09/25/21 01:00:00 PM,32.291,,,
26,09/25/21 02:00:00 PM,34.374,,,
27,09/25/21 03:00:00 PM,32.188,,,
28,09/25/21 04:00:00 PM,28.754,,,
29,09/25/21 05:00:00 PM,26.195,,,
30,09/25/21 06:00:00 PM,23.581,,,
31,09/25/21 07:00:00 PM,19.472,,,
32,09/25/21 08:00:00 PM,17.665,,,
33,09/25/21 09:00:00 PM,16.713,,,
34,09/25/21 10:00:00 PM,15.760,,,
35,09/25/21 11:00:00 PM,13.558,,,
36,09/26/21 12:00:00 AM,13.173,,,
37,09/26/21 01:00:00 AM,12.980,,,
38,09/26/21 02:00:00 AM,12.594,,,
39,09/26/21 03:00:00 AM,12.980,,,
40,09/26/21 04:00:00 AM,12.207,,,
41,09/26/21 05:00:00 AM,12.401,,,
42,09/26/21 06:00:00 AM,13.461,,,
43,09/26/21 07:00:00 AM,13.654,,,
44,09/26/21 08:00:00 AM,14.421,,,
45,09/26/21 09:00:00 AM,15.378,,,
46,09/26/21 10:00:00 AM,17.570,,,
47,09/26/21 11:00:00 AM,18.331,,,
48,09/26/21 12:00:00 PM,23.484,,,
49,09/26/21 01:00:00 PM,19.948,,,
50,09/26/21 02:00:00 PM,19.853,,,
51,09/26/21 03:00:00 PM,17.665,,,
52,09/26/21 04:00:00 PM,15.855,,,
53,09/26/21 05:00:00 PM,15.091,,,
54,09/26/21 06:00:00 PM,14.421,,,
55,09/26/21 07:00:00 PM,13.654,,,
56,09/26/21 08:00:00 PM,13.846,,,
57,09/26/21 09:00:00 PM,14.325,,,
58,09/26/21 10:00:00 PM,14.900,,,
59,09/26/21 11:00:00 PM,15.951,,,
60,09/27/21 12:00:00 AM,15.855,,,
61,09/27/21 01:00:00 AM,15.569,,,
62,09/27/21 02:00:00 AM,15.282,,,
63,09/27/21 03:00:00 AM,14.038,,,
64,09/27/21 04:00:00 AM,13.558,,,
65,09/27/21 05:00:00 AM,13.173,,,
66,09/27/21 06:00:00 AM,12.013,,,
67,09/27/21 07:00:00 AM,11.916,,,
68,09/27/21 08:00:00 AM,13.173,,,
69,09/27/21 09:00:00 AM,14.325,,,
70,09/27/21 10:00:00 AM,12.690,,,
71,09/27/21 11:00:00 AM,13.846,,,
72,09/27/21 12:00:00 PM,12.980,,,
73,09/27/21 01:00:00 PM,14.038,,,
74,09/27/21 02:00:00 PM,15.569,,,
75,09/27/21 03:00:00 PM,15.760,,,
76,09/27/21 04:00:00 PM,16.046,,,
77,09/27/21 05:00:00 PM,16.427,,,
78,09/27/21 06:00:00 PM,15.569,,,
79,09/27/21 07:00:00 PM,11.528,,,
80,09/27/21 08:00:00 PM,11.722,,,
81,09/27/21 09:00:00 PM,11.334,,,
82,09/27/21 10:00:00 PM,10.748,,,
83,09/27/21 11:00:00 PM,11.625,,,
84,09/28/21 12:00:00 AM,11.334,,,
85,09/28/21 01:00:00 AM,11.041,,,
86,09/28/21 02:00:00 AM,11.041,,,
87,09/28/21 03:00:00 AM,10.357,,,
88,09/28/21 04:00:00 AM,10.063,,,
89,09/28/21 05:00:00 AM,9.965,,,
90,09/28/21 06:00:00 AM,10.259,,,
91,09/28/21 07:00:00 AM,10.944,,,
92,09/28/21 08:00:00 AM,11.819,,,
93,09/28/21 09:00:00 AM,13.076,,,
94,09/28/21 10:00:00 AM,14.900,,,
95,09/28/21 11:00:00 AM,18.236,,,
96,09/28/21 12:00:00 PM,19.187,,,
97,09/28/21 01:00:00 PM,15.187,,,
98,09/28/21 02:00:00 PM,17.855,,,
99,09/28/21 03:00:00 PM,19.092,,,
100,09/28/21 04:00:00 PM,15.855,,,
101,09/28/21 05:00:00 PM,17.189,,,
102,09/28/21 06:00:00 PM,14.325,,,
103,09/28/21 07:00:00 PM,13.269,,,
104,09/28/21 08:00:00 PM,12.690,,,
