"Plot Title: 9784558"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9784558, SEN S/N: 9784558)","Bad Battery (LGR S/N: 9784558)","Coupler Attached (LGR S/N: 9784558)","Host Connected (LGR S/N: 9784558)","Stopped (LGR S/N: 9784558)","End Of File (LGR S/N: 9784558)"
1,01/20/22 02:00:00 PM,14.421,,,,,
2,01/20/22 03:00:00 PM,10.944,,,,,
3,01/20/22 04:00:00 PM,8.481,,,,,
4,01/20/22 05:00:00 PM,7.381,,,,,
5,01/20/22 06:00:00 PM,6.775,,,,,
6,01/20/22 07:00:00 PM,6.775,,,,,
7,01/20/22 08:00:00 PM,6.573,,,,,
8,01/20/22 09:00:00 PM,6.166,,,,,
9,01/20/22 10:00:00 PM,6.268,,,,,
10,01/20/22 11:00:00 PM,6.268,,,,,
11,01/21/22 12:00:00 AM,5.860,,,,,
12,01/21/22 01:00:00 AM,4.207,,,,,
13,01/21/22 02:00:00 AM,3.472,,,,,
14,01/21/22 03:00:00 AM,3.788,,,,,
15,01/21/22 04:00:00 AM,4.311,,,,,
16,01/21/22 05:00:00 AM,2.730,,,,,
17,01/21/22 06:00:00 AM,3.367,,,,,
18,01/21/22 07:00:00 AM,2.624,,,,,
19,01/21/22 08:00:00 AM,3.049,,,,,
20,01/21/22 09:00:00 AM,4.207,,,,,
21,01/21/22 10:00:00 AM,5.757,,,,,
22,01/21/22 11:00:00 AM,6.877,,,,,
23,01/21/22 12:00:00 PM,7.983,,,,,
24,01/21/22 01:00:00 PM,7.481,,,,,
25,01/21/22 02:00:00 PM,7.782,,,,,
26,01/21/22 03:00:00 PM,9.275,,,,,
27,01/21/22 04:00:00 PM,7.983,,,,,
28,01/21/22 05:00:00 PM,6.064,,,,,
29,01/21/22 06:00:00 PM,5.757,,,,,
30,01/21/22 07:00:00 PM,4.207,,,,,
31,01/21/22 08:00:00 PM,3.788,,,,,
32,01/21/22 09:00:00 PM,2.943,,,,,
33,01/21/22 10:00:00 PM,3.049,,,,,
34,01/21/22 11:00:00 PM,2.195,,,,,
35,01/22/22 12:00:00 AM,1.872,,,,,
36,01/22/22 01:00:00 AM,1.656,,,,,
37,01/22/22 02:00:00 AM,0.563,,,,,
38,01/22/22 03:00:00 AM,1.439,,,,,
39,01/22/22 04:00:00 AM,1.548,,,,,
40,01/22/22 05:00:00 AM,1.980,,,,,
41,01/22/22 06:00:00 AM,3.261,,,,,
42,01/22/22 07:00:00 AM,2.943,,,,,
43,01/22/22 08:00:00 AM,2.730,,,,,
44,01/22/22 09:00:00 AM,3.049,,,,,
45,01/22/22 10:00:00 AM,3.788,,,,,
46,01/22/22 11:00:00 AM,4.311,,,,,
47,01/22/22 12:00:00 PM,4.623,,,,,
48,01/22/22 01:00:00 PM,5.655,,,,,
49,01/22/22 02:00:00 PM,7.079,,,,,
50,01/22/22 03:00:00 PM,8.978,,,,,
51,01/22/22 04:00:00 PM,5.962,,,,,
52,01/22/22 05:00:00 PM,3.472,,,,,
53,01/22/22 06:00:00 PM,2.730,,,,,
54,01/22/22 07:00:00 PM,2.624,,,,,
55,01/22/22 08:00:00 PM,2.517,,,,,
56,01/22/22 09:00:00 PM,2.517,,,,,
57,01/22/22 10:00:00 PM,2.730,,,,,
58,01/22/22 11:00:00 PM,2.837,,,,,
59,01/23/22 12:00:00 AM,2.943,,,,,
60,01/23/22 01:00:00 AM,2.837,,,,,
61,01/23/22 02:00:00 AM,2.943,,,,,
62,01/23/22 03:00:00 AM,3.155,,,,,
63,01/23/22 04:00:00 AM,2.837,,,,,
64,01/23/22 05:00:00 AM,2.837,,,,,
65,01/23/22 06:00:00 AM,2.943,,,,,
66,01/23/22 07:00:00 AM,2.730,,,,,
67,01/23/22 08:00:00 AM,2.410,,,,,
68,01/23/22 09:00:00 AM,2.517,,,,,
69,01/23/22 10:00:00 AM,2.837,,,,,
70,01/23/22 11:00:00 AM,3.261,,,,,
71,01/23/22 12:00:00 PM,3.683,,,,,
72,01/23/22 01:00:00 PM,4.102,,,,,
73,01/23/22 02:00:00 PM,3.893,,,,,
74,01/23/22 03:00:00 PM,4.102,,,,,
75,01/23/22 04:00:00 PM,3.683,,,,,
76,01/23/22 05:00:00 PM,3.472,,,,,
77,01/23/22 06:00:00 PM,3.261,,,,,
78,01/23/22 07:00:00 PM,3.261,,,,,
79,01/23/22 08:00:00 PM,3.155,,,,,
80,01/23/22 09:00:00 PM,3.155,,,,,
81,01/23/22 10:00:00 PM,2.943,,,,,
82,01/23/22 11:00:00 PM,2.624,,,,,
83,01/24/22 12:00:00 AM,2.303,,,,,
84,01/24/22 01:00:00 AM,2.088,,,,,
85,01/24/22 02:00:00 AM,2.195,,,,,
86,01/24/22 03:00:00 AM,2.088,,,,,
87,01/24/22 04:00:00 AM,1.872,,,,,
88,01/24/22 05:00:00 AM,1.872,,,,,
89,01/24/22 06:00:00 AM,1.439,,,,,
90,01/24/22 07:00:00 AM,1.439,,,,,
91,01/24/22 08:00:00 AM,1.112,,,,,
