"Plot Title: 21162466"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21162466, SEN S/N: 21162466)","Host Connected (LGR S/N: 21162466)","Coupler Attached (LGR S/N: 21162466)","Stopped (LGR S/N: 21162466)","End Of File (LGR S/N: 21162466)"
1,06/30/22 11:00:00 AM,19.758,,,,
2,06/30/22 12:00:00 PM,22.717,,,,
3,06/30/22 01:00:00 PM,23.966,,,,
4,06/30/22 02:00:00 PM,23.773,,,,
5,06/30/22 03:00:00 PM,25.319,,,,
6,06/30/22 04:00:00 PM,26.390,,,,
7,06/30/22 05:00:00 PM,26.390,,,,
8,06/30/22 06:00:00 PM,26.488,,,,
9,06/30/22 07:00:00 PM,25.513,,,,
10,06/30/22 08:00:00 PM,24.062,,,,
11,06/30/22 09:00:00 PM,19.948,,,,
12,06/30/22 10:00:00 PM,18.140,,,,
13,06/30/22 11:00:00 PM,15.569,,,,
14,07/01/22 12:00:00 AM,14.613,,,,
15,07/01/22 01:00:00 AM,12.787,,,,
16,07/01/22 02:00:00 AM,12.401,,,,
17,07/01/22 03:00:00 AM,11.819,,,,
18,07/01/22 04:00:00 AM,11.334,,,,
19,07/01/22 05:00:00 AM,12.110,,,,
20,07/01/22 06:00:00 AM,11.528,,,,
21,07/01/22 07:00:00 AM,13.846,,,,
22,07/01/22 08:00:00 AM,13.846,,,,
23,07/01/22 09:00:00 AM,14.421,,,,
24,07/01/22 10:00:00 AM,15.473,,,,
25,07/01/22 11:00:00 AM,17.189,,,,
26,07/01/22 12:00:00 PM,20.519,,,,
27,07/01/22 01:00:00 PM,23.388,,,,
28,07/01/22 02:00:00 PM,23.869,,,,
29,07/01/22 03:00:00 PM,26.097,,,,
30,07/01/22 04:00:00 PM,27.468,,,,
31,07/01/22 05:00:00 PM,27.173,,,,
32,07/01/22 06:00:00 PM,26.292,,,,
33,07/01/22 07:00:00 PM,24.448,,,,
34,07/01/22 08:00:00 PM,21.473,,,,
35,07/01/22 09:00:00 PM,18.996,,,,
36,07/01/22 10:00:00 PM,17.570,,,,
37,07/01/22 11:00:00 PM,16.713,,,,
38,07/02/22 12:00:00 AM,15.760,,,,
39,07/02/22 01:00:00 AM,14.421,,,,
40,07/02/22 02:00:00 AM,13.846,,,,
41,07/02/22 03:00:00 AM,14.230,,,,
42,07/02/22 04:00:00 AM,14.134,,,,
43,07/02/22 05:00:00 AM,13.846,,,,
44,07/02/22 06:00:00 AM,13.846,,,,
45,07/02/22 07:00:00 AM,13.846,,,,
46,07/02/22 08:00:00 AM,14.517,,,,
47,07/02/22 09:00:00 AM,14.517,,,,
48,07/02/22 10:00:00 AM,14.613,,,,
49,07/02/22 11:00:00 AM,16.141,,,,
50,07/02/22 12:00:00 PM,16.618,,,,
51,07/02/22 01:00:00 PM,18.331,,,,
52,07/02/22 02:00:00 PM,18.901,,,,
53,07/02/22 03:00:00 PM,18.996,,,,
54,07/02/22 04:00:00 PM,18.711,,,,
55,07/02/22 05:00:00 PM,18.996,,,,
56,07/02/22 06:00:00 PM,19.758,,,,
57,07/02/22 07:00:00 PM,19.282,,,,
58,07/02/22 08:00:00 PM,18.426,,,,
59,07/02/22 09:00:00 PM,17.950,,,,
60,07/02/22 10:00:00 PM,16.332,,,,
61,07/02/22 11:00:00 PM,15.187,,,,
62,07/03/22 12:00:00 AM,14.230,,,,
63,07/03/22 01:00:00 AM,12.883,,,,
64,07/03/22 02:00:00 AM,13.461,,,,
65,07/03/22 03:00:00 AM,13.750,,,,
66,07/03/22 04:00:00 AM,13.846,,,,
67,07/03/22 05:00:00 AM,13.750,,,,
68,07/03/22 06:00:00 AM,13.654,,,,
69,07/03/22 07:00:00 AM,13.461,,,,
70,07/03/22 08:00:00 AM,13.558,,,,
71,07/03/22 09:00:00 AM,14.325,,,,
72,07/03/22 10:00:00 AM,14.230,,,,
73,07/03/22 11:00:00 AM,14.038,,,,
74,07/03/22 12:00:00 PM,14.038,,,,
75,07/03/22 01:00:00 PM,14.613,,,,
76,07/03/22 02:00:00 PM,14.804,,,,
77,07/03/22 03:00:00 PM,15.664,,,,
78,07/03/22 04:00:00 PM,16.046,,,,
79,07/03/22 05:00:00 PM,15.951,,,,
80,07/03/22 06:00:00 PM,15.951,,,,
81,07/03/22 07:00:00 PM,16.046,,,,
82,07/03/22 08:00:00 PM,17.189,,,,
83,07/03/22 09:00:00 PM,14.325,,,,
84,07/03/22 10:00:00 PM,11.819,,,,
85,07/03/22 11:00:00 PM,10.944,,,,
86,07/04/22 12:00:00 AM,9.965,,,,
87,07/04/22 01:00:00 AM,9.571,,,,
88,07/04/22 02:00:00 AM,10.357,,,,
89,07/04/22 03:00:00 AM,10.259,,,,
90,07/04/22 04:00:00 AM,11.334,,,,
91,07/04/22 05:00:00 AM,11.139,,,,
92,07/04/22 06:00:00 AM,11.916,,,,
93,07/04/22 07:00:00 AM,12.690,,,,
94,07/04/22 08:00:00 AM,14.421,,,,
95,07/04/22 09:00:00 AM,16.237,,,,
96,07/04/22 10:00:00 AM,17.094,,,,
97,07/04/22 11:00:00 AM,18.045,,,,
98,07/04/22 12:00:00 PM,20.519,,,,
99,07/04/22 01:00:00 PM,22.238,,,,
100,07/04/22 02:00:00 PM,21.951,,,,
101,07/04/22 03:00:00 PM,22.717,,,,
102,07/04/22 04:00:00 PM,24.255,,,,
103,07/04/22 05:00:00 PM,24.448,,,,
104,07/04/22 06:00:00 PM,24.448,,,,
105,07/04/22 07:00:00 PM,22.333,,,,
106,07/04/22 08:00:00 PM,20.996,,,,
107,07/04/22 09:00:00 PM,16.332,,,,
108,07/04/22 10:00:00 PM,15.569,,,,
109,07/04/22 11:00:00 PM,15.091,,,,
110,07/05/22 12:00:00 AM,14.709,,,,
111,07/05/22 01:00:00 AM,13.173,,,,
112,07/05/22 02:00:00 AM,11.139,,,,
113,07/05/22 03:00:00 AM,10.553,,,,
114,07/05/22 04:00:00 AM,9.866,,,,
115,07/05/22 05:00:00 AM,9.472,,,,
116,07/05/22 06:00:00 AM,9.571,,,,
117,07/05/22 07:00:00 AM,10.846,,,,
118,07/05/22 08:00:00 AM,16.046,,,,
119,07/05/22 09:00:00 AM,17.189,,,,
120,07/05/22 10:00:00 AM,18.806,,,,
121,07/05/22 11:00:00 AM,20.043,,,,
122,07/05/22 12:00:00 PM,26.292,,,,
123,07/05/22 01:00:00 PM,24.351,,,,
124,07/05/22 02:00:00 PM,25.610,,,,
125,07/05/22 03:00:00 PM,23.196,,,,
126,07/05/22 04:00:00 PM,21.378,,,,
127,07/05/22 05:00:00 PM,22.812,,,,
128,07/05/22 06:00:00 PM,22.238,,,,
129,07/05/22 07:00:00 PM,18.901,,,,
130,07/05/22 08:00:00 PM,19.377,,,,
131,07/05/22 09:00:00 PM,18.045,,,,
132,07/05/22 10:00:00 PM,16.903,,,,
133,07/05/22 11:00:00 PM,16.523,,,,
134,07/06/22 12:00:00 AM,16.141,,,,
135,07/06/22 01:00:00 AM,15.664,,,,
136,07/06/22 02:00:00 AM,15.473,,,,
137,07/06/22 03:00:00 AM,15.473,,,,
138,07/06/22 04:00:00 AM,15.569,,,,
139,07/06/22 05:00:00 AM,15.569,,,,
140,07/06/22 06:00:00 AM,15.951,,,,
141,07/06/22 07:00:00 AM,16.618,,,,
142,07/06/22 08:00:00 AM,16.999,,,,
143,07/06/22 09:00:00 AM,16.237,,,,
144,07/06/22 10:00:00 AM,16.332,,,,
145,07/06/22 11:00:00 AM,16.713,,,,
146,07/06/22 12:00:00 PM,17.189,,,,
147,07/06/22 01:00:00 PM,18.521,,,,
148,07/06/22 02:00:00 PM,20.901,,,,
149,07/06/22 03:00:00 PM,23.196,,,,
150,07/06/22 04:00:00 PM,24.351,,,,
151,07/06/22 05:00:00 PM,23.484,,,,
152,07/06/22 06:00:00 PM,22.621,,,,
153,07/06/22 07:00:00 PM,21.187,,,,
154,07/06/22 08:00:00 PM,19.853,,,,
155,07/06/22 09:00:00 PM,17.950,,,,
156,07/06/22 10:00:00 PM,17.665,,,,
157,07/06/22 11:00:00 PM,17.379,,,,
158,07/07/22 12:00:00 AM,17.189,,,,
159,07/07/22 01:00:00 AM,16.332,,,,
160,07/07/22 02:00:00 AM,15.760,,,,
161,07/07/22 03:00:00 AM,16.523,,,,
162,07/07/22 04:00:00 AM,15.473,,,,
163,07/07/22 05:00:00 AM,14.134,,,,
164,07/07/22 06:00:00 AM,13.750,,,,
165,07/07/22 07:00:00 AM,14.996,,,,
166,07/07/22 08:00:00 AM,17.665,,,,
167,07/07/22 09:00:00 AM,18.806,,,,
168,07/07/22 10:00:00 AM,20.138,,,,
169,07/07/22 11:00:00 AM,22.238,,,,
170,07/07/22 12:00:00 PM,26.781,,,,
171,07/07/22 01:00:00 PM,22.621,,,,
172,07/07/22 02:00:00 PM,26.097,,,,
173,07/07/22 03:00:00 PM,25.708,,,,
174,07/07/22 04:00:00 PM,26.488,,,,
175,07/07/22 05:00:00 PM,26.488,,,,
176,07/07/22 06:00:00 PM,26.390,,,,
177,07/07/22 07:00:00 PM,25.513,,,,
178,07/07/22 08:00:00 PM,23.966,,,,
179,07/07/22 09:00:00 PM,20.710,,,,
180,07/07/22 10:00:00 PM,19.187,,,,
181,07/07/22 11:00:00 PM,18.140,,,,
182,07/08/22 12:00:00 AM,17.284,,,,
183,07/08/22 01:00:00 AM,16.903,,,,
184,07/08/22 02:00:00 AM,15.855,,,,
185,07/08/22 03:00:00 AM,15.282,,,,
186,07/08/22 04:00:00 AM,15.473,,,,
187,07/08/22 05:00:00 AM,15.855,,,,
188,07/08/22 06:00:00 AM,16.237,,,,
189,07/08/22 07:00:00 AM,16.903,,,,
190,07/08/22 08:00:00 AM,18.045,,,,
191,07/08/22 09:00:00 AM,18.521,,,,
192,07/08/22 10:00:00 AM,18.521,,,,
193,07/08/22 11:00:00 AM,20.234,,,,
194,07/08/22 12:00:00 PM,25.902,,,,
195,07/08/22 01:00:00 PM,27.173,,,,
196,07/08/22 02:00:00 PM,24.835,,,,
197,07/08/22 03:00:00 PM,25.222,,,,
198,07/08/22 04:00:00 PM,27.468,,,,
199,07/08/22 05:00:00 PM,28.159,,,,
200,07/08/22 06:00:00 PM,27.468,,,,
201,07/08/22 07:00:00 PM,26.585,,,,
202,07/08/22 08:00:00 PM,25.513,,,,
203,07/08/22 09:00:00 PM,21.378,,,,
204,07/08/22 10:00:00 PM,17.475,,,,
