"Plot Title: 9768697"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9768697, SEN S/N: 9768697)","Intensity, Lux (LGR S/N: 9768697, SEN S/N: 9768697)","Bad Battery (LGR S/N: 9768697)","Good Battery (LGR S/N: 9768697)","Coupler Attached (LGR S/N: 9768697)","Host Connected (LGR S/N: 9768697)","Stopped (LGR S/N: 9768697)","End Of File (LGR S/N: 9768697)"
1,03/29/22 05:00:00 PM,14.134,2152.8,,,,,,
2,03/29/22 06:00:00 PM,12.110,355.2,,,,,,
3,03/29/22 07:00:00 PM,11.625,753.5,,,,,,
4,03/29/22 08:00:00 PM,10.259,0.0,,,,,,
5,03/29/22 09:00:00 PM,9.472,0.0,,,,,,
6,03/29/22 10:00:00 PM,8.779,0.0,,,,,,
7,03/29/22 11:00:00 PM,8.282,0.0,,,,,,
8,03/30/22 12:00:00 AM,8.581,0.0,,,,,,
9,03/30/22 01:00:00 AM,8.481,0.0,,,,,,
10,03/30/22 02:00:00 AM,7.882,0.0,,,,,,
11,03/30/22 03:00:00 AM,7.782,0.0,,,,,,
12,03/30/22 04:00:00 AM,7.882,0.0,,,,,,
13,03/30/22 05:00:00 AM,7.983,0.0,,,,,,
14,03/30/22 06:00:00 AM,7.381,0.0,,,,,,
15,03/30/22 07:00:00 AM,7.381,43.1,,,,,,
16,03/30/22 08:00:00 AM,7.882,904.2,,,,,,
17,03/30/22 09:00:00 AM,9.176,1463.9,,,,,,
18,03/30/22 10:00:00 AM,9.571,1722.2,,,,,,
19,03/30/22 11:00:00 AM,11.041,2152.8,,,,,,
20,03/30/22 12:00:00 PM,12.013,2066.7,,,,,,
21,03/30/22 01:00:00 PM,12.883,2927.8,,,,,,
22,03/30/22 02:00:00 PM,15.569,3272.2,,,,,,
23,03/30/22 03:00:00 PM,13.365,2411.1,,,,,,
24,03/30/22 04:00:00 PM,15.664,6200.0,,,,,,
25,03/30/22 05:00:00 PM,12.304,1808.3,,,,,,
26,03/30/22 06:00:00 PM,16.046,6200.0,,,,,,
27,03/30/22 07:00:00 PM,13.846,1550.0,,,,,,
28,03/30/22 08:00:00 PM,8.382,0.0,,,,,,
29,03/30/22 09:00:00 PM,7.481,0.0,,,,,,
30,03/30/22 10:00:00 PM,6.978,0.0,,,,,,
31,03/30/22 11:00:00 PM,6.573,0.0,,,,,,
32,03/31/22 12:00:00 AM,5.757,0.0,,,,,,
33,03/31/22 01:00:00 AM,5.244,0.0,,,,,,
34,03/31/22 02:00:00 AM,5.037,0.0,,,,,,
35,03/31/22 03:00:00 AM,5.347,0.0,,,,,,
36,03/31/22 04:00:00 AM,5.141,0.0,,,,,,
37,03/31/22 05:00:00 AM,4.727,0.0,,,,,,
38,03/31/22 06:00:00 AM,4.623,0.0,,,,,,
39,03/31/22 07:00:00 AM,4.415,43.1,,,,,,
40,03/31/22 08:00:00 AM,5.141,958.0,,,,,,
41,03/31/22 09:00:00 AM,6.978,1722.2,,,,,,
42,03/31/22 10:00:00 AM,7.682,2152.8,,,,,,
43,03/31/22 11:00:00 AM,10.161,3616.7,,,,,,
44,03/31/22 12:00:00 PM,12.690,3616.7,,,,,,
45,03/31/22 01:00:00 PM,10.455,4305.6,,,,,,
46,03/31/22 02:00:00 PM,14.804,5511.1,,,,,,
47,03/31/22 03:00:00 PM,14.709,3444.5,,,,,,
48,03/31/22 04:00:00 PM,16.237,4477.8,,,,,,
49,03/31/22 05:00:00 PM,17.950,5511.1,,,,,,
50,03/31/22 06:00:00 PM,13.076,1636.1,,,,,,
51,03/31/22 07:00:00 PM,14.038,731.9,,,,,,
52,03/31/22 08:00:00 PM,10.161,0.0,,,,,,
53,03/31/22 09:00:00 PM,9.275,0.0,,,,,,
54,03/31/22 10:00:00 PM,8.082,0.0,,,,,,
55,03/31/22 11:00:00 PM,7.381,0.0,,,,,,
56,04/01/22 12:00:00 AM,7.079,0.0,,,,,,
57,04/01/22 01:00:00 AM,6.370,0.0,,,,,,
58,04/01/22 02:00:00 AM,5.757,0.0,,,,,,
59,04/01/22 03:00:00 AM,5.450,0.0,,,,,,
60,04/01/22 04:00:00 AM,5.141,0.0,,,,,,
61,04/01/22 05:00:00 AM,4.519,0.0,,,,,,
62,04/01/22 06:00:00 AM,3.998,0.0,,,,,,
63,04/01/22 07:00:00 AM,3.578,43.1,,,,,,
64,04/01/22 08:00:00 AM,5.244,1011.8,,,,,,
65,04/01/22 09:00:00 AM,7.381,2066.7,,,,,,
