"Plot Title: 9784509"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9784509, SEN S/N: 9784509)","Coupler Attached (LGR S/N: 9784509)","Host Connected (LGR S/N: 9784509)","End Of File (LGR S/N: 9784509)"
1,08/15/22 02:00:00 PM,26.683,,,
2,08/15/22 03:00:00 PM,28.655,,,
3,08/15/22 04:00:00 PM,26.683,,,
4,08/15/22 05:00:00 PM,26.683,,,
5,08/15/22 06:00:00 PM,26.390,,,
6,08/15/22 07:00:00 PM,25.222,,,
7,08/15/22 08:00:00 PM,22.908,,,
8,08/15/22 09:00:00 PM,20.519,,,
9,08/15/22 10:00:00 PM,19.187,,,
10,08/15/22 11:00:00 PM,18.426,,,
11,08/16/22 12:00:00 AM,17.665,,,
12,08/16/22 01:00:00 AM,16.808,,,
13,08/16/22 02:00:00 AM,16.141,,,
14,08/16/22 03:00:00 AM,15.760,,,
15,08/16/22 04:00:00 AM,15.282,,,
16,08/16/22 05:00:00 AM,15.187,,,
17,08/16/22 06:00:00 AM,15.951,,,
18,08/16/22 07:00:00 AM,16.141,,,
19,08/16/22 08:00:00 AM,16.427,,,
20,08/16/22 09:00:00 AM,17.094,,,
21,08/16/22 10:00:00 AM,18.521,,,
22,08/16/22 11:00:00 AM,20.043,,,
23,08/16/22 12:00:00 PM,21.378,,,
24,08/16/22 01:00:00 PM,22.908,,,
25,08/16/22 02:00:00 PM,24.641,,,
26,08/16/22 03:00:00 PM,27.567,,,
27,08/16/22 04:00:00 PM,25.222,,,
28,08/16/22 05:00:00 PM,25.319,,,
29,08/16/22 06:00:00 PM,24.931,,,
30,08/16/22 07:00:00 PM,24.351,,,
31,08/16/22 08:00:00 PM,22.333,,,
32,08/16/22 09:00:00 PM,21.473,,,
33,08/16/22 10:00:00 PM,21.091,,,
34,08/16/22 11:00:00 PM,19.187,,,
35,08/17/22 12:00:00 AM,18.616,,,
36,08/17/22 01:00:00 AM,18.140,,,
37,08/17/22 02:00:00 AM,16.999,,,
38,08/17/22 03:00:00 AM,16.427,,,
39,08/17/22 04:00:00 AM,15.951,,,
40,08/17/22 05:00:00 AM,15.187,,,
41,08/17/22 06:00:00 AM,14.613,,,
42,08/17/22 07:00:00 AM,14.613,,,
43,08/17/22 08:00:00 AM,21.091,,,
44,08/17/22 09:00:00 AM,20.805,,,
45,08/17/22 10:00:00 AM,23.388,,,
46,08/17/22 11:00:00 AM,24.062,,,
47,08/17/22 12:00:00 PM,25.319,,,
48,08/17/22 01:00:00 PM,26.683,,,
49,08/17/22 02:00:00 PM,27.665,,,
50,08/17/22 03:00:00 PM,29.853,,,
51,08/17/22 04:00:00 PM,28.456,,,
52,08/17/22 05:00:00 PM,28.456,,,
53,08/17/22 06:00:00 PM,28.357,,,
54,08/17/22 07:00:00 PM,26.781,,,
55,08/17/22 08:00:00 PM,25.610,,,
56,08/17/22 09:00:00 PM,23.677,,,
57,08/17/22 10:00:00 PM,22.333,,,
58,08/17/22 11:00:00 PM,22.525,,,
59,08/18/22 12:00:00 AM,22.046,,,
60,08/18/22 01:00:00 AM,21.473,,,
61,08/18/22 02:00:00 AM,20.901,,,
62,08/18/22 03:00:00 AM,21.282,,,
63,08/18/22 04:00:00 AM,21.091,,,
64,08/18/22 05:00:00 AM,20.710,,,
65,08/18/22 06:00:00 AM,20.424,,,
66,08/18/22 07:00:00 AM,20.138,,,
67,08/18/22 08:00:00 AM,20.519,,,
68,08/18/22 09:00:00 AM,22.525,,,
69,08/18/22 10:00:00 AM,24.255,,,
70,08/18/22 11:00:00 AM,25.805,,,
71,08/18/22 12:00:00 PM,27.665,,,
72,08/18/22 01:00:00 PM,28.456,,,
73,08/18/22 02:00:00 PM,28.357,,,
74,08/18/22 03:00:00 PM,28.258,,,
75,08/18/22 04:00:00 PM,29.252,,,
76,08/18/22 05:00:00 PM,29.752,,,
77,08/18/22 06:00:00 PM,29.752,,,
78,08/18/22 07:00:00 PM,28.754,,,
79,08/18/22 08:00:00 PM,27.173,,,
80,08/18/22 09:00:00 PM,26.195,,,
81,08/18/22 10:00:00 PM,25.513,,,
82,08/18/22 11:00:00 PM,25.513,,,
83,08/19/22 12:00:00 AM,25.222,,,
84,08/19/22 01:00:00 AM,24.158,,,
85,08/19/22 02:00:00 AM,23.292,,,
86,08/19/22 03:00:00 AM,22.621,,,
87,08/19/22 04:00:00 AM,21.091,,,
88,08/19/22 05:00:00 AM,20.138,,,
89,08/19/22 06:00:00 AM,19.377,,,
90,08/19/22 07:00:00 AM,18.426,,,
91,08/19/22 08:00:00 AM,18.236,,,
92,08/19/22 09:00:00 AM,18.426,,,
93,08/19/22 10:00:00 AM,18.806,,,
94,08/19/22 11:00:00 AM,19.567,,,
95,08/19/22 12:00:00 PM,21.378,,,
96,08/19/22 01:00:00 PM,22.621,,,
97,08/19/22 02:00:00 PM,24.835,,,
98,08/19/22 03:00:00 PM,26.781,,,
99,08/19/22 04:00:00 PM,26.000,,,
100,08/19/22 05:00:00 PM,24.931,,,
101,08/19/22 06:00:00 PM,24.545,,,
102,08/19/22 07:00:00 PM,23.773,,,
103,08/19/22 08:00:00 PM,21.664,,,
104,08/19/22 09:00:00 PM,20.710,,,
105,08/19/22 10:00:00 PM,19.948,,,
106,08/19/22 11:00:00 PM,19.187,,,
107,08/20/22 12:00:00 AM,18.616,,,
108,08/20/22 01:00:00 AM,17.950,,,
109,08/20/22 02:00:00 AM,18.045,,,
110,08/20/22 03:00:00 AM,17.950,,,
111,08/20/22 04:00:00 AM,17.855,,,
112,08/20/22 05:00:00 AM,17.665,,,
113,08/20/22 06:00:00 AM,17.284,,,
114,08/20/22 07:00:00 AM,17.284,,,
115,08/20/22 08:00:00 AM,17.570,,,
116,08/20/22 09:00:00 AM,18.140,,,
117,08/20/22 10:00:00 AM,18.996,,,
118,08/20/22 11:00:00 AM,19.377,,,
119,08/20/22 12:00:00 PM,20.996,,,
120,08/20/22 01:00:00 PM,22.238,,,
121,08/20/22 02:00:00 PM,23.196,,,
122,08/20/22 03:00:00 PM,24.351,,,
123,08/20/22 04:00:00 PM,24.545,,,
124,08/20/22 05:00:00 PM,24.931,,,
125,08/20/22 06:00:00 PM,24.351,,,
126,08/20/22 07:00:00 PM,23.581,,,
127,08/20/22 08:00:00 PM,21.473,,,
128,08/20/22 09:00:00 PM,20.138,,,
129,08/20/22 10:00:00 PM,19.758,,,
130,08/20/22 11:00:00 PM,18.236,,,
131,08/21/22 12:00:00 AM,17.284,,,
132,08/21/22 01:00:00 AM,16.808,,,
133,08/21/22 02:00:00 AM,17.094,,,
134,08/21/22 03:00:00 AM,17.475,,,
135,08/21/22 04:00:00 AM,17.665,,,
136,08/21/22 05:00:00 AM,17.284,,,
137,08/21/22 06:00:00 AM,17.475,,,
138,08/21/22 07:00:00 AM,17.475,,,
139,08/21/22 08:00:00 AM,17.855,,,
140,08/21/22 09:00:00 AM,18.236,,,
141,08/21/22 10:00:00 AM,18.711,,,
142,08/21/22 11:00:00 AM,19.282,,,
143,08/21/22 12:00:00 PM,20.901,,,
144,08/21/22 01:00:00 PM,22.429,,,
145,08/21/22 02:00:00 PM,23.677,,,
146,08/21/22 03:00:00 PM,26.292,,,
147,08/21/22 04:00:00 PM,24.931,,,
148,08/21/22 05:00:00 PM,25.222,,,
149,08/21/22 06:00:00 PM,24.931,,,
150,08/21/22 07:00:00 PM,23.388,,,
151,08/21/22 08:00:00 PM,21.855,,,
152,08/21/22 09:00:00 PM,20.710,,,
153,08/21/22 10:00:00 PM,20.138,,,
154,08/21/22 11:00:00 PM,19.472,,,
155,08/22/22 12:00:00 AM,18.806,,,
156,08/22/22 01:00:00 AM,18.331,,,
157,08/22/22 02:00:00 AM,18.045,,,
158,08/22/22 03:00:00 AM,17.950,,,
159,08/22/22 04:00:00 AM,17.284,,,
160,08/22/22 05:00:00 AM,16.903,,,
161,08/22/22 06:00:00 AM,16.046,,,
162,08/22/22 07:00:00 AM,15.760,,,
163,08/22/22 08:00:00 AM,17.189,,,
164,08/22/22 09:00:00 AM,19.567,,,
165,08/22/22 10:00:00 AM,21.664,,,
166,08/22/22 11:00:00 AM,21.855,,,
167,08/22/22 12:00:00 PM,23.292,,,
168,08/22/22 01:00:00 PM,24.835,,,
169,08/22/22 02:00:00 PM,26.683,,,
170,08/22/22 03:00:00 PM,28.754,,,
171,08/22/22 04:00:00 PM,26.879,,,
172,08/22/22 05:00:00 PM,27.173,,,
173,08/22/22 06:00:00 PM,26.879,,,
174,08/22/22 07:00:00 PM,25.319,,,
175,08/22/22 08:00:00 PM,23.196,,,
176,08/22/22 09:00:00 PM,21.187,,,
177,08/22/22 10:00:00 PM,20.329,,,
178,08/22/22 11:00:00 PM,18.996,,,
179,08/23/22 12:00:00 AM,17.950,,,
180,08/23/22 01:00:00 AM,17.189,,,
181,08/23/22 02:00:00 AM,16.427,,,
182,08/23/22 03:00:00 AM,15.855,,,
183,08/23/22 04:00:00 AM,15.187,,,
184,08/23/22 05:00:00 AM,14.804,,,
185,08/23/22 06:00:00 AM,15.378,,,
186,08/23/22 07:00:00 AM,15.664,,,
187,08/23/22 08:00:00 AM,15.664,,,
188,08/23/22 09:00:00 AM,16.141,,,
189,08/23/22 10:00:00 AM,16.903,,,
190,08/23/22 11:00:00 AM,18.236,,,
191,08/23/22 12:00:00 PM,20.519,,,
192,08/23/22 01:00:00 PM,22.429,,,
193,08/23/22 02:00:00 PM,24.448,,,
194,08/23/22 03:00:00 PM,26.292,,,
195,08/23/22 04:00:00 PM,24.545,,,
196,08/23/22 05:00:00 PM,24.351,,,
197,08/23/22 06:00:00 PM,24.351,,,
198,08/23/22 07:00:00 PM,24.158,,,
199,08/23/22 08:00:00 PM,23.196,,,
200,08/23/22 09:00:00 PM,21.282,,,
201,08/23/22 10:00:00 PM,20.424,,,
202,08/23/22 11:00:00 PM,19.567,,,
203,08/24/22 12:00:00 AM,18.616,,,
204,08/24/22 01:00:00 AM,18.045,,,
205,08/24/22 02:00:00 AM,18.236,,,
206,08/24/22 03:00:00 AM,17.665,,,
207,08/24/22 04:00:00 AM,16.523,,,
208,08/24/22 05:00:00 AM,15.951,,,
209,08/24/22 06:00:00 AM,15.378,,,
210,08/24/22 07:00:00 AM,15.569,,,
211,08/24/22 08:00:00 AM,17.189,,,
212,08/24/22 09:00:00 AM,20.138,,,
213,08/24/22 10:00:00 AM,22.238,,,
214,08/24/22 11:00:00 AM,23.004,,,
215,08/24/22 12:00:00 PM,24.835,,,
216,08/24/22 01:00:00 PM,26.097,,,
217,08/24/22 02:00:00 PM,26.683,,,
218,08/24/22 03:00:00 PM,28.953,,,
219,08/24/22 04:00:00 PM,27.272,,,
220,08/24/22 05:00:00 PM,27.567,,,
221,08/24/22 06:00:00 PM,26.977,,,
222,08/24/22 07:00:00 PM,25.902,,,
223,08/24/22 08:00:00 PM,23.773,,,
224,08/24/22 09:00:00 PM,22.333,,,
225,08/24/22 10:00:00 PM,21.187,,,
226,08/24/22 11:00:00 PM,20.138,,,
227,08/25/22 12:00:00 AM,19.662,,,
228,08/25/22 01:00:00 AM,19.092,,,
229,08/25/22 02:00:00 AM,18.426,,,
230,08/25/22 03:00:00 AM,17.950,,,
231,08/25/22 04:00:00 AM,17.284,,,
232,08/25/22 05:00:00 AM,16.903,,,
233,08/25/22 06:00:00 AM,16.618,,,
234,08/25/22 07:00:00 AM,16.523,,,
235,08/25/22 08:00:00 AM,18.140,,,
236,08/25/22 09:00:00 AM,20.996,,,
237,08/25/22 10:00:00 AM,22.812,,,
238,08/25/22 11:00:00 AM,23.292,,,
239,08/25/22 12:00:00 PM,25.222,,,
240,08/25/22 01:00:00 PM,27.075,,,
241,08/25/22 02:00:00 PM,28.853,,,
242,08/25/22 03:00:00 PM,31.268,,,
243,08/25/22 04:00:00 PM,29.252,,,
244,08/25/22 05:00:00 PM,28.754,,,
245,08/25/22 06:00:00 PM,27.764,,,
246,08/25/22 07:00:00 PM,25.416,,,
247,08/25/22 08:00:00 PM,22.717,,,
248,08/25/22 09:00:00 PM,20.329,,,
249,08/25/22 10:00:00 PM,18.521,,,
250,08/25/22 11:00:00 PM,17.855,,,
251,08/26/22 12:00:00 AM,16.713,,,
252,08/26/22 01:00:00 AM,17.284,,,
253,08/26/22 02:00:00 AM,17.284,,,
254,08/26/22 03:00:00 AM,16.999,,,
255,08/26/22 04:00:00 AM,16.808,,,
256,08/26/22 05:00:00 AM,16.808,,,
257,08/26/22 06:00:00 AM,16.713,,,
258,08/26/22 07:00:00 AM,16.618,,,
259,08/26/22 08:00:00 AM,16.903,,,
260,08/26/22 09:00:00 AM,17.570,,,
261,08/26/22 10:00:00 AM,18.331,,,
262,08/26/22 11:00:00 AM,19.092,,,
