"Plot Title: 21119950"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21119950, SEN S/N: 21119950)","End Of File (LGR S/N: 21119950)"
1,08/12/22 11:00:00 AM,21.664,
2,08/12/22 12:00:00 PM,23.196,
3,08/12/22 01:00:00 PM,24.545,
4,08/12/22 02:00:00 PM,24.931,
5,08/12/22 03:00:00 PM,24.641,
6,08/12/22 04:00:00 PM,24.448,
7,08/12/22 05:00:00 PM,23.773,
8,08/12/22 06:00:00 PM,23.004,
9,08/12/22 07:00:00 PM,21.282,
10,08/12/22 08:00:00 PM,19.662,
11,08/12/22 09:00:00 PM,18.806,
12,08/12/22 10:00:00 PM,18.045,
13,08/12/22 11:00:00 PM,17.570,
14,08/13/22 12:00:00 AM,17.379,
15,08/13/22 01:00:00 AM,17.475,
16,08/13/22 02:00:00 AM,17.570,
17,08/13/22 03:00:00 AM,17.475,
18,08/13/22 04:00:00 AM,17.475,
19,08/13/22 05:00:00 AM,17.379,
20,08/13/22 06:00:00 AM,17.189,
21,08/13/22 07:00:00 AM,17.475,
22,08/13/22 08:00:00 AM,17.855,
23,08/13/22 09:00:00 AM,18.711,
24,08/13/22 10:00:00 AM,20.424,
25,08/13/22 11:00:00 AM,20.615,
26,08/13/22 12:00:00 PM,21.282,
27,08/13/22 01:00:00 PM,21.473,
28,08/13/22 02:00:00 PM,22.046,
29,08/13/22 03:00:00 PM,24.351,
30,08/13/22 04:00:00 PM,24.448,
31,08/13/22 05:00:00 PM,24.158,
32,08/13/22 06:00:00 PM,23.100,
33,08/13/22 07:00:00 PM,22.142,
34,08/13/22 08:00:00 PM,20.996,
35,08/13/22 09:00:00 PM,19.948,
36,08/13/22 10:00:00 PM,18.331,
37,08/13/22 11:00:00 PM,17.094,
38,08/14/22 12:00:00 AM,15.951,
39,08/14/22 01:00:00 AM,15.473,
40,08/14/22 02:00:00 AM,14.709,
41,08/14/22 03:00:00 AM,14.134,
42,08/14/22 04:00:00 AM,13.750,
43,08/14/22 05:00:00 AM,13.365,
44,08/14/22 06:00:00 AM,12.690,
45,08/14/22 07:00:00 AM,12.690,
46,08/14/22 08:00:00 AM,14.517,
47,08/14/22 09:00:00 AM,17.760,
48,08/14/22 10:00:00 AM,20.043,
49,08/14/22 11:00:00 AM,21.760,
50,08/14/22 12:00:00 PM,23.196,
51,08/14/22 01:00:00 PM,24.931,
52,08/14/22 02:00:00 PM,25.902,
53,08/14/22 03:00:00 PM,26.683,
54,08/14/22 04:00:00 PM,26.781,
55,08/14/22 05:00:00 PM,27.075,
56,08/14/22 06:00:00 PM,26.292,
57,08/14/22 07:00:00 PM,25.319,
58,08/14/22 08:00:00 PM,23.869,
59,08/14/22 09:00:00 PM,21.187,
