"Plot Title: 21223130"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223130, SEN S/N: 21223130)","Coupler Attached (LGR S/N: 21223130)","Coupler Detached (LGR S/N: 21223130)","Host Connected (LGR S/N: 21223130)","Stopped (LGR S/N: 21223130)","End Of File (LGR S/N: 21223130)"
1,08/12/22 11:00:00 AM,21.187,,,,,
2,08/12/22 12:00:00 PM,22.908,,,,,
3,08/12/22 01:00:00 PM,24.062,,,,,
4,08/12/22 02:00:00 PM,24.255,,,,,
5,08/12/22 03:00:00 PM,25.125,,,,,
6,08/12/22 04:00:00 PM,24.448,,,,,
7,08/12/22 05:00:00 PM,23.966,,,,,
8,08/12/22 06:00:00 PM,23.004,,,,,
9,08/12/22 07:00:00 PM,21.187,,,,,
10,08/12/22 08:00:00 PM,19.472,,,,,
11,08/12/22 09:00:00 PM,18.426,,,,,
12,08/12/22 10:00:00 PM,17.760,,,,,
13,08/12/22 11:00:00 PM,17.094,,,,,
14,08/13/22 12:00:00 AM,16.713,,,,,
15,08/13/22 01:00:00 AM,16.999,,,,,
16,08/13/22 02:00:00 AM,17.379,,,,,
17,08/13/22 03:00:00 AM,17.284,,,,,
18,08/13/22 04:00:00 AM,17.284,,,,,
19,08/13/22 05:00:00 AM,17.189,,,,,
20,08/13/22 06:00:00 AM,16.903,,,,,
21,08/13/22 07:00:00 AM,17.094,,,,,
22,08/13/22 08:00:00 AM,17.570,,,,,
23,08/13/22 09:00:00 AM,18.331,,,,,
24,08/13/22 10:00:00 AM,19.948,,,,,
25,08/13/22 11:00:00 AM,20.710,,,,,
26,08/13/22 12:00:00 PM,21.378,,,,,
27,08/13/22 01:00:00 PM,21.664,,,,,
28,08/13/22 02:00:00 PM,22.429,,,,,
29,08/13/22 03:00:00 PM,23.677,,,,,
30,08/13/22 04:00:00 PM,24.062,,,,,
31,08/13/22 05:00:00 PM,23.773,,,,,
32,08/13/22 06:00:00 PM,23.388,,,,,
33,08/13/22 07:00:00 PM,22.142,,,,,
34,08/13/22 08:00:00 PM,20.805,,,,,
35,08/13/22 09:00:00 PM,19.853,,,,,
36,08/13/22 10:00:00 PM,18.711,,,,,
37,08/13/22 11:00:00 PM,17.855,,,,,
38,08/14/22 12:00:00 AM,16.618,,,,,
39,08/14/22 01:00:00 AM,15.569,,,,,
40,08/14/22 02:00:00 AM,14.900,,,,,
41,08/14/22 03:00:00 AM,14.230,,,,,
42,08/14/22 04:00:00 AM,13.654,,,,,
43,08/14/22 05:00:00 AM,13.076,,,,,
44,08/14/22 06:00:00 AM,12.594,,,,,
45,08/14/22 07:00:00 AM,13.654,,,,,
46,08/14/22 08:00:00 AM,16.999,,,,,
47,08/14/22 09:00:00 AM,18.711,,,,,
48,08/14/22 10:00:00 AM,21.473,,,,,
49,08/14/22 11:00:00 AM,22.142,,,,,
50,08/14/22 12:00:00 PM,23.484,,,,,
51,08/14/22 01:00:00 PM,25.319,,,,,
52,08/14/22 02:00:00 PM,26.097,,,,,
53,08/14/22 03:00:00 PM,27.272,,,,,
54,08/14/22 04:00:00 PM,28.258,,,,,
55,08/14/22 05:00:00 PM,27.665,,,,,
56,08/14/22 06:00:00 PM,26.977,,,,,
57,08/14/22 07:00:00 PM,26.488,,,,,
58,08/14/22 08:00:00 PM,24.931,,,,,
59,08/14/22 09:00:00 PM,23.100,,,,,
60,08/14/22 10:00:00 PM,21.760,,,,,
61,08/14/22 11:00:00 PM,19.948,,,,,
62,08/15/22 12:00:00 AM,18.616,,,,,
63,08/15/22 01:00:00 AM,18.045,,,,,
64,08/15/22 02:00:00 AM,16.523,,,,,
65,08/15/22 03:00:00 AM,15.569,,,,,
66,08/15/22 04:00:00 AM,14.900,,,,,
67,08/15/22 05:00:00 AM,14.230,,,,,
68,08/15/22 06:00:00 AM,13.365,,,,,
69,08/15/22 07:00:00 AM,14.325,,,,,
70,08/15/22 08:00:00 AM,16.808,,,,,
71,08/15/22 09:00:00 AM,18.331,,,,,
72,08/15/22 10:00:00 AM,21.091,,,,,
73,08/15/22 11:00:00 AM,22.717,,,,,
74,08/15/22 12:00:00 PM,25.125,,,,,
75,08/15/22 01:00:00 PM,26.585,,,,,
76,08/15/22 02:00:00 PM,28.159,,,,,
77,08/15/22 03:00:00 PM,29.053,,,,,
78,08/15/22 04:00:00 PM,29.352,,,,,
79,08/15/22 05:00:00 PM,29.652,,,,,
80,08/15/22 06:00:00 PM,29.552,,,,,
81,08/15/22 07:00:00 PM,28.159,,,,,
82,08/15/22 08:00:00 PM,25.028,,,,,
83,08/15/22 09:00:00 PM,23.196,,,,,
84,08/15/22 10:00:00 PM,21.378,,,,,
85,08/15/22 11:00:00 PM,19.948,,,,,
86,08/16/22 12:00:00 AM,18.711,,,,,
87,08/16/22 01:00:00 AM,17.570,,,,,
88,08/16/22 02:00:00 AM,17.094,,,,,
89,08/16/22 03:00:00 AM,16.618,,,,,
90,08/16/22 04:00:00 AM,16.046,,,,,
91,08/16/22 05:00:00 AM,15.569,,,,,
92,08/16/22 06:00:00 AM,15.473,,,,,
93,08/16/22 07:00:00 AM,15.760,,,,,
94,08/16/22 08:00:00 AM,15.951,,,,,
95,08/16/22 09:00:00 AM,16.713,,,,,
96,08/16/22 10:00:00 AM,18.616,,,,,
97,08/16/22 11:00:00 AM,21.951,,,,,
98,08/16/22 12:00:00 PM,23.196,,,,,
99,08/16/22 01:00:00 PM,24.835,,,,,
100,08/16/22 02:00:00 PM,26.488,,,,,
101,08/16/22 03:00:00 PM,28.060,,,,,
102,08/16/22 04:00:00 PM,28.258,,,,,
103,08/16/22 05:00:00 PM,28.159,,,,,
104,08/16/22 06:00:00 PM,28.060,,,,,
105,08/16/22 07:00:00 PM,26.585,,,,,
106,08/16/22 08:00:00 PM,24.738,,,,,
107,08/16/22 09:00:00 PM,23.196,,,,,
108,08/16/22 10:00:00 PM,22.046,,,,,
109,08/16/22 11:00:00 PM,21.760,,,,,
110,08/17/22 12:00:00 AM,21.091,,,,,
111,08/17/22 01:00:00 AM,20.043,,,,,
112,08/17/22 02:00:00 AM,18.806,,,,,
113,08/17/22 03:00:00 AM,17.760,,,,,
114,08/17/22 04:00:00 AM,16.427,,,,,
115,08/17/22 05:00:00 AM,15.664,,,,,
116,08/17/22 06:00:00 AM,14.996,,,,,
117,08/17/22 07:00:00 AM,15.760,,,,,
118,08/17/22 08:00:00 AM,20.234,,,,,
119,08/17/22 09:00:00 AM,22.238,,,,,
120,08/17/22 10:00:00 AM,24.641,,,,,
121,08/17/22 11:00:00 AM,25.805,,,,,
122,08/17/22 12:00:00 PM,27.370,,,,,
123,08/17/22 01:00:00 PM,29.053,,,,,
124,08/17/22 02:00:00 PM,29.853,,,,,
125,08/17/22 03:00:00 PM,30.457,,,,,
126,08/17/22 04:00:00 PM,31.166,,,,,
