"Plot Title: 21223116"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21223116, SEN S/N: 21223116)","Coupler Attached (LGR S/N: 21223116)","Host Connected (LGR S/N: 21223116)","End Of File (LGR S/N: 21223116)"
1,08/12/22 12:00:00 PM,21.187,,,
2,08/12/22 01:00:00 PM,22.429,,,
3,08/12/22 02:00:00 PM,23.484,,,
4,08/12/22 03:00:00 PM,23.869,,,
5,08/12/22 04:00:00 PM,23.773,,,
6,08/12/22 05:00:00 PM,23.196,,,
7,08/12/22 06:00:00 PM,22.812,,,
8,08/12/22 07:00:00 PM,20.996,,,
9,08/12/22 08:00:00 PM,19.662,,,
10,08/12/22 09:00:00 PM,18.426,,,
11,08/12/22 10:00:00 PM,17.855,,,
12,08/12/22 11:00:00 PM,17.284,,,
13,08/13/22 12:00:00 AM,16.903,,,
14,08/13/22 01:00:00 AM,17.379,,,
15,08/13/22 02:00:00 AM,17.665,,,
16,08/13/22 03:00:00 AM,17.570,,,
17,08/13/22 04:00:00 AM,16.713,,,
18,08/13/22 05:00:00 AM,16.523,,,
19,08/13/22 06:00:00 AM,16.618,,,
20,08/13/22 07:00:00 AM,17.189,,,
21,08/13/22 08:00:00 AM,17.570,,,
22,08/13/22 09:00:00 AM,18.236,,,
23,08/13/22 10:00:00 AM,19.282,,,
24,08/13/22 11:00:00 AM,20.043,,,
25,08/13/22 12:00:00 PM,20.615,,,
26,08/13/22 01:00:00 PM,20.805,,,
27,08/13/22 02:00:00 PM,21.569,,,
28,08/13/22 03:00:00 PM,22.621,,,
29,08/13/22 04:00:00 PM,23.484,,,
30,08/13/22 05:00:00 PM,23.388,,,
31,08/13/22 06:00:00 PM,22.812,,,
32,08/13/22 07:00:00 PM,22.142,,,
33,08/13/22 08:00:00 PM,21.473,,,
34,08/13/22 09:00:00 PM,20.234,,,
35,08/13/22 10:00:00 PM,19.187,,,
36,08/13/22 11:00:00 PM,17.094,,,
37,08/14/22 12:00:00 AM,16.523,,,
38,08/14/22 01:00:00 AM,15.951,,,
39,08/14/22 02:00:00 AM,15.378,,,
40,08/14/22 03:00:00 AM,14.804,,,
41,08/14/22 04:00:00 AM,14.134,,,
42,08/14/22 05:00:00 AM,13.365,,,
43,08/14/22 06:00:00 AM,13.173,,,
44,08/14/22 07:00:00 AM,13.076,,,
45,08/14/22 08:00:00 AM,14.038,,,
46,08/14/22 09:00:00 AM,16.237,,,
47,08/14/22 10:00:00 AM,18.045,,,
48,08/14/22 11:00:00 AM,19.187,,,
49,08/14/22 12:00:00 PM,20.519,,,
50,08/14/22 01:00:00 PM,22.621,,,
51,08/14/22 02:00:00 PM,24.545,,,
52,08/14/22 03:00:00 PM,24.931,,,
53,08/14/22 04:00:00 PM,25.708,,,
54,08/14/22 05:00:00 PM,26.390,,,
55,08/14/22 06:00:00 PM,26.585,,,
56,08/14/22 07:00:00 PM,25.805,,,
57,08/14/22 08:00:00 PM,24.931,,,
58,08/14/22 09:00:00 PM,22.812,,,
59,08/14/22 10:00:00 PM,21.664,,,
60,08/14/22 11:00:00 PM,19.948,,,
61,08/15/22 12:00:00 AM,18.901,,,
62,08/15/22 01:00:00 AM,18.140,,,
63,08/15/22 02:00:00 AM,16.713,,,
64,08/15/22 03:00:00 AM,15.951,,,
65,08/15/22 04:00:00 AM,14.804,,,
66,08/15/22 05:00:00 AM,13.846,,,
67,08/15/22 06:00:00 AM,13.269,,,
68,08/15/22 07:00:00 AM,13.461,,,
69,08/15/22 08:00:00 AM,14.804,,,
70,08/15/22 09:00:00 AM,16.808,,,
71,08/15/22 10:00:00 AM,19.187,,,
72,08/15/22 11:00:00 AM,20.996,,,
73,08/15/22 12:00:00 PM,23.004,,,
74,08/15/22 01:00:00 PM,25.222,,,
75,08/15/22 02:00:00 PM,26.683,,,
76,08/15/22 03:00:00 PM,27.961,,,
77,08/15/22 04:00:00 PM,28.555,,,
78,08/15/22 05:00:00 PM,28.953,,,
79,08/15/22 06:00:00 PM,29.452,,,
80,08/15/22 07:00:00 PM,28.258,,,
81,08/15/22 08:00:00 PM,25.416,,,
82,08/15/22 09:00:00 PM,23.484,,,
83,08/15/22 10:00:00 PM,21.664,,,
84,08/15/22 11:00:00 PM,20.043,,,
85,08/16/22 12:00:00 AM,18.996,,,
86,08/16/22 01:00:00 AM,17.760,,,
87,08/16/22 02:00:00 AM,17.284,,,
88,08/16/22 03:00:00 AM,16.808,,,
89,08/16/22 04:00:00 AM,15.951,,,
90,08/16/22 05:00:00 AM,15.282,,,
91,08/16/22 06:00:00 AM,15.187,,,
92,08/16/22 07:00:00 AM,15.473,,,
93,08/16/22 08:00:00 AM,15.760,,,
94,08/16/22 09:00:00 AM,16.046,,,
95,08/16/22 10:00:00 AM,17.189,,,
96,08/16/22 11:00:00 AM,19.187,,,
97,08/16/22 12:00:00 PM,20.615,,,
98,08/16/22 01:00:00 PM,22.717,,,
99,08/16/22 02:00:00 PM,25.416,,,
100,08/16/22 03:00:00 PM,26.292,,,
101,08/16/22 04:00:00 PM,26.781,,,
102,08/16/22 05:00:00 PM,27.370,,,
103,08/16/22 06:00:00 PM,27.272,,,
104,08/16/22 07:00:00 PM,26.488,,,
105,08/16/22 08:00:00 PM,24.931,,,
106,08/16/22 09:00:00 PM,23.196,,,
107,08/16/22 10:00:00 PM,22.142,,,
108,08/16/22 11:00:00 PM,21.569,,,
109,08/17/22 12:00:00 AM,20.805,,,
110,08/17/22 01:00:00 AM,19.377,,,
111,08/17/22 02:00:00 AM,18.426,,,
112,08/17/22 03:00:00 AM,17.855,,,
113,08/17/22 04:00:00 AM,16.618,,,
114,08/17/22 05:00:00 AM,15.664,,,
115,08/17/22 06:00:00 AM,14.804,,,
116,08/17/22 07:00:00 AM,14.709,,,
117,08/17/22 08:00:00 AM,16.046,,,
118,08/17/22 09:00:00 AM,18.996,,,
119,08/17/22 10:00:00 AM,21.760,,,
120,08/17/22 11:00:00 AM,23.100,,,
121,08/17/22 12:00:00 PM,25.028,,,
122,08/17/22 01:00:00 PM,26.781,,,
123,08/17/22 02:00:00 PM,28.060,,,
124,08/17/22 03:00:00 PM,28.953,,,
125,08/17/22 04:00:00 PM,30.255,,,
126,08/17/22 05:00:00 PM,30.255,,,
127,08/17/22 06:00:00 PM,30.558,,,
128,08/17/22 07:00:00 PM,30.356,,,
129,08/17/22 08:00:00 PM,28.555,,,
130,08/17/22 09:00:00 PM,26.488,,,
131,08/17/22 10:00:00 PM,25.610,,,
