"Plot Title: 21223121"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21223121, SEN S/N: 21223121)","Coupler Attached (LGR S/N: 21223121)","Stopped (LGR S/N: 21223121)","End Of File (LGR S/N: 21223121)"
1,01/06/23 12:00:00 PM,22.812,,,
2,01/06/23 01:00:00 PM,24.062,,,
3,01/06/23 02:00:00 PM,24.255,,,
4,01/06/23 03:00:00 PM,23.484,,,
5,01/06/23 04:00:00 PM,23.388,,,
6,01/06/23 05:00:00 PM,22.812,,,
7,01/06/23 06:00:00 PM,21.951,,,
8,01/06/23 07:00:00 PM,19.377,,,
9,01/06/23 08:00:00 PM,18.331,,,
10,01/06/23 09:00:00 PM,17.570,,,
11,01/06/23 10:00:00 PM,16.808,,,
12,01/06/23 11:00:00 PM,16.427,,,
13,01/07/23 12:00:00 AM,16.903,,,
14,01/07/23 01:00:00 AM,17.094,,,
15,01/07/23 02:00:00 AM,17.094,,,
16,01/07/23 03:00:00 AM,16.999,,,
17,01/07/23 04:00:00 AM,16.999,,,
18,01/07/23 05:00:00 AM,16.713,,,
19,01/07/23 06:00:00 AM,16.999,,,
20,01/07/23 07:00:00 AM,17.379,,,
21,01/07/23 08:00:00 AM,18.140,,,
22,01/07/23 09:00:00 AM,20.043,,,
23,01/07/23 10:00:00 AM,20.329,,,
24,01/07/23 11:00:00 AM,21.187,,,
25,01/07/23 12:00:00 PM,21.282,,,
26,01/07/23 01:00:00 PM,21.760,,,
27,01/07/23 02:00:00 PM,23.196,,,
28,01/07/23 03:00:00 PM,23.388,,,
29,01/07/23 04:00:00 PM,23.100,,,
30,01/07/23 05:00:00 PM,22.717,,,
31,01/07/23 06:00:00 PM,23.100,,,
32,01/07/23 07:00:00 PM,21.091,,,
33,01/07/23 08:00:00 PM,19.472,,,
34,01/07/23 09:00:00 PM,18.236,,,
35,01/07/23 10:00:00 PM,17.475,,,
36,01/07/23 11:00:00 PM,16.808,,,
37,01/08/23 12:00:00 AM,15.855,,,
38,01/08/23 01:00:00 AM,15.282,,,
39,01/08/23 02:00:00 AM,14.613,,,
40,01/08/23 03:00:00 AM,13.942,,,
41,01/08/23 04:00:00 AM,13.461,,,
42,01/08/23 05:00:00 AM,13.173,,,
43,01/08/23 06:00:00 AM,13.750,,,
