"Plot Title: 21162466"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21162466, SEN S/N: 21162466)","Coupler Attached (LGR S/N: 21162466)","Host Connected (LGR S/N: 21162466)","Stopped (LGR S/N: 21162466)","End Of File (LGR S/N: 21162466)"
1,12/15/22 10:00:00 AM,0.010,,,,
2,12/15/22 11:00:00 AM,2.943,,,,
3,12/15/22 12:00:00 PM,4.311,,,,
4,12/15/22 01:00:00 PM,10.846,,,,
5,12/15/22 02:00:00 PM,6.978,,,,
6,12/15/22 03:00:00 PM,5.962,,,,
7,12/15/22 04:00:00 PM,4.207,,,,
8,12/15/22 05:00:00 PM,0.784,,,,
9,12/15/22 06:00:00 PM,-0.437,,,,
10,12/15/22 07:00:00 PM,0.010,,,,
11,12/15/22 08:00:00 PM,-0.325,,,,
12,12/15/22 09:00:00 PM,-1.684,,,,
13,12/15/22 10:00:00 PM,-2.377,,,,
14,12/15/22 11:00:00 PM,-2.727,,,,
15,12/16/22 12:00:00 AM,-3.079,,,,
16,12/16/22 01:00:00 AM,-3.672,,,,
17,12/16/22 02:00:00 AM,-3.672,,,,
18,12/16/22 03:00:00 AM,-3.672,,,,
19,12/16/22 04:00:00 AM,-3.792,,,,
20,12/16/22 05:00:00 AM,-3.316,,,,
21,12/16/22 06:00:00 AM,-2.610,,,,
22,12/16/22 07:00:00 AM,-3.316,,,,
23,12/16/22 08:00:00 AM,-3.434,,,,
24,12/16/22 09:00:00 AM,-1.456,,,,
25,12/16/22 10:00:00 AM,0.893,,,,
26,12/16/22 11:00:00 AM,3.367,,,,
27,12/16/22 12:00:00 PM,4.415,,,,
28,12/16/22 01:00:00 PM,12.207,,,,
29,12/16/22 02:00:00 PM,7.481,,,,
30,12/16/22 03:00:00 PM,6.877,,,,
31,12/16/22 04:00:00 PM,4.831,,,,
32,12/16/22 05:00:00 PM,0.563,,,,
33,12/16/22 06:00:00 PM,-0.549,,,,
34,12/16/22 07:00:00 PM,-1.228,,,,
35,12/16/22 08:00:00 PM,-1.684,,,,
36,12/16/22 09:00:00 PM,-1.456,,,,
37,12/16/22 10:00:00 PM,-1.228,,,,
38,12/16/22 11:00:00 PM,-2.030,,,,
39,12/17/22 12:00:00 AM,-2.727,,,,
40,12/17/22 01:00:00 AM,-2.145,,,,
41,12/17/22 02:00:00 AM,-0.887,,,,
42,12/17/22 03:00:00 AM,-0.325,,,,
43,12/17/22 04:00:00 AM,0.232,,,,
44,12/17/22 05:00:00 AM,0.453,,,,
45,12/17/22 06:00:00 AM,0.343,,,,
46,12/17/22 07:00:00 AM,0.121,,,,
47,12/17/22 08:00:00 AM,0.232,,,,
48,12/17/22 09:00:00 AM,0.343,,,,
49,12/17/22 10:00:00 AM,0.893,,,,
50,12/17/22 11:00:00 AM,1.221,,,,
51,12/17/22 12:00:00 PM,2.517,,,,
52,12/17/22 01:00:00 PM,3.049,,,,
53,12/17/22 02:00:00 PM,3.367,,,,
54,12/17/22 03:00:00 PM,3.578,,,,
55,12/17/22 04:00:00 PM,4.207,,,,
56,12/17/22 05:00:00 PM,3.998,,,,
57,12/17/22 06:00:00 PM,3.893,,,,
58,12/17/22 07:00:00 PM,3.893,,,,
59,12/17/22 08:00:00 PM,3.893,,,,
60,12/17/22 09:00:00 PM,3.367,,,,
61,12/17/22 10:00:00 PM,3.578,,,,
62,12/17/22 11:00:00 PM,3.472,,,,
63,12/18/22 12:00:00 AM,3.261,,,,
64,12/18/22 01:00:00 AM,3.261,,,,
65,12/18/22 02:00:00 AM,3.049,,,,
66,12/18/22 03:00:00 AM,2.837,,,,
67,12/18/22 04:00:00 AM,3.049,,,,
68,12/18/22 05:00:00 AM,2.837,,,,
69,12/18/22 06:00:00 AM,3.049,,,,
70,12/18/22 07:00:00 AM,3.155,,,,
71,12/18/22 08:00:00 AM,2.837,,,,
72,12/18/22 09:00:00 AM,3.367,,,,
73,12/18/22 10:00:00 AM,3.578,,,,
74,12/18/22 11:00:00 AM,4.519,,,,
75,12/18/22 12:00:00 PM,5.552,,,,
76,12/18/22 01:00:00 PM,9.571,,,,
77,12/18/22 02:00:00 PM,5.655,,,,
78,12/18/22 03:00:00 PM,2.943,,,,
